Raman Shift,Intensity 
400,8.395675684
401,8.399607484
402,8.391131511
403,8.309132442
404,8.436081677
405,8.369914744
406,8.386140604
407,8.345157332
408,8.431711995
409,8.381614537
410,8.386728572
411,8.366661086
412,8.403207175
413,8.390849206
414,8.349525517
415,8.427796984
416,8.396453334
417,8.389838955
418,8.397572696
419,8.415251302
420,8.354679982
421,8.392002863
422,8.418941568
423,8.43764519
424,8.367077353
425,8.42409924
426,8.420261607
427,8.408508074
428,8.382810303
429,8.404830148
430,8.429118227
431,8.36825475
432,8.419035786
433,8.431116743
434,8.427257033
435,8.333821492
436,8.402343092
437,8.374906774
438,8.375918927
439,8.362144832
440,8.410597238
441,8.335969335
442,8.402710821
443,8.429240275
444,8.378160753
445,8.418773399
446,8.448002105
447,8.366368824
448,8.360124422
449,8.369154176
450,8.414702886
451,8.414284716
452,8.406506922
453,8.425179766
454,8.365834962
455,8.439825409
456,8.455826101
457,8.410508056
458,8.388710758
459,8.466710969
460,8.403822985
461,8.389494311
462,8.379987443
463,8.371449065
464,8.402553272
465,8.36412661
466,8.38945588
467,8.364287856
468,8.328029565
469,8.398893624
470,8.407690037
471,8.357836174
472,8.406732811
473,8.450592864
474,8.371571705
475,8.401284925
476,8.365986393
477,8.349111667
478,8.38822057
479,8.406096358
480,8.385588465
481,8.374446113
482,8.365455475
483,8.415856729
484,8.371844213
485,8.326479571
486,8.392770661
487,8.398421423
488,8.362690561
489,8.399628755
490,8.428506534
491,8.430575785
492,8.393898396
493,8.412531473
494,8.359885711
495,8.398240448
496,8.396945182
497,8.288728314
498,8.415424056
499,8.447319188
500,8.38053252
501,8.397289458
502,8.461850034
503,8.399480976
504,8.336509344
505,8.409514861
506,8.418961151
507,8.37167529
508,8.415864685
509,8.447051794
510,8.425578322
511,8.384449165
512,8.442740581
513,8.430831919
514,8.382282037
515,8.447364064
516,8.410945526
517,8.405630408
518,8.399853683
519,8.399297275
520,8.450234306
521,8.369146038
522,8.440725301
523,8.392002865
524,8.400179464
525,8.405416839
526,8.378170616
527,8.365050838
528,8.369962173
529,8.374865035
530,8.396124389
531,8.37113624
532,8.382612333
533,8.423847359
534,8.348658946
535,8.407128588
536,8.375137677
537,8.415743282
538,8.418092344
539,8.388601968
540,8.402901558
541,8.412900375
542,8.41412977
543,8.398111837
544,8.411935205
545,8.429813881
546,8.420431344
547,8.392859813
548,8.423449394
549,8.42964384
550,8.325027513
551,8.425544685
552,8.398775902
553,8.420450456
554,8.386472234
555,8.320918275
556,8.363659552
557,8.403743087
558,8.373716869
559,8.400000816
560,8.356046398
561,8.379926277
562,8.404223563
563,8.400095002
564,8.377475214
565,8.389199343
566,8.423880749
567,8.399796827
568,8.439900705
569,8.406010525
570,8.402513111
571,8.419553023
