Raman Shift,Intensity 
400,2.408836943
401,2.390579937
402,2.409394192
403,2.409292665
404,2.405693837
405,2.382941541
406,2.396875757
407,2.399307862
408,2.409208905
409,2.397719024
410,2.390143491
411,2.387087773
412,2.406789427
413,2.384465491
414,2.407690743
415,2.405180268
416,2.399471511
417,2.404818342
418,2.407028588
419,2.381909683
420,2.399844575
421,2.404850943
422,2.385783043
423,2.410902474
424,2.396614034
425,2.397203756
426,2.407677255
427,2.405936906
428,2.392803525
429,2.411277319
430,2.396023709
431,2.386671241
432,2.422006892
433,2.394475287
434,2.394996425
435,2.414562891
436,2.406061487
437,2.400028334
438,2.405659925
439,2.409573051
440,2.404254707
441,2.391532256
442,2.401130645
443,2.385493475
444,2.392973869
445,2.40161019
446,2.396954126
447,2.398922113
448,2.392854584
449,2.426725234
450,2.411850375
451,2.395643033
452,2.417179699
453,2.392237698
454,2.399764738
455,2.397459376
456,2.398216191
457,2.418458278
458,2.389455346
459,2.40003809
460,2.381501881
461,2.396054409
462,2.400239552
463,2.399141194
464,2.401324253
465,2.408551813
466,2.391478853
467,2.39176939
468,2.398674977
469,2.39315079
470,2.392244108
471,2.403932957
472,2.431125985
473,2.393599361
474,2.406267942
475,2.394924049
476,2.396335419
477,2.409490829
478,2.410084899
479,2.413962249
480,2.400396986
481,2.393599466
482,2.390129724
483,2.404591704
484,2.403440827
485,2.403718733
486,2.406943011
487,2.42120202
488,2.395662941
489,2.401054898
490,2.392920541
491,2.394284043
492,2.395025431
493,2.401886022
494,2.399254243
495,2.392453507
496,2.413521279
497,2.38862101
498,2.422399717
499,2.388099462
500,2.398704307
501,2.40529634
502,2.409414795
503,2.407642939
504,2.403121478
505,2.402020008
506,2.396494561
507,2.401980362
508,2.408085518
509,2.434292906
510,2.403721993
511,2.402367935
512,2.377153382
513,2.404451035
514,2.403611222
515,2.406344497
516,2.395338895
517,2.399474686
518,2.398579556
519,2.393060804
520,2.383062742
521,2.388122606
522,2.409964058
523,2.400461182
524,2.41010133
525,2.399624629
526,2.400803689
527,2.398395155
528,2.385099804
529,2.419712376
530,2.396708154
531,2.380501184
532,2.386414643
533,2.393521015
534,2.383063501
535,2.403932392
536,2.4208843
537,2.402959879
538,2.411723406
539,2.403729392
540,2.408275902
541,2.400562791
542,2.401225609
543,2.384189972
544,2.396016891
545,2.399947303
546,2.401167227
547,2.404093856
548,2.38648534
549,2.409573506
550,2.398589725
551,2.41619487
552,2.411255824
553,2.389423133
554,2.395543524
555,2.422134715
556,2.397120284
557,2.403962861
