Raman Shift,Intensity 
400,4.804954567
401,4.797162498
402,4.792129868
403,4.806585666
404,4.79478327
405,4.802544402
406,4.78978771
407,4.80620129
408,4.830056855
409,4.809949836
410,4.801658175
411,4.794293845
412,4.789274882
413,4.814430871
414,4.803371746
415,4.810827952
416,4.790947231
417,4.804042111
418,4.806433613
419,4.782208779
420,4.805765356
421,4.787475043
422,4.805688816
423,4.785584812
424,4.79768847
425,4.792697017
426,4.800045085
427,4.800150953
428,4.801563075
429,4.806622925
430,4.826069554
431,4.792184445
432,4.801498741
433,4.780492136
434,4.800487426
435,4.803064788
436,4.819079449
437,4.801105393
438,4.802497885
439,4.80964097
440,4.802736785
441,4.800697463
442,4.797977832
443,4.79910603
444,4.825268507
445,4.799333538
446,4.802099429
447,4.787000275
448,4.801957228
449,4.809052945
450,4.806312684
451,4.801022103
452,4.789511873
453,4.792290529
454,4.807485824
455,4.805898613
456,4.801351211
457,4.803956741
458,4.80121371
459,4.777268979
460,4.789158189
461,4.780926947
462,4.822329161
463,4.80975698
464,4.787590944
465,4.808953095
466,4.795570718
467,4.797192785
468,4.808394885
469,4.803693054
470,4.7895437
471,4.804020642
472,4.791909514
473,4.786537729
474,4.790830734
475,4.802623484
476,4.787410458
477,4.789459339
478,4.808957987
479,4.803866633
480,4.792245489
481,4.808298907
482,4.804116944
483,4.792277882
484,4.800505432
485,4.794254057
486,4.813155009
487,4.795111423
488,4.815266621
489,4.801902236
490,4.806940895
491,4.783365411
492,4.810619155
493,4.78746018
494,4.80109678
495,4.7892693
496,4.798713074
497,4.819174713
498,4.801160169
499,4.783437164
500,4.780743218
501,4.794648963
502,4.811241724
503,4.8008032
504,4.801121551
505,4.793422489
506,4.804383161
507,4.792246514
508,4.781773748
509,4.787895355
510,4.808030722
511,4.808691421
512,4.796427532
513,4.793407687
514,4.808568108
515,4.789324667
516,4.824446598
517,4.804319392
518,4.810985601
519,4.794232164
520,4.797630256
521,4.790121207
522,4.770403267
523,4.80133305
524,4.799782292
525,4.798774919
526,4.806835917
527,4.807016551
528,4.811067028
529,4.801011256
530,4.797219509
531,4.794924989
532,4.801542381
533,4.814403735
534,4.799607856
535,4.798716917
536,4.797073757
537,4.795936658
538,4.795413464
539,4.804416149
540,4.80006115
541,4.795385176
542,4.80327446
543,4.806802779
544,4.809324831
545,4.776034354
546,4.807887062
547,4.801469804
548,4.809953341
549,4.78765457
550,4.777393754
551,4.792806608
552,4.813175915
553,4.791653962
554,4.79740907
555,4.795073951
556,4.803069319
557,4.797570466
558,4.796693633
559,4.791003254
560,4.810725979
561,4.807883169
562,4.7999204
563,4.821862449
564,4.802020785
565,4.800276183
566,4.779480568
567,4.811034193
568,4.807043442
569,4.796297318
570,4.778359046
571,4.79062017
572,4.824738048
573,4.805457875
574,4.802366792
575,4.794608878
576,4.80850733
577,4.795059953
578,4.803306179
579,4.797477198
580,4.791514308
581,4.804121506
582,4.807905191
583,4.802325808
584,4.803578625
585,4.805392065
586,4.799963034
587,4.790550836
588,4.79767061
589,4.798333554
590,4.810832797
591,4.828163955
592,4.792898157
593,4.808743672
594,4.784537119
595,4.81560928
596,4.801747355
597,4.806150141
598,4.800121131
599,4.797613682
600,4.794403644
601,4.813839275
602,4.810612139
603,4.797929275
604,4.814222352
605,4.809468833
606,4.804812104
607,4.800617792
608,4.802132608
609,4.802392161
610,4.809026813
611,4.797979718
612,4.803839481
613,4.804436027
614,4.79006809
615,4.789318844
616,4.791296469
617,4.79649788
618,4.811649218
619,4.78591503
620,4.775991454
621,4.808544647
622,4.785187192
623,4.801762155
624,4.810156818
625,4.79566228
626,4.797417883
627,4.803195928
628,4.781534425
629,4.789960015
630,4.816288336
631,4.797390694
632,4.792026897
633,4.802085932
634,4.793367803
635,4.806933304
636,4.812628999
637,4.8154319
638,4.798758145
639,4.791148422
640,4.788612046
641,4.804484024
642,4.795268822
643,4.806095341
644,4.806970336
645,4.807808639
646,4.784777169
647,4.803412311
648,4.797427333
649,4.793808
650,4.794360679
651,4.799961997
652,4.814356602
653,4.805869538
654,4.783750395
655,4.794797827
656,4.797504641
657,4.814141249
658,4.804564481
659,4.790969687
660,4.800670311
661,4.808218948
662,4.811858504
663,4.804354906
664,4.801597711
665,4.791723856
666,4.80967273
667,4.81007983
668,4.810163038
669,4.795394946
670,4.80236049
671,4.801825016
672,4.799113627
673,4.785007271
674,4.799739289
675,4.818648068
676,4.794346618
677,4.806679446
678,4.806009069
679,4.791798511
680,4.817287092
681,4.810717628
682,4.800007192
683,4.788205022
684,4.799592862
685,4.795339603
686,4.806917107
687,4.824927094
688,4.809621836
689,4.784245525
690,4.789412151
691,4.814919771
692,4.795660837
693,4.796379011
694,4.794068679
695,4.801090921
696,4.797587388
697,4.795120306
698,4.815824641
699,4.813749591
700,4.793929778
701,4.801837903
702,4.785000636
703,4.789418522
704,4.79047474
705,4.803660102
706,4.815299673
707,4.804988806
708,4.80202655
709,4.795982681
710,4.806680736
711,4.816880194
712,4.807548755
713,4.798421684
714,4.800721621
715,4.815383687
716,4.805477434
717,4.803852566
718,4.796102742
719,4.794554148
720,4.811065346
721,4.812027606
722,4.821108403
723,4.789105332
724,4.795329842
725,4.796351323
726,4.816486798
727,4.804482777
728,4.789999368
729,4.814364031
730,4.804305636
731,4.791737573
732,4.818586925
733,4.812896409
734,4.799627666
735,4.808439652
736,4.801729477
737,4.79929507
738,4.796139243
739,4.796001837
740,4.805571162
741,4.806737258
742,4.793748307
743,4.808365999
744,4.799567086
745,4.810183677
746,4.790203965
747,4.809410785
748,4.812450912
749,4.821453042
750,4.824176576
751,4.803080434
752,4.782685634
753,4.787946397
754,4.806455753
755,4.806940169
756,4.799132904
757,4.816980008
758,4.803603861
759,4.801635592
760,4.794709501
761,4.81029608
762,4.779639791
763,4.815296834
764,4.794011835
765,4.797294662
766,4.796966718
767,4.803281994
768,4.80531082
769,4.810804756
770,4.806434706
771,4.776497689
772,4.797210336
773,4.778924625
774,4.811002294
775,4.807448606
776,4.775906495
777,4.8035291
778,4.79647502
779,4.821268496
780,4.803121901
781,4.798346379
782,4.791671785
783,4.801067688
784,4.798554861
785,4.793224094
786,4.800761632
787,4.790527628
788,4.799616004
789,4.805199218
790,4.804643996
791,4.798409393
792,4.807560392
793,4.804837156
794,4.81077596
795,4.788698059
796,4.799500643
797,4.790313833
798,4.800482817
799,4.796064291
800,4.78649232
801,4.78923059
802,4.794387689
803,4.785707283
804,4.787971628
805,4.79122172
806,4.803475913
807,4.792162496
808,4.788097859
809,4.79419827
810,4.812841005
811,4.812048168
812,4.815927016
813,4.794963777
814,4.821137916
815,4.809716434
816,4.795325485
817,4.817257834
818,4.793744718
819,4.798658315
820,4.791941649
821,4.795729561
822,4.809543634
823,4.79550144
824,4.809337519
825,4.801343033
826,4.791125162
827,4.801260262
828,4.799909026
829,4.800043738
830,4.776740097
831,4.812387306
832,4.786221979
833,4.801720564
834,4.79387747
835,4.799693994
836,4.802121631
837,4.799569587
838,4.776301953
839,4.788130467
840,4.806536684
841,4.800854259
842,4.809611921
843,4.79707585
844,4.809812812
845,4.791355
846,4.80179474
847,4.79118524
848,4.802442043
849,4.783835865
850,4.796879951
851,4.806446623
852,4.791811849
853,4.786184411
854,4.786059289
855,4.799118645
856,4.798471264
857,4.812661901
858,4.795799057
859,4.785097646
860,4.801646803
861,4.803588853
862,4.802570387
863,4.805682661
864,4.799254573
865,4.800683264
866,4.804891461
867,4.815369778
868,4.806595418
869,4.807049742
870,4.784972797
871,4.788246333
872,4.785866922
873,4.799103639
874,4.801615536
875,4.795257269
876,4.793473826
877,4.794610655
878,4.791812263
879,4.793093899
880,4.792196579
881,4.791284731
882,4.793616555
883,4.807930105
884,4.804236141
885,4.81945547
886,4.785055276
887,4.791858596
888,4.803536313
889,4.811287865
890,4.816008796
891,4.81273878
892,4.795141645
893,4.792799482
894,4.790581778
895,4.814154894
896,4.789001277
897,4.806492707
898,4.798152649
899,4.79262907
900,4.798218765
901,4.800986021
902,4.795228778
903,4.804117032
904,4.805394439
905,4.787295448
906,4.785654005
907,4.792899183
908,4.803767304
909,4.804369833
910,4.797920394
911,4.813832793
912,4.804374163
913,4.78434226
914,4.807032983
915,4.802985613
916,4.79188584
917,4.799008141
918,4.7932545
919,4.806746711
920,4.812780064
921,4.813826607
922,4.797725286
923,4.78882984
924,4.810716628
925,4.789264848
926,4.801572677
927,4.801204133
928,4.806372937
929,4.791953704
930,4.800507708
931,4.797147467
932,4.798453351
933,4.802856013
934,4.81120203
935,4.808103237
936,4.787781098
937,4.797106208
938,4.79762339
939,4.804820108
940,4.776876199
941,4.787873714
942,4.820365142
943,4.784954398
944,4.806086187
945,4.804772162
946,4.78715666
947,4.804392093
948,4.788312408
949,4.788525085
950,4.792582401
951,4.805961699
952,4.81574098
953,4.796747074
954,4.805342163
955,4.792812177
956,4.788279816
957,4.783959846
958,4.808375625
959,4.784378909
960,4.79334931
961,4.805480768
962,4.785673095
963,4.795170794
964,4.813662845
965,4.804717444
966,4.797951796
967,4.789087683
968,4.792539498
969,4.808791599
970,4.800061708
971,4.795927599
972,4.803204708
973,4.784724642
974,4.799026512
975,4.794374953
976,4.796890693
977,4.804039877
978,4.790936694
979,4.803945379
980,4.80570054
981,4.80787235
982,4.820548002
983,4.801765366
984,4.798852486
985,4.800102445
986,4.792611797
987,4.809081134
988,4.808250884
989,4.787757257
990,4.802819543
991,4.798030491
992,4.801404956
993,4.80623533
994,4.793782797
995,4.788471757
996,4.8052376
997,4.795640902
998,4.795020358
999,4.81845951
1000,4.822629608
1001,4.796230743
1002,4.815554879
1003,4.782700039
1004,4.815046299
1005,4.793283253
