Raman Shift,Intensity 
400,5.995959228
401,5.990055715
402,5.999648995
403,6.005047309
404,5.985147206
405,6.017482717
406,5.991372526
407,5.974003693
408,6.012890693
409,6.009685144
410,6.002328054
411,5.999517358
412,5.979473817
413,6.000689647
414,6.003933322
415,5.988066103
416,6.014418538
417,6.011001542
418,6.003098464
419,5.996810037
420,5.983457859
421,5.990599684
422,6.009227521
423,5.986715754
424,5.97778247
425,6.023582246
426,5.98951427
427,5.980254568
428,6.016940401
429,6.018399429
430,5.993020439
431,5.97968222
432,6.008706289
433,5.999506152
434,6.008111243
435,6.000038526
436,6.013348215
437,5.984077176
438,6.000938023
439,6.001461454
440,5.998093669
441,6.012869864
442,6.009339086
443,6.006121209
444,6.014884656
445,5.999088734
446,6.021681423
447,6.004874798
448,5.971347351
449,6.015442095
450,5.998172749
451,5.997053215
452,5.996524703
453,6.011993387
454,5.989775424
455,6.010707036
456,6.029037465
457,5.999227592
458,6.018339033
459,6.015967526
460,6.019115236
461,5.979614871
462,5.979255144
463,6.000125881
464,6.017460875
465,6.009118376
466,6.003961751
467,6.003692853
468,6.010642029
469,5.964979416
470,5.981688227
471,6.0194267
472,6.007771601
473,5.965549713
474,5.989675357
475,6.012954634
476,5.991519737
477,5.995769042
478,5.998073565
479,6.020699048
480,6.008353637
481,6.009046734
482,5.972016297
483,5.995356464
484,6.007452694
485,6.004692392
486,6.012443484
487,5.970809529
488,5.989632601
489,5.984281754
490,6.031931316
491,5.97707281
492,5.998571949
493,6.001001915
494,5.991905382
495,6.022606676
496,5.996689699
497,5.997860953
498,5.991285676
499,5.995639648
500,6.002651094
501,6.005145875
502,6.013069427
503,5.993072296
504,5.988407261
505,6.017288044
506,6.016089256
507,5.996024366
508,5.996294154
509,5.999400064
510,5.96754429
511,6.010635968
512,6.002362575
513,6.016827662
514,5.99773424
515,5.997292835
516,5.995852075
517,5.99671374
518,5.975199613
519,5.997744874
520,6.021275327
521,5.989161849
522,5.995059464
523,5.98150485
524,6.005045524
525,5.986847893
526,5.991973635
527,6.00417403
528,6.003915284
529,5.992999702
530,5.998078258
531,5.98894014
532,5.995366283
533,5.983847363
534,6.009273231
535,6.005794962
536,5.988027195
537,5.996229968
538,6.023042002
539,5.99677835
540,6.025355585
541,6.00058518
542,6.016975478
543,6.002031528
544,5.970374698
545,5.983158229
546,6.001435469
547,5.954201141
548,6.012669996
549,5.989488985
550,5.991272621
551,6.006585301
552,6.01805098
553,6.017924852
554,5.99623202
555,5.981304002
556,6.011735272
557,6.006230202
558,6.003750661
559,5.99837443
560,6.013037948
561,6.015321874
562,5.970838192
563,6.019917692
564,6.000487111
565,6.002097337
566,5.984404211
567,5.99396109
568,5.979722741
569,6.017055907
570,6.001514853
571,5.995815496
572,5.997746752
573,5.995063183
574,6.015080364
575,5.982562725
576,5.978024791
577,6.008417289
578,6.023638772
579,6.002653463
580,6.001076355
581,5.995230788
582,5.987036564
583,6.015682788
584,5.981846636
585,5.99834894
586,6.017344947
587,5.974064164
588,6.004163547
589,5.999488776
590,6.018183088
591,6.004398562
592,5.982417223
593,5.976704949
594,5.992177492
595,6.002942681
596,6.004868542
597,6.00159241
598,6.008549242
599,6.004176008
600,6.010738973
601,5.98757677
602,6.012045608
603,5.990321419
604,6.008393652
605,6.011062404
606,5.986353538
607,5.995016186
608,5.989804844
609,6.003771816
610,5.988321825
611,6.015732398
612,6.003404803
613,5.986660369
614,6.004295603
615,6.014227281
616,6.00999704
617,6.007467051
618,6.010350547
619,6.003277747
620,5.997357196
621,5.993160054
622,6.00254092
623,6.02684199
624,6.003913391
625,6.017927234
626,5.984016057
627,5.9768954
628,6.008296924
629,5.964902113
630,6.010954215
631,6.000499399
632,5.964638572
633,5.967945273
634,6.011747522
635,6.008739146
636,6.017144282
637,5.983510235
638,6.021802597
639,5.99829265
640,6.011910574
641,6.010919817
642,5.973855043
643,5.978805534
644,6.026326203
645,6.012680096
646,6.01924921
647,6.007413296
648,5.955100123
649,5.98144679
650,6.008207174
651,5.973178699
652,5.999078172
653,6.012347756
654,6.007057615
655,5.976488617
656,5.98970598
657,6.01103583
658,5.979678534
659,5.991384927
660,6.000205534
661,6.036715034
662,5.987525383
663,6.017389533
664,6.013355025
665,6.004391493
666,6.02343881
667,6.002454916
668,5.976877106
669,5.986246067
670,6.036549805
671,6.037755984
672,6.020453773
673,6.013908659
674,6.014249613
675,5.969673262
676,5.994678161
677,6.003035385
678,5.971638836
679,6.020445379
680,6.000599769
681,5.989542606
682,6.00322448
683,6.030577272
684,6.026731009
685,6.005612816
686,6.000358813
687,6.016764707
688,5.991453528
689,5.996143937
690,5.990491389
691,6.026173945
692,5.950542815
693,5.988154079
694,5.979480962
695,5.987218813
696,5.999604102
697,6.017931901
698,6.013883424
699,6.007700487
700,6.003148207
701,5.980449241
702,5.980872355
703,5.996547083
