Raman Shift,Intensity 
400,7.19777566
401,7.194809782
402,7.195106584
403,7.195776684
404,7.19621899
405,7.199188446
406,7.208105632
407,7.204227871
408,7.185035935
409,7.196146348
410,7.215304449
411,7.189886146
412,7.187631142
413,7.175914863
414,7.208219931
415,7.203892347
416,7.205696487
417,7.204614503
418,7.187690016
419,7.191424809
420,7.209063684
421,7.208528304
422,7.190458232
423,7.178467468
424,7.206792231
425,7.195284499
426,7.192647653
427,7.197241055
428,7.200549951
429,7.198949112
430,7.200766241
431,7.203661233
432,7.19361069
433,7.204418924
434,7.175921185
435,7.202616096
436,7.204947851
437,7.175933148
438,7.208075786
439,7.195922207
440,7.207632973
441,7.214266136
442,7.203664466
443,7.195921775
444,7.181770493
445,7.218917021
446,7.19487938
447,7.196301086
448,7.196199648
449,7.196616881
450,7.202370625
451,7.184767867
452,7.190544164
453,7.197334657
454,7.202410103
455,7.190569288
456,7.211476797
457,7.205241655
458,7.194199342
459,7.202273884
460,7.197885807
461,7.198660105
462,7.202155899
463,7.194196947
464,7.212389702
465,7.203642784
466,7.18552556
467,7.204928319
468,7.189741954
469,7.205582456
470,7.197046897
471,7.216464962
472,7.189872607
473,7.200701459
474,7.201320423
475,7.191498306
476,7.204322708
477,7.216528998
478,7.200344215
479,7.205873643
480,7.177643256
481,7.217700054
482,7.199178855
483,7.205710472
484,7.202541546
485,7.200540027
486,7.19291525
487,7.205270436
488,7.19957714
489,7.214054812
490,7.195421523
491,7.194268122
492,7.220737845
493,7.193426283
494,7.197655504
495,7.190751085
496,7.206787586
497,7.196932005
498,7.175820693
499,7.204399852
500,7.208182214
501,7.193101957
502,7.173782076
503,7.187957938
504,7.21860752
505,7.187422732
506,7.181233152
507,7.210490462
508,7.201352524
509,7.203796147
510,7.199770824
511,7.201500385
512,7.191580125
513,7.211019346
514,7.182909606
515,7.196735707
516,7.193806717
517,7.211760452
518,7.202437408
519,7.194705692
520,7.184638418
521,7.19164904
522,7.182322067
523,7.191115163
524,7.195465469
525,7.218036343
526,7.188093901
527,7.212278071
528,7.208995784
529,7.195456741
530,7.205946815
531,7.190419837
532,7.199052903
533,7.190400237
534,7.198087833
535,7.217359292
536,7.205895531
537,7.210562547
538,7.204211971
539,7.198607871
540,7.196705755
541,7.195427675
542,7.177321702
543,7.191494191
544,7.195043591
545,7.212064937
546,7.210575881
547,7.176052931
548,7.204110637
549,7.208943513
550,7.194005368
551,7.200361705
552,7.198338935
553,7.202120054
554,7.202620431
555,7.188358456
556,7.185115374
557,7.210602131
558,7.196994656
559,7.186968921
560,7.207477255
561,7.193936755
562,7.204499939
563,7.188603053
564,7.201392787
565,7.202328661
566,7.20574075
567,7.20313972
568,7.191537303
569,7.207022606
570,7.210197311
571,7.208606699
572,7.21067175
573,7.209483479
574,7.186651701
575,7.194464863
576,7.214431787
577,7.195946671
578,7.199167655
579,7.194917632
580,7.212138431
581,7.196834112
582,7.207589557
583,7.213219422
584,7.206306477
585,7.202945918
586,7.176674865
587,7.197599712
588,7.196841764
589,7.180306242
590,7.201125166
591,7.179504225
592,7.210976688
593,7.191832378
594,7.205074282
595,7.206493794
596,7.197887723
597,7.188406596
598,7.214495105
599,7.194613349
600,7.193976096
601,7.194475414
602,7.201734582
603,7.207229864
604,7.192979218
605,7.180630648
606,7.200756708
607,7.207734819
608,7.212205581
609,7.205941166
610,7.183569908
611,7.188362265
612,7.199410519
613,7.216708184
614,7.19878858
615,7.225118745
616,7.204882005
617,7.212354142
618,7.217695711
619,7.176819479
620,7.196688056
621,7.192728074
622,7.204338832
623,7.189590664
624,7.206502567
625,7.205893054
626,7.186123295
627,7.203038683
628,7.200897698
629,7.196643039
630,7.202259361
631,7.201778846
632,7.171425879
633,7.207396593
634,7.208006221
635,7.193980121
636,7.20543162
637,7.185048993
638,7.201546346
639,7.201586656
640,7.203891277
641,7.208474678
642,7.209572958
643,7.195038792
644,7.198917175
645,7.15452165
646,7.204630311
647,7.198129833
648,7.191403231
649,7.211147242
650,7.193302623
651,7.201941814
652,7.215713861
653,7.210237042
654,7.198224907
655,7.220843198
656,7.211114856
657,7.209200043
658,7.19547567
659,7.18578376
660,7.183462972
661,7.190435072
662,7.201759438
663,7.195570769
664,7.210155693
665,7.191193774
666,7.226444685
667,7.20017268
668,7.19808777
669,7.197769732
670,7.198441852
671,7.198342792
672,7.195695643
673,7.203051987
674,7.205025065
675,7.201670824
676,7.202061041
677,7.199563339
678,7.200072318
679,7.19367303
680,7.202413785
681,7.201038236
682,7.220812721
683,7.208840463
684,7.204477088
685,7.200840498
686,7.179519564
687,7.18482582
688,7.21535324
689,7.20932836
690,7.183328018
691,7.181796473
692,7.213823483
693,7.191463757
694,7.205963511
695,7.188976686
696,7.194000467
697,7.210417294
698,7.209757791
699,7.218027973
700,7.205598361
701,7.191238698
702,7.194971334
703,7.206160785
704,7.197097781
705,7.204686531
706,7.187854033
707,7.174352572
708,7.199638948
709,7.203430972
710,7.196442322
711,7.22009387
712,7.20794735
713,7.200046276
714,7.19813577
715,7.190353464
716,7.212255864
717,7.189573949
718,7.210317237
719,7.201080633
720,7.181710181
721,7.205664871
722,7.19930629
723,7.199898214
724,7.198993062
725,7.192146806
726,7.198421634
727,7.214398241
728,7.189611913
729,7.18934621
730,7.192298053
731,7.210321862
732,7.20114924
733,7.20457032
734,7.203667666
735,7.189421964
736,7.194557055
737,7.205288599
738,7.202545527
739,7.205860337
740,7.20931365
741,7.196614449
742,7.186383912
743,7.195389667
744,7.204646561
745,7.195852932
746,7.211537459
747,7.20303037
748,7.195786737
749,7.200766642
750,7.192707795
751,7.218348869
752,7.207332885
753,7.214780322
754,7.211726142
755,7.2073649
756,7.204678627
757,7.206772619
758,7.200214759
759,7.207345728
760,7.204068137
761,7.21927588
762,7.206124163
763,7.207889742
764,7.200467004
765,7.202680028
766,7.198328893
767,7.193690025
768,7.205267672
769,7.201847267
770,7.199975301
771,7.20209724
772,7.214730734
773,7.215255255
774,7.187304826
775,7.204320763
776,7.211659349
777,7.209863529
778,7.183338326
779,7.20881402
780,7.217079689
781,7.192902115
782,7.222718207
783,7.219063608
784,7.179739484
785,7.199567718
786,7.187826862
787,7.217129269
788,7.21992019
789,7.192682171
790,7.206983397
791,7.204668679
792,7.215644924
793,7.201112438
794,7.194074471
795,7.19415748
796,7.189028954
797,7.189947676
798,7.193812449
799,7.191606569
800,7.197950897
801,7.199210324
802,7.211990936
803,7.198710113
804,7.184374493
805,7.198401774
806,7.213092049
807,7.190932618
808,7.196041388
809,7.199458204
810,7.204085639
811,7.209164571
812,7.203279268
813,7.203555946
814,7.203633477
815,7.200348854
816,7.212176038
817,7.205253857
818,7.194707695
819,7.217487297
820,7.208564407
821,7.227461776
822,7.19371718
823,7.187563385
824,7.200057778
825,7.194727475
826,7.211759519
827,7.201988761
828,7.183611644
829,7.189967702
830,7.200364648
831,7.205391451
832,7.204320762
833,7.188818692
834,7.194402171
835,7.200933449
836,7.19449043
837,7.204983321
838,7.198584077
839,7.204892399
840,7.203627594
841,7.200439568
842,7.201596004
843,7.227780251
844,7.190204438
845,7.201304728
846,7.183238174
847,7.196677994
848,7.189330885
849,7.182328466
850,7.201841918
851,7.211102046
852,7.20141348
853,7.198124704
854,7.196965705
855,7.19833313
856,7.210433796
857,7.219011112
858,7.211278404
859,7.208521067
860,7.199148098
861,7.211261431
862,7.191872564
863,7.194234376
864,7.198458026
865,7.201427608
866,7.204140279
867,7.196021833
868,7.20027764
869,7.200851255
870,7.212733831
871,7.194227224
872,7.20304186
873,7.191123933
874,7.190714852
875,7.204747323
876,7.186482425
877,7.206736349
878,7.188949149
879,7.193410434
880,7.215715196
881,7.193065977
882,7.207325871
883,7.204676557
884,7.219312127
885,7.20041918
886,7.198969872
887,7.202502897
888,7.183356219
889,7.193923826
890,7.186135157
891,7.185497666
892,7.180103626
893,7.182594832
894,7.200016219
895,7.200885851
896,7.195695854
897,7.188811428
898,7.196283058
899,7.213301399
900,7.195249818
901,7.207988256
902,7.196425416
903,7.195325362
904,7.200667335
905,7.199931299
906,7.21008158
907,7.188744922
908,7.203814433
909,7.179989067
910,7.210843366
911,7.195288353
912,7.19621676
913,7.207467954
914,7.207974155
915,7.204105572
916,7.196294203
917,7.192078685
918,7.212024641
919,7.209137563
920,7.21619432
921,7.18634264
922,7.197432223
923,7.197248569
924,7.215401422
925,7.199102699
926,7.196144318
927,7.191265206
928,7.187027252
929,7.193144207
930,7.213737679
931,7.206206987
932,7.19544575
933,7.205387484
934,7.215742909
935,7.203694158
936,7.202878351
937,7.20037845
938,7.204705863
939,7.198286147
940,7.194934509
941,7.209463745
942,7.214866309
943,7.199332391
944,7.194700215
945,7.201297853
946,7.178086032
947,7.200992054
948,7.188984527
949,7.196269478
950,7.176914966
951,7.195546077
952,7.197765364
953,7.207403884
954,7.196715221
955,7.206839601
956,7.182427993
957,7.206700431
958,7.178089101
959,7.187133167
960,7.201062258
961,7.18986541
962,7.217372802
963,7.209711797
964,7.199538313
965,7.19792568
966,7.177619518
967,7.203431718
968,7.196847815
969,7.209157892
970,7.192169376
971,7.197892431
972,7.176289964
973,7.198740102
974,7.201400301
975,7.197761736
976,7.205101135
977,7.195957537
978,7.20461492
979,7.196718522
980,7.202795031
981,7.201001453
982,7.207142974
983,7.199583383
984,7.205666198
985,7.204788697
986,7.200305183
987,7.215089287
988,7.191903148
989,7.187831152
990,7.19761295
991,7.200964091
992,7.183391821
993,7.202163915
994,7.188264835
995,7.203683916
996,7.183245711
997,7.192922763
998,7.218296805
999,7.198303168
1000,7.219180281
1001,7.195424112
1002,7.20283116
1003,7.230511905
1004,7.183762731
1005,7.210838136
1006,7.188807546
1007,7.206579336
1008,7.190232099
1009,7.193956572
1010,7.189080757
1011,7.211848562
1012,7.218609443
1013,7.203010525
1014,7.200823654
1015,7.207404276
1016,7.204759986
1017,7.20372747
1018,7.20276328
1019,7.219831616
1020,7.193050121
1021,7.194377304
1022,7.184656149
1023,7.19873837
1024,7.208978062
1025,7.197349291
1026,7.196211323
1027,7.186578444
1028,7.206873615
1029,7.202202231
1030,7.193969949
1031,7.199159559
1032,7.193773347
1033,7.201242576
1034,7.204945226
1035,7.185319148
1036,7.216677114
1037,7.205219827
1038,7.192432341
1039,7.197303478
1040,7.216843621
1041,7.210650111
1042,7.212831523
1043,7.212328889
1044,7.186208949
1045,7.197631467
1046,7.207672875
1047,7.2064557
1048,7.195620966
1049,7.193043809
1050,7.190133858
1051,7.204352308
1052,7.203991446
1053,7.196039407
1054,7.228882941
1055,7.219287636
1056,7.222771897
1057,7.223961261
1058,7.208698621
1059,7.224605468
1060,7.245209061
1061,7.245476661
1062,7.255079078
1063,7.263824904
1064,7.300714426
1065,7.300105697
1066,7.339999513
1067,7.358753886
1068,7.402785843
1069,7.42855934
1070,7.460809569
1071,7.526106996
1072,7.57781594
1073,7.632370555
1074,7.686167598
1075,7.738748726
1076,7.814643622
1077,7.862392864
1078,7.912807135
1079,7.986799294
1080,8.04265933
1081,8.089868801
1082,8.126542531
1083,8.150464451
1084,8.182761038
1085,8.189696781
1086,8.196900263
1087,8.184129331
1088,8.167147194
1089,8.15029626
1090,8.119489117
1091,8.077461493
1092,8.013527606
1093,7.988596295
1094,7.926231382
1095,7.850457603
1096,7.806406774
1097,7.755611399
1098,7.675102875
1099,7.636890467
1100,7.586321223
1101,7.533118599
1102,7.465099842
1103,7.440654181
1104,7.399389766
1105,7.350219048
1106,7.337655759
1107,7.295962485
1108,7.280462725
1109,7.263503956
1110,7.266537832
1111,7.24377277
1112,7.226228402
1113,7.226971053
1114,7.210221269
1115,7.230106726
1116,7.214293123
1117,7.210518635
1118,7.201690309
1119,7.203476251
1120,7.220718073
1121,7.214216957
1122,7.194280345
1123,7.200167352
1124,7.205945311
1125,7.201141564
1126,7.183163666
1127,7.208216787
1128,7.199333835
1129,7.189117983
1130,7.206053057
1131,7.199914807
1132,7.206258729
1133,7.201161778
1134,7.182335685
1135,7.200568483
1136,7.192538639
1137,7.200727131
1138,7.1798749
1139,7.187029326
1140,7.193257532
1141,7.193374868
1142,7.205865966
1143,7.202349168
1144,7.197458678
1145,7.198366377
1146,7.208440259
1147,7.197224686
1148,7.187662201
1149,7.199793793
1150,7.200143553
1151,7.207017145
1152,7.197652739
