Raman Shift,Intensity 
400,9.212665563
401,9.175710255
402,9.193975875
403,9.189961321
404,9.191973999
405,9.195430802
406,9.201745903
407,9.243141915
408,9.199986256
409,9.18530894
410,9.203081534
411,9.201751261
412,9.206511983
413,9.219748671
414,9.212162691
415,9.209988882
416,9.226456241
417,9.202652532
418,9.185369019
419,9.198004051
420,9.190485772
421,9.180431519
422,9.211332221
423,9.194197559
424,9.233621258
425,9.212218015
426,9.198917088
427,9.214248568
428,9.207082496
429,9.193044063
430,9.22516151
431,9.21000551
432,9.234709227
433,9.224295307
434,9.216301019
435,9.207797859
436,9.172899143
437,9.214241887
438,9.202775107
439,9.201232495
440,9.19520664
441,9.192457407
442,9.21948433
443,9.165470709
444,9.188450684
445,9.180097457
446,9.181177292
447,9.195377311
448,9.191644546
449,9.201301435
450,9.194894919
451,9.233339928
452,9.206655084
453,9.216459764
454,9.185473717
455,9.19080676
456,9.226096436
457,9.171198679
458,9.221491775
459,9.183630313
460,9.204441911
461,9.191493274
462,9.190527705
463,9.211263251
464,9.203275267
465,9.219364642
466,9.209315602
467,9.215548938
468,9.192746939
469,9.206884781
470,9.217499476
471,9.196025221
472,9.208662969
473,9.236672602
474,9.198954268
475,9.182771973
476,9.206472405
477,9.183437805
478,9.208066632
479,9.203504508
480,9.213303061
481,9.165513189
482,9.169942901
483,9.173772136
484,9.186236804
485,9.187385845
486,9.191774652
487,9.238897173
488,9.175655667
489,9.195703731
490,9.204215831
491,9.206977559
492,9.175787479
493,9.201880426
494,9.17089601
495,9.232443967
496,9.206908417
497,9.215836561
498,9.1928809
499,9.219842834
500,9.174787022
501,9.185024928
502,9.226405634
503,9.211534593
504,9.186290666
505,9.217679435
506,9.221181159
507,9.219981279
508,9.218212636
509,9.175333033
510,9.202704172
511,9.232074572
512,9.212518548
513,9.186167862
514,9.225924197
515,9.235789315
516,9.20086347
517,9.203604666
518,9.168752682
519,9.178112459
520,9.21012563
521,9.212486858
522,9.195309173
523,9.217397682
524,9.208518088
525,9.217383142
526,9.216598789
527,9.196894765
528,9.217256728
529,9.202089427
530,9.210895727
531,9.229956073
532,9.182250163
533,9.177440292
534,9.158251144
535,9.195659617
536,9.187999433
537,9.191705733
538,9.237293058
539,9.186489219
540,9.227374619
541,9.174336284
542,9.167843396
543,9.200647668
544,9.205884952
545,9.162543597
546,9.180692311
547,9.181708665
548,9.204180097
549,9.212484463
550,9.218794853
551,9.180095052
552,9.175697426
553,9.171956967
554,9.157717261
555,9.181096753
556,9.203101335
557,9.207515693
558,9.17961031
559,9.189940713
560,9.205897967
561,9.19369662
562,9.174940895
563,9.246798234
564,9.211616738
565,9.200552082
566,9.217875797
567,9.212158248
568,9.222800029
569,9.190492444
570,9.207974818
571,9.190072347
572,9.196066872
573,9.200857213
574,9.173739792
575,9.199058599
576,9.186453016
577,9.218641891
578,9.1815598
579,9.197965664
580,9.203682606
581,9.165878957
582,9.237335147
583,9.235308675
584,9.185232034
585,9.185505709
586,9.19435538
587,9.157621556
588,9.157424672
589,9.202165965
590,9.188645957
591,9.186240497
592,9.191834893
593,9.20128323
594,9.216105832
595,9.185831664
596,9.159922348
597,9.193306524
598,9.174009023
599,9.167744859
600,9.189227273
601,9.165502726
602,9.212326157
603,9.196409633
604,9.199361796
605,9.249226493
606,9.195915574
607,9.190726938
608,9.201470654
609,9.210930464
610,9.197469548
611,9.199508
612,9.222296478
613,9.19545011
614,9.240668963
615,9.230136247
616,9.197477627
617,9.216625311
618,9.203091795
619,9.22281718
620,9.18575371
621,9.225418932
622,9.228650617
623,9.217414818
624,9.234184592
625,9.229360493
626,9.164081315
627,9.183598175
628,9.19098376
629,9.188153534
630,9.212388915
631,9.179198816
632,9.172567806
633,9.208037498
634,9.223882694
635,9.207649268
636,9.212983563
637,9.194703414
638,9.21114185
639,9.205267279
640,9.198921885
641,9.174891254
642,9.210879417
643,9.243740342
644,9.193382023
645,9.241202596
646,9.217460034
647,9.214792888
648,9.172116217
649,9.233397959
650,9.192169729
651,9.178656618
652,9.220826288
653,9.210084792
654,9.234171693
655,9.200843022
656,9.18603951
657,9.196772194
658,9.180964177
659,9.200502173
660,9.189707817
661,9.194904633
662,9.215954653
663,9.193636826
664,9.182638686
665,9.209217591
666,9.194991572
667,9.172305045
668,9.192075006
669,9.206027317
670,9.193174763
671,9.189176842
