Raman Shift,Intensity 
400,0.006709241
401,-0.006123816
402,-0.015122556
403,-0.008031962
404,0.010156262
405,0.012608864
406,-0.018498435
407,-0.011156173
408,0.010220711
409,-0.014096249
410,0.022416349
411,0.019631706
412,0.00770179
413,0.003259718
414,0.008167219
415,-0.004849042
416,-0.006933384
417,-0.0138128
418,0.00500175
419,-0.008179496
420,0.001918718
421,-0.0253551
422,0.012616988
423,-0.012558034
424,-0.013653231
425,0.003095089
426,0.008824144
427,0.009322792
428,0.000274937
429,0.010017671
430,-0.014848892
431,-0.001872016
432,0.002047013
433,-0.012637938
434,-0.023856035
435,-0.045429052
436,-0.022066331
437,0.004864518
438,0.011222608
439,0.016604017
440,0.016220274
441,-0.018310157
442,-0.021145401
443,0.003607783
444,-0.002495535
445,-0.002544052
446,-0.003709383
447,0.014226417
448,0.006745149
449,-0.009064707
450,0.027532613
451,-0.015852291
452,-0.001125788
453,-0.030123529
454,-0.011965406
455,-0.003511577
456,0.00513516
457,-0.002741856
458,-0.011004264
459,0.012457188
460,0.021254746
461,0.006645983
462,-0.01550752
463,-0.012868926
464,0.001519371
465,0.017105142
466,0.00354821
467,0.005983589
468,0.001224454
469,0.013481243
470,0.028654526
471,0.012141486
472,0.013915544
473,-0.006962781
474,-0.028429491
475,-0.01241183
476,0.032769051
477,-0.007434525
478,-0.004428281
479,-0.025021577
480,0.032106921
481,-0.008527678
482,0.013695923
483,-0.008328038
484,0.016495486
485,0.014421796
486,-0.014125675
487,0.011001848
488,-0.017140027
489,-0.002842336
490,0.00748382
491,-0.018615301
492,-0.004421466
493,-0.013918364
494,0.009610867
495,0.023832371
496,-0.010500869
497,0.009819617
498,0.016178872
499,0.010904244
500,-0.022483035
501,-0.015326031
502,0.005574684
503,-0.010755445
504,0.013349782
505,-0.007078291
506,0.018539463
507,-0.016398299
508,0.021376527
509,-0.00034804
510,0.014611062
511,0.009399164
512,-0.000293152
513,-0.00344948
514,0.022393708
515,-0.028878821
516,-0.005756672
517,0.017193398
518,0.006839191
519,0.008989337
520,0.00721629
521,-0.000518491
522,-0.005045322
523,-0.002683238
524,0.00483491
525,-0.030499109
526,-0.004384967
527,-0.009907527
528,0.008982074
529,-0.001298077
530,0.03233595
531,0.003501241
532,0.001976047
533,-0.032675622
534,-0.011200367
535,0.017705306
536,0.010725512
537,0.012017475
538,-0.011166002
539,0.006276809
540,0.00554675
541,0.007590767
542,0.015772012
543,-0.009626949
544,0.015935821
545,-0.00295351
546,0.001127428
547,0.002108392
548,-0.017338037
549,0.034899132
550,-0.028286602
551,0.032399882
552,-0.020048277
553,-0.013081281
554,0.006669978
555,-0.011668054
556,0.02350552
557,-0.014115472
558,0.013154063
559,-0.007863657
560,0.025526898
561,-0.0076587
562,0.025338482
563,0.017096809
564,0.016068204
565,0.007069782
566,-0.003059696
567,0.014641046
568,-0.012115716
569,-0.001566038
570,-0.01518578
571,0.000492804
572,-0.016191263
573,0.002246914
574,-0.039742856
575,-0.002963249
576,0.033168448
577,0.031662186
578,-0.007877382
579,-0.006839685
580,0.000384883
581,0.001092047
582,-0.021725886
583,0.024038439
584,-0.022702344
585,0.006356922
586,-0.000731868
587,0.017363258
588,-0.019962871
589,0.001486831
590,0.027497803
591,-0.00362193
592,0.033668638
593,0.0151604
594,-0.008558093
595,0.008284665
596,0.012201403
597,0.004297501
598,-0.053733996
599,0.007177031
600,-0.009812115
601,-0.011446008
602,-0.015020141
603,-0.018006725
604,0.003761044
605,0.008802962
606,-0.016387495
607,-0.013491675
608,0.011276984
609,0.015977076
610,0.012780327
611,-0.007000789
612,-0.021543192
613,-0.010371297
614,0.009012361
615,0.007934225
616,0.001403748
617,-0.003140121
618,0.00411868
619,0.021049559
620,-0.007083076
621,-0.006641918
622,-0.002267122
623,-0.006993843
624,0.002626698
625,-0.008988512
626,-0.012564858
627,-0.022794235
628,-0.010793613
629,-0.018939783
630,-0.015780902
631,-0.021958519
632,0.002548501
633,0.010866628
634,-0.003239608
635,0.020737406
636,0.007508106
637,-0.005606636
638,0.00928005
639,0.005507284
640,0.019464729
641,0.017728771
642,-0.003595451
643,0.005643053
644,0.001487379
645,0.0067993
646,0.022608702
647,0.019743898
648,-0.035498037
649,-0.011113613
650,0.002213238
651,0.032652546
652,0.011200313
653,-0.004279755
654,0.02129222
655,0.005521551
656,0.004364284
657,-0.02280509
658,0.011547537
659,-0.001410917
660,-0.016559783
661,0.007708615
662,0.015314317
663,-0.015179208
664,0.028395665
665,-0.012453493
666,0.01258482
667,0.002884867
668,0.019320009
669,0.005201052
670,-0.015301258
671,0.007627777
672,-0.019047529
673,-0.011632126
674,-0.014857607
675,0.011022497
676,-0.025750708
677,0.007766025
678,0.036092049
679,-0.027526437
680,-0.008479978
681,0.010314389
682,-0.021227648
683,-0.038265414
684,0.000232251
685,-0.010135936
686,-0.02803015
687,0.015987527
688,0.011783776
689,0.03051946
690,0.025206415
691,-0.040234064
692,0.00503501
693,0.007878015
694,-0.022030769
695,0.001514598
696,0.017300287
697,0.006590339
698,0.004868672
699,-0.003183334
700,0.009706205
701,0.007112304
702,-0.002755954
703,0.010111072
704,-0.001863551
705,-0.008087642
706,0.004230043
707,0.004820599
708,0.002482901
709,-0.025250266
710,-0.009758966
711,0.017071911
712,-0.004220877
713,0.01904208
714,0.011339801
715,-0.005604352
716,-0.003868251
717,-0.006797885
718,-0.011463084
719,0.015769527
720,-0.01025632
721,-0.000465561
722,0.033493494
723,-0.004653035
724,0.00441969
725,0.012655992
726,-0.020870686
727,-0.025032422
728,-0.008429596
729,0.015785441
730,0.014480039
731,0.000749214
732,-0.028077229
733,0.008967353
734,-0.00186396
735,-0.00389559
736,-0.001719895
737,-0.005610764
738,-0.005239359
739,0.013023391
740,0.000908571
741,0.027637766
742,0.007476473
743,-0.012735778
744,-0.006544815
745,0.0055329
746,-0.00108341
747,0.028624478
748,0.005984534
749,-0.000525519
750,0.000294983
751,-0.028513565
752,-0.002464971
753,0.017879289
754,-0.000796682
755,-0.029428342
756,-0.022627363
757,-0.002811143
758,-0.006566492
759,-0.009998969
760,0.006450855
761,0.013731254
762,0.006809563
763,0.025508551
764,-0.028714468
765,-0.013071868
766,0.000274239
767,-0.011862418
768,0.000767089
769,0.020149575
770,-0.013993596
771,-0.017580542
772,-0.005418701
773,0.01934442
774,0.02182466
775,-0.0050707
776,-0.011235794
777,0.006101826
778,-0.006930555
779,-0.015135696
780,-0.011688782
781,-0.004970352
782,-0.006990498
783,0.00886751
784,-0.015445713
785,0.00714491
786,0.004571081
787,0.030129463
788,-0.009419386
789,0.005218221
790,-0.008639837
791,0.023953415
792,-0.011583433
793,-0.007548607
794,-0.01502808
795,-0.012025061
796,0.010112534
797,0.003598991
798,0.008835933
799,-0.004261899
800,-0.023669607
801,-0.018619855
802,-0.02614825
803,0.008617555
804,0.011572743
805,-0.002052316
806,-0.028309796
807,0.011606814
808,-0.015940545
809,0.025107899
810,0.002260702
811,-0.017364234
812,0.027779743
813,-0.021002655
814,-0.000710585
815,0.017595471
816,0.004045563
817,-0.010051514
818,0.000948096
819,0.023947328
820,-0.025361995
821,0.011692405
822,0.009642872
823,0.009420693
824,-0.001726684
825,0.006076064
826,0.00121177
827,0.019151459
828,-0.0148331
829,-0.008136192
830,0.014186749
831,0.014827588
832,-0.014273192
833,-0.022414926
834,0.00080831
835,-0.007228263
836,-0.006125774
837,-0.008260253
838,0.001334313
839,-0.011089935
840,-0.011516425
841,-0.009114216
842,-0.012391113
843,-0.011964447
844,0.003722245
845,-0.020298359
846,-0.017020115
847,-0.010545256
848,-0.008500878
849,0.049008307
850,-0.022189045
851,-0.007825672
852,-0.015981418
853,-0.00586096
854,-0.032558578
855,-0.025326136
856,-0.001025735
857,0.004048735
858,-0.022548728
859,0.023183209
860,-0.013302007
861,-0.010344264
862,-0.031714972
863,-0.02559087
864,-0.019004088
865,-0.01800769
866,-0.016815132
867,0.005440019
868,0.0032018
869,-0.022705952
870,0.008756725
871,0.014338445
872,-0.016853344
873,0.007192485
874,-0.002143542
875,-0.022883567
876,0.038838624
877,0.000728742
878,-0.013865781
879,-0.00242718
880,-0.013774701
881,0.030618987
882,0.004519149
883,-0.016296933
884,-0.008139856
885,0.001283458
886,0.000666215
887,-0.00516455
888,0.000808929
889,-0.009159794
890,0.000933937
891,-0.03792542
892,-0.013135167
893,-0.00435103
894,0.000302671
895,-0.001894292
896,0.006011644
897,-0.001612005
898,0.007574878
899,-0.00488977
900,-0.020678181
901,-0.021721237
902,0.010489869
903,-0.020994209
904,-0.012051997
905,-0.022021714
906,-0.037475999
907,9.55E-05
908,-0.010456012
909,0.012845613
910,0.001995259
911,0.001151255
912,0.001770457
913,0.018438934
914,0.006348832
915,0.022960663
916,0.031301521
917,0.00364728
918,0.00410949
919,0.035677728
920,0.02819267
921,0.039628455
922,0.080979126
923,0.039862737
924,0.045575462
925,0.048303123
926,0.040972965
927,0.08195193
928,0.098060341
929,0.088422019
930,0.116599895
931,0.167603686
932,0.186774587
933,0.209930839
934,0.2155097
935,0.249805785
936,0.25315211
937,0.301408741
938,0.367244082
939,0.365578445
940,0.416127592
941,0.433527142
942,0.513125403
943,0.519417119
944,0.575722384
945,0.614705283
946,0.645781661
947,0.66197833
948,0.721570628
949,0.759251082
950,0.805200286
951,0.827257516
952,0.880012656
953,0.881611357
954,0.909634087
955,0.949039154
956,0.964676311
957,0.973002982
958,1.002581997
959,1.016203947
960,1.026140865
961,1.005082359
962,1.000586212
963,0.967388441
964,0.954310224
965,0.957405785
966,0.905555531
967,0.884372366
968,0.872505715
969,0.816121054
970,0.780624376
971,0.725057262
972,0.743269899
973,0.722391611
974,0.631864788
975,0.605823714
976,0.559671159
977,0.541394162
978,0.48646842
979,0.450759959
980,0.415291575
981,0.361023724
982,0.342161502
983,0.327452464
984,0.275839419
985,0.260793887
986,0.242885202
987,0.212272122
988,0.182140622
989,0.163602201
990,0.143194823
991,0.133413682
992,0.11320166
993,0.130062789
994,0.112527442
995,0.061866864
996,0.079221568
997,0.0664266
998,0.040012754
999,0.058630258
1000,0.069730578
1001,0.059716467
1002,0.060290699
1003,0.052686616
1004,0.060011072
1005,0.050488543
1006,0.054250304
1007,0.090599982
1008,0.060044036
1009,0.066980812
1010,0.093696435
1011,0.112554829
1012,0.111514511
1013,0.102322303
1014,0.139740273
1015,0.146858556
1016,0.149971454
1017,0.146457795
1018,0.178787963
1019,0.185712115
1020,0.187716676
1021,0.234933645
1022,0.244716083
1023,0.251764387
1024,0.258235756
1025,0.272570729
1026,0.280194842
1027,0.314668791
1028,0.338459754
1029,0.328111058
1030,0.365963165
1031,0.373960654
1032,0.418581733
1033,0.428658647
1034,0.443673338
1035,0.46878991
1036,0.471008969
1037,0.487913619
1038,0.492439689
1039,0.517070566
1040,0.567457124
1041,0.535080796
1042,0.559155176
1043,0.569470535
1044,0.575594726
1045,0.585704095
1046,0.606094902
1047,0.583831279
1048,0.609199761
1049,0.585571443
1050,0.618102137
1051,0.599941771
1052,0.604665252
1053,0.591767019
1054,0.596024544
1055,0.585375851
1056,0.593256797
1057,0.56963176
1058,0.529901539
1059,0.553975441
1060,0.515778316
1061,0.510409078
1062,0.498905353
1063,0.49018457
1064,0.483262715
1065,0.483964113
1066,0.415505248
1067,0.429449135
1068,0.377140588
1069,0.403718081
1070,0.344657769
1071,0.343658184
1072,0.335687611
1073,0.310748469
1074,0.267897598
1075,0.287501723
1076,0.264298947
1077,0.226135713
1078,0.175490561
1079,0.215946202
1080,0.198029629
1081,0.190198189
1082,0.185275954
1083,0.130658456
1084,0.131123959
1085,0.129219518
1086,0.145574405
1087,0.100242131
1088,0.128986246
1089,0.095775218
1090,0.079120222
1091,0.079701665
1092,0.058618047
1093,0.042630706
1094,0.035562099
1095,0.012491533
1096,0.037525382
1097,0.046647018
1098,0.017126902
1099,0.075921987
1100,0.039646708
1101,0.048582543
1102,0.01099373
1103,0.011297237
1104,0.035783226
1105,0.027785025
1106,-0.002241871
1107,0.007927885
1108,-0.009520262
1109,0.004306924
1110,-0.012975994
1111,0.002715271
1112,0.017908518
1113,-0.000275114
1114,0.015546442
1115,-0.007209417
1116,0.013641445
1117,0.019826967
1118,0.022308985
1119,-0.005466484
1120,-0.00945489
1121,-0.014593196
1122,0.005296639
1123,0.001329593
1124,-0.009954178
1125,-0.013769935
1126,-0.005734157
1127,-0.007814666
1128,-0.020429652
1129,0.011229151
1130,-0.010732879
1131,0.012917816
1132,-0.020254561
1133,-0.000967856
1134,0.016865138
1135,-0.005590803
1136,-0.001005157
1137,0.003579862
1138,0.013334651
1139,-0.028602282
1140,0.009967177
1141,0.017698648
1142,0.003879188
1143,0.00289897
1144,0.006567339
1145,0.003866484
1146,-0.011349128
1147,-0.007604454
1148,0.018788987
1149,0.003380392
1150,0.004437661
1151,0.001856645
1152,0.014058422
1153,0.025100263
1154,-0.012893801
1155,0.002794435
1156,0.016763849
1157,0.007445718
1158,0.020177114
1159,0.011237377
1160,-0.036763086
1161,-0.0152804
1162,-0.015479577
1163,0.002036488
1164,0.010827994
1165,-0.005453382
1166,0.02226544
1167,-0.014676783
1168,-0.012173026
1169,0.004651231
1170,-0.008177045
1171,-0.021934338
1172,-0.008889942
1173,0.010690966
1174,-0.012469654
1175,-0.020779212
1176,0.007589397
1177,0.002706476
1178,-0.024268964
1179,0.013958983
1180,0.004218561
1181,-0.007722427
1182,-0.000874724
