Raman Shift,Intensity 
400,4.825544631
401,4.79823135
402,4.782629833
403,4.823954566
404,4.804124622
405,4.803393275
406,4.80957892
407,4.767296977
408,4.803645717
409,4.831239816
410,4.788425043
411,4.778111356
412,4.763921575
413,4.787446108
414,4.790520981
415,4.803877335
416,4.793170107
417,4.824745934
418,4.821637691
419,4.80795957
420,4.825484307
421,4.801329892
422,4.796019368
423,4.786836506
424,4.791320626
425,4.782874888
426,4.793586794
427,4.786750022
428,4.798357454
429,4.805297136
430,4.808034873
431,4.787893614
432,4.789396042
433,4.83052975
434,4.801600437
435,4.804899063
436,4.809624929
437,4.822745033
438,4.778434097
439,4.780627393
440,4.813651296
441,4.788920475
442,4.789038683
443,4.785010028
444,4.815736993
445,4.79159128
446,4.81222938
447,4.786382006
448,4.782492375
449,4.786744109
450,4.794820761
451,4.803265657
452,4.790552396
453,4.786724436
454,4.809085511
455,4.816875343
456,4.805602523
457,4.781860234
458,4.791786272
459,4.80938688
460,4.807958268
461,4.795492653
462,4.809443535
463,4.795992177
464,4.792357288
465,4.822078352
466,4.780069311
467,4.794351288
468,4.803204818
469,4.80218583
470,4.774798114
471,4.827460109
472,4.818961302
473,4.800958077
474,4.806772534
475,4.82999671
476,4.824107659
477,4.833370369
478,4.825772296
479,4.839797857
480,4.860008606
481,4.888859386
482,4.851917924
483,4.886299199
484,4.872526231
485,4.890191711
486,4.905719845
487,4.923217895
488,4.949093073
489,4.954034943
490,4.933560544
491,4.963537046
492,4.957440468
493,4.98709937
494,4.986938696
495,5.003938427
496,5.023539054
497,5.016152837
498,5.014040747
499,4.983324084
500,4.991719887
501,4.989442424
502,4.960485638
503,4.970333067
504,4.955819716
505,4.945644316
506,4.933076216
507,4.912525052
508,4.908172801
509,4.878681561
510,4.887812363
511,4.870839004
512,4.878776729
513,4.87772318
514,4.837429701
515,4.840049695
516,4.852557976
517,4.824767285
518,4.821010584
519,4.821151435
520,4.825652791
521,4.819915682
522,4.780346933
523,4.802335424
524,4.805525318
525,4.807442486
526,4.816988479
527,4.831258717
528,4.786483216
529,4.781133361
