Raman Shift,Intensity 
400,5.977516019
401,5.986192966
402,6.022294293
403,6.100009215
404,6.010539055
405,6.032478567
406,5.98184628
407,6.019510441
408,6.031377488
409,5.965371188
410,5.951105764
411,6.009970065
412,6.02647906
413,5.902882985
414,5.975349263
415,5.95198025
416,5.93443907
417,6.070491829
418,5.979477983
419,5.961316766
420,5.988600923
421,5.960129195
422,5.965037115
423,5.9629311
424,6.058488736
425,6.01027744
426,5.907307643
427,6.023703018
428,5.973505034
429,5.950007453
430,6.012897731
431,6.035415085
432,6.019133596
433,6.041931728
434,5.900111178
435,5.99872224
436,5.938948381
437,5.960782318
438,5.978259219
439,6.084999128
440,5.918329508
441,5.946076515
442,6.028269915
443,5.987514882
444,6.020472274
445,5.97663877
446,6.036525408
447,6.084052043
448,6.050274369
449,6.00975915
450,6.026797074
451,5.949520442
452,5.953787916
453,6.009050368
454,6.033323905
455,5.924435647
456,6.023271754
457,6.003549445
458,6.066470784
459,6.013397232
460,6.093557288
461,6.023220889
462,6.019614673
463,5.987190739
464,6.054584671
465,5.976934717
466,6.10532575
467,6.042804017
468,6.043239466
469,5.979003788
470,6.042137851
471,5.989528096
472,5.936050491
473,6.02513413
474,6.087536414
475,6.052251807
476,6.026960818
477,5.973485422
478,5.987730075
479,6.067024765
480,6.016786664
481,5.974382597
482,6.000519272
483,5.872061531
484,5.971561993
485,6.059990049
486,6.0809257
487,5.896747807
488,5.959935124
489,5.945027353
490,6.068807408
491,6.046161597
492,6.001291294
493,6.06606226
494,5.997978518
495,5.971191683
496,6.005003162
497,6.035327875
498,5.988662979
499,5.986748417
500,6.051500498
501,5.984839928
502,6.012795395
503,5.944133596
504,5.972831866
505,6.075782266
506,6.001834301
507,6.015420581
508,6.013156815
509,6.062608306
510,5.899672063
511,6.076156493
512,5.985162299
513,6.066268475
514,5.905769074
515,6.027169586
516,5.984065126
517,5.980510424
518,5.923729124
519,6.003369864
520,5.940741742
521,5.970925218
522,6.040232058
523,6.049855561
524,5.981585486
525,5.957914048
526,6.079820054
527,6.008233781
528,5.869209812
529,6.031822755
530,6.023905729
531,5.966368628
532,6.01856651
533,6.003058931
534,5.921375205
535,5.988399123
536,5.986581491
537,5.968337273
538,6.03192409
539,6.013910791
540,5.944235299
541,5.995487986
542,5.935059259
543,5.93215402
544,6.051576919
545,6.011316969
546,5.995491048
547,5.936366048
548,6.035631268
549,6.033958779
550,5.897617172
551,5.996331075
552,6.089487467
553,6.016630265
554,6.023412747
555,6.038903143
556,5.937479379
557,6.069042003
558,6.031298138
559,5.96852468
560,5.970952317
561,5.965640587
562,6.04462658
563,6.043253694
564,6.028101751
565,5.966185944
566,5.969741459
567,5.960757529
568,6.02451042
569,5.976236238
570,5.980737264
571,6.100927273
572,6.002143264
573,6.085302428
574,6.028793315
575,6.019887957
576,6.036496712
577,6.025186328
578,6.050125552
579,6.061833901
580,6.035606624
581,5.952648194
582,6.001357088
583,6.019065343
584,6.026892334
585,5.970715142
586,5.968265372
587,6.002922551
588,5.915376067
589,6.029804534
590,6.033259001
591,6.089453087
592,5.940224553
593,5.972246312
594,5.970366006
595,5.991343031
596,5.895140641
597,5.940261161
598,6.033949644
599,6.004887323
600,6.047470935
601,6.019106827
602,6.034089183
603,5.959121958
604,6.038202562
605,6.081258556
606,5.932458122
607,6.005636084
608,6.11664643
609,6.05530912
610,5.904807952
611,6.01533987
612,6.038418204
613,6.012273708
614,6.05495384
615,6.00509587
616,5.99950253
617,6.013359088
618,5.994727902
619,6.054971399
620,6.055347643
621,5.989602677
622,6.008387409
623,6.05894078
624,6.021007978
625,6.003064079
626,5.966893689
627,5.899450314
628,5.982948187
629,6.01734431
630,6.023412909
631,6.031155598
632,5.984245415
633,6.053755483
634,5.91153112
635,6.007599537
636,6.048498677
637,5.888164413
638,5.966922779
639,5.986688258
640,6.024550693
641,5.976108669
642,6.023773853
643,6.016937044
644,6.029369526
645,6.026529965
646,5.985034764
647,6.042545456
648,5.981105904
649,6.012263132
650,5.924853352
651,6.013715509
652,6.029203393
653,6.041184671
654,6.041427888
655,5.979502836
656,6.01772068
657,6.038572563
658,6.067809439
659,6.061412675
660,5.931409954
661,5.966968222
662,5.966262292
663,5.990863897
664,5.968940206
665,6.027530714
666,6.134252432
667,5.990681304
668,5.975138795
669,5.933169759
670,6.054146506
671,6.042520771
672,6.066005553
673,6.060999348
674,6.045536711
675,6.072303995
676,6.022588785
677,5.991957361
678,6.04250826
679,6.043415294
680,6.004733181
681,5.966432859
682,5.985074981
683,6.018570022
684,5.89340693
685,5.983164642
686,5.939020176
687,5.938852545
688,6.028886487
689,5.995634576
690,5.97316983
691,6.069985808
692,6.00309933
693,6.082847796
694,6.115934714
695,5.948204592
696,6.026572008
697,6.041151614
698,5.933693908
699,6.002208666
700,6.043146937
701,5.926056207
702,5.989241032
703,6.027843678
704,6.062443754
705,6.006881351
706,6.093638754
707,6.03295397
708,6.005384473
709,6.135989995
710,5.984166551
711,5.967421535
712,6.020022447
713,6.031292396
714,6.0356531
715,5.97392763
716,6.021014121
717,6.088958179
718,5.963995428
719,5.959627808
720,6.016339213
721,6.000978017
722,5.97261134
723,5.878188645
724,5.982741166
725,5.980688463
726,6.020386958
727,5.998154174
728,5.956086896
729,5.943331465
730,6.02350375
731,6.011511786
732,5.994238366
733,6.092248096
734,5.982935969
735,5.996664443
736,6.004550963
737,6.021083526
738,6.041551618
739,6.005218928
740,6.073128526
741,6.006047839
742,6.029885143
743,6.107505733
744,6.01929434
745,5.960363241
746,5.987580137
747,6.032238585
748,6.025235522
749,5.981664662
750,5.969386339
751,6.073667179
752,6.016759011
753,5.987009426
754,5.860677162
755,5.963220066
756,6.018588072
757,5.998338158
758,5.992697841
759,5.927944643
760,6.025426354
761,5.910654606
762,6.062092746
763,6.015303306
764,5.974489225
765,5.936810553
766,5.937315081
767,5.97624732
768,6.048989885
769,5.967022855
770,5.982584178
771,5.956107652
772,6.027689783
773,6.021559225
774,6.038838711
775,6.009886623
776,5.972300487
777,6.013890377
778,6.111969259
779,6.008895705
780,6.049601242
781,5.945909224
782,5.98488568
783,6.075847391
784,5.93195127
785,6.023266531
786,6.035538217
787,6.039689965
788,5.977327745
789,5.98670248
790,5.98197299
791,5.965464738
792,6.064038885
793,6.072048825
794,6.031510051
795,5.966090844
796,5.984325315
797,5.923453449
798,6.000334353
799,6.023566798
800,6.044244592
801,5.982796628
802,5.982585328
803,5.986663267
804,5.957884435
805,5.973265945
806,5.961308822
807,6.041591625
808,6.039471194
809,6.024491894
810,6.015381525
811,5.92578042
812,6.054210531
813,5.96559808
814,6.064252918
815,6.004534666
816,6.044279471
817,5.935515181
818,6.016320634
819,5.986467827
