Raman Shift,Intensity 
400,8.399783501
401,8.388533122
402,8.406209879
403,8.403274318
404,8.410807267
405,8.423174533
406,8.426797497
407,8.403263651
408,8.392541088
409,8.393732887
410,8.384238922
411,8.422966118
412,8.417934309
413,8.385220516
414,8.388030223
415,8.38757394
416,8.409733112
417,8.400359465
418,8.395966138
419,8.378495598
420,8.410139587
421,8.386561326
422,8.426224244
423,8.39626132
424,8.394621009
425,8.403026471
426,8.402325894
427,8.399796239
428,8.404495024
429,8.393733627
430,8.405906816
431,8.412758198
432,8.410147681
433,8.431943557
434,8.421698332
435,8.435918551
436,8.398244596
437,8.411115505
438,8.426542035
439,8.425078814
440,8.436867756
441,8.459902036
442,8.418214317
443,8.456118282
444,8.479958854
445,8.489474457
446,8.47114062
447,8.51192958
448,8.491582985
449,8.535344884
450,8.531573521
451,8.539696087
452,8.552705183
453,8.561030966
454,8.583862987
455,8.591500256
456,8.600998469
457,8.626515272
458,8.598394986
459,8.596790284
460,8.609948387
461,8.61174047
462,8.609873344
463,8.57256053
464,8.56856403
465,8.58177215
466,8.557934713
467,8.531195478
468,8.546281818
469,8.507898099
470,8.512165668
471,8.482603552
472,8.515861361
473,8.48135871
474,8.464391048
475,8.455066767
476,8.466803616
477,8.443404225
478,8.458092046
479,8.419727573
480,8.437966172
481,8.410860403
482,8.422104422
483,8.390736198
484,8.386736215
485,8.411368625
486,8.409017355
487,8.380139791
488,8.394858998
489,8.401617115
490,8.381799843
491,8.344187496
492,8.410647098
493,8.409791501
494,8.40072778
495,8.394194583
496,8.41036091
497,8.406527173
498,8.363733532
499,8.414044728
500,8.392312476
501,8.39879539
502,8.40425467
503,8.410817955
504,8.390612557
505,8.402426956
506,8.395445013
507,8.41287505
508,8.401730071
509,8.402636601
510,8.409725567
511,8.393663958
512,8.421965642
513,8.408998541
514,8.397888749
515,8.394362199
516,8.413981616
517,8.39698475
518,8.389611989
519,8.385250841
520,8.391957881
521,8.414812207
522,8.406483774
523,8.39678255
524,8.431837995
525,8.406243289
526,8.392261748
527,8.406269612
528,8.401580519
529,8.393171742
530,8.412897282
531,8.390898047
532,8.395736574
533,8.38007348
534,8.384534755
535,8.428750065
536,8.39737735
537,8.415667353
538,8.402737356
539,8.3814687
540,8.407510671
541,8.405435577
542,8.397205971
543,8.407396643
544,8.397149769
545,8.395566687
546,8.379005306
547,8.424824074
548,8.408123818
549,8.412475879
550,8.441047358
551,8.419052469
552,8.407516719
553,8.409364845
554,8.394645274
555,8.380341302
556,8.38839607
557,8.404697633
558,8.433905161
559,8.385532432
560,8.397593428
561,8.387400541
562,8.420499294
563,8.397237626
564,8.372506906
565,8.412472864
566,8.400446258
567,8.364998246
568,8.401688934
569,8.404919276
570,8.403795009
571,8.390983006
572,8.372430838
573,8.40673105
574,8.396918859
575,8.395109944
576,8.399069037
577,8.387224664
578,8.438400089
579,8.431492888
580,8.387963125
581,8.396272199
582,8.420935818
583,8.37830914
584,8.408799663
585,8.407580691
586,8.405952774
587,8.419754954
588,8.405145489
589,8.409494763
590,8.412064953
591,8.406155839
592,8.410566535
593,8.392457378
594,8.415776885
595,8.426043109
596,8.40282822
597,8.422851994
598,8.395770574
599,8.392425005
600,8.425500502
601,8.39735357
602,8.412961331
603,8.388507769
604,8.405310987
605,8.398537376
606,8.4005486
607,8.417900538
608,8.405966757
609,8.402906679
610,8.403553943
611,8.386001962
612,8.417588368
613,8.396105589
614,8.39763017
615,8.413487331
616,8.393199073
617,8.374319717
618,8.388690412
619,8.386755224
620,8.427837805
621,8.388811049
622,8.403552091
623,8.406238222
624,8.414216145
625,8.412562805
626,8.391705984
627,8.417339245
628,8.396094044
629,8.412977506
630,8.413723849
631,8.405588649
632,8.396617338
633,8.3848327
634,8.381663018
635,8.390203485
636,8.403153786
637,8.419178349
638,8.406695656
639,8.393703082
640,8.36758116
641,8.392743283
642,8.394476476
643,8.405745149
644,8.42168645
645,8.415951926
646,8.446840313
647,8.392030342
648,8.409000655
649,8.425255214
650,8.407796886
651,8.416280701
652,8.432164553
653,8.417757692
654,8.414963846
655,8.391048527
656,8.398575326
657,8.391921308
658,8.408159972
659,8.418121675
660,8.367851327
661,8.40664284
662,8.384812912
663,8.392823588
664,8.376916317
665,8.403662617
666,8.396418196
667,8.403599884
668,8.398349711
