Raman Shift,Intensity 
400,9.619643046
401,9.603043729
402,9.603990105
403,9.607330815
404,9.587636256
405,9.628309904
406,9.608872414
407,9.609674569
408,9.600284737
409,9.601367937
410,9.599230188
411,9.611146665
412,9.609622932
413,9.60801787
414,9.604077882
415,9.58346754
416,9.615515987
417,9.595434977
418,9.611529774
419,9.579245097
420,9.599652374
421,9.62710898
422,9.605821581
423,9.600012976
424,9.606977803
425,9.576741628
426,9.605983879
427,9.587798553
428,9.611892782
429,9.603983887
430,9.604907632
431,9.592959026
432,9.598697259
433,9.607977745
434,9.601940026
435,9.585677828
436,9.584703704
437,9.574893351
438,9.604654681
439,9.606621056
440,9.59456919
441,9.576316268
442,9.592754109
443,9.590034512
444,9.601773909
445,9.578922588
446,9.625471156
447,9.57899507
448,9.596803101
449,9.621807192
450,9.611753943
451,9.601483212
452,9.596897958
453,9.617835531
454,9.608722084
455,9.617009025
456,9.609723718
457,9.629747198
458,9.61928308
459,9.621792638
460,9.634769726
461,9.635908531
462,9.651493328
463,9.639631682
464,9.675561586
465,9.672795049
466,9.678978188
467,9.682259311
468,9.711182548
469,9.727143255
470,9.73318628
471,9.735877183
472,9.78452595
473,9.765800225
474,9.80655276
475,9.77560545
476,9.802517934
477,9.7999792
478,9.794590922
479,9.805557029
480,9.792064534
481,9.785412674
482,9.788906429
483,9.778099473
484,9.767112628
485,9.750057339
486,9.718754352
487,9.746965514
488,9.7448098
489,9.738171334
490,9.717393171
491,9.660508345
492,9.68896752
493,9.654125199
494,9.636936302
495,9.628655005
496,9.619565753
497,9.638720637
498,9.605219585
499,9.594824546
500,9.654990632
501,9.620403281
502,9.599849935
503,9.631597648
504,9.600535789
505,9.605810831
506,9.585542989
507,9.601188052
508,9.615199193
509,9.607344121
510,9.594991357
511,9.610928101
512,9.61153492
513,9.608417983
514,9.581516773
515,9.573397127
516,9.60785806
517,9.610132884
518,9.596236184
519,9.594260111
520,9.612646411
521,9.624562498
522,9.577879598
523,9.563632908
524,9.619821772
525,9.613509912
526,9.600797502
527,9.578969441
528,9.600240718
529,9.593828903
530,9.613540013
531,9.609060082
532,9.626524409
533,9.622375141
534,9.597016507
535,9.629955073
536,9.593205583
537,9.587220606
538,9.607684922
539,9.599649465
540,9.598441466
