Raman Shift,Intensity 
400,11.98656919
401,11.98361317
402,12.0012845
403,11.98072771
404,12.00285031
405,11.9751121
406,12.03065399
407,11.97630284
408,12.02181228
409,11.97537888
410,12.00606578
411,12.03302212
412,11.97490814
413,11.96260596
414,12.01533529
415,11.98052065
416,11.99873585
417,12.00633587
418,12.0139484
419,11.97637901
420,11.98430538
421,12.02092986
422,12.01152174
423,12.01124196
424,12.01002806
425,11.98639082
426,12.03275145
427,11.99773913
428,11.99624151
429,11.98687438
430,11.99917251
431,12.02455256
432,12.02251564
433,12.00440521
434,12.03428915
435,12.02036023
436,11.98559483
437,11.99043148
438,11.97556265
439,12.03528249
440,12.02081249
441,11.9790935
442,11.96664467
443,12.03361305
444,11.9887783
445,11.98184933
446,12.03724702
447,12.01883574
448,11.99909649
449,11.99253083
450,12.00084571
451,12.00949933
452,12.0247965
453,12.00007355
454,12.00042764
455,12.0071195
456,11.99683011
457,12.02926065
458,11.97764662
459,12.00421625
460,11.99604062
461,12.01081912
462,12.0042998
463,12.01637807
464,12.01256162
465,11.99528207
466,11.97529715
467,11.98005578
468,11.9650653
469,11.98830958
470,12.00844942
471,12.03104585
472,12.03867589
473,12.03572237
474,12.01633794
475,12.00721458
476,12.0590742
477,12.04704475
478,12.07670718
479,12.09281023
480,12.06923012
481,12.10309364
482,12.10179173
483,12.11510803
484,12.13561855
485,12.13201629
486,12.17101077
487,12.17391664
488,12.14566123
489,12.18579845
490,12.19377425
491,12.19712162
492,12.18727841
493,12.16398598
494,12.19303922
495,12.18602771
496,12.1974048
497,12.20299069
498,12.18676206
499,12.15717126
500,12.17582312
501,12.13326994
502,12.14063002
503,12.15151243
504,12.12679633
505,12.10448754
506,12.1118692
507,12.07443581
508,12.09590754
509,12.06822822
510,12.04091134
511,12.06994416
512,11.99228945
513,12.04937592
514,11.99401049
515,12.01367029
516,12.02102866
517,12.05351258
518,11.99702549
519,12.02929394
520,11.98301861
521,12.00429958
522,11.96748222
523,12.0064787
524,12.02965558
525,11.99762687
526,12.02116617
527,12.02364724
528,11.99849617
529,12.00849902
530,12.02086331
531,11.98329778
532,12.00925339
533,11.99977259
534,12.01241997
535,12.01286347
536,12.01411531
537,12.02039561
538,12.00470454
539,11.98841823
540,12.01272382
541,12.04162044
542,12.00124102
543,12.03296247
544,11.95463219
545,12.01961172
546,12.03479472
547,12.01352131
548,11.98789555
549,11.97262906
550,12.04200698
551,12.00955544
552,12.01312474
553,12.02809864
554,12.01214437
555,12.00799624
556,12.04271941
557,12.03245213
558,12.01463896
559,12.01668259
560,12.00046172
561,11.98795738
562,12.00295078
563,12.01358215
564,11.9987665
565,12.02006426
566,11.95748591
567,12.01720873
568,11.99318709
569,12.0178635
570,11.96819801
571,11.93448369
572,11.96813611
573,11.95898939
574,11.97537114
575,11.99029002
576,11.96858995
577,11.96262046
578,11.99872164
579,12.00540568
580,11.99814502
581,12.03207222
582,11.98593992
583,12.01388081
584,12.01236375
585,12.00468252
586,11.97785661
587,12.00742292
588,11.97719732
589,12.00146216
590,11.99903087
591,12.00256411
592,12.04914395
593,12.01054072
594,12.03015126
595,11.99801788
596,12.00508171
597,12.0230153
598,11.9890321
599,12.02544554
600,12.00834648
601,12.02674737
602,11.99334294
603,11.99515339
604,11.9816038
605,12.01924366
606,11.97464092
607,11.99906026
608,11.95745288
609,12.0102105
610,11.97137717
611,11.99358791
612,11.99025477
613,11.98094865
614,11.97578858
615,11.9908851
616,11.98452306
617,12.00721134
618,12.02192572
619,12.01942098
620,11.97820404
621,12.03237429
622,11.98284595
623,12.0101778
624,11.99140609
625,11.99916762
626,11.99040736
627,12.01207116
628,12.03333607
629,12.014087
630,11.97990841
631,12.00283575
632,12.01291727
633,12.00246911
634,12.00116274
635,12.00489222
636,12.0215812
637,12.005551
638,12.00870905
639,11.9724027
640,12.00630708
641,12.00930651
642,11.99113345
643,11.96646491
644,11.98446919
645,12.02116611
646,11.99637574
647,11.97946344
648,11.98696358
649,12.01483266
650,11.99170364
651,11.99747345
652,12.00336877
653,11.9989053
654,11.99811449
655,11.98002947
656,12.01474018
657,12.01204033
658,11.99264303
659,11.99439165
660,11.99385446
661,12.00573589
662,12.00491592
663,12.05155674
664,11.99528833
665,12.00965155
666,11.99472513
667,12.01176931
668,11.99243914
669,11.99033605
670,12.0332283
671,11.98149144
672,12.0094305
673,12.02366615
674,11.97542084
675,11.99251026
676,12.01029531
677,12.00100592
678,11.95879704
679,11.99550595
680,11.97445262
681,12.03799064
682,11.988515
683,11.99086938
684,11.97078157
685,11.9785643
686,12.03086208
687,12.00656405
688,11.99496977
689,11.98297799
690,11.99523681
691,12.00930303
692,11.98350371
693,12.01836547
694,11.98934003
695,12.00469924
696,11.99853612
697,12.00354694
698,11.98080625
699,11.96692313
700,11.98968514
701,12.00629829
702,12.0189018
703,11.97824292
704,11.97045452
705,11.9909689
706,11.9738567
707,12.00882412
708,11.99889485
709,12.00716496
710,12.02160056
711,11.99080201
712,11.97097916
713,12.00305245
714,11.97604282
715,11.98452944
716,11.96575431
717,12.01655919
718,12.02500308
719,11.99373095
720,11.9998196
721,11.95330545
722,11.97884003
723,11.99518967
724,11.9618807
725,11.98242196
726,12.04890035
727,11.97528196
728,11.99811042
729,11.98587168
730,12.01831227
731,12.0188852
732,11.99085234
733,11.97599375
734,11.98328843
735,12.01512788
736,11.98350706
737,11.96565196
738,11.95404633
739,12.02602287
740,12.01488509
741,11.97434336
742,11.98439872
743,11.99759175
744,12.0103523
745,11.9942378
746,12.01736507
747,11.99507771
748,11.98761031
