Raman Shift,Intensity 
400,13.17153805
401,13.20330852
402,13.14326136
403,13.27581796
404,13.26873405
405,13.24406441
406,13.16883286
407,13.22313515
408,13.26748066
409,13.20856821
410,13.21055431
411,13.13843322
412,13.29142997
413,13.13915698
414,13.23743007
415,13.24838406
416,13.12213573
417,13.13496833
418,13.23798299
419,13.22586247
420,13.24885677
421,13.18760232
422,13.20220985
423,13.17963149
424,13.18072782
425,13.15944388
426,13.2147073
427,13.26452649
428,13.16235522
429,13.21553754
430,13.1233047
431,13.24482231
432,13.23744999
433,13.18975556
434,13.215716
435,13.19620569
436,13.18411404
437,13.2334957
438,13.13299976
439,13.09599277
440,13.17875733
441,13.14458334
442,13.31277449
443,13.11552496
444,13.20888552
445,13.23444564
446,13.26147361
447,13.12559097
448,13.17280583
449,13.17682753
450,13.05453871
451,13.26253709
452,13.1968213
453,13.23775749
454,13.1059936
455,13.17648267
456,13.17878301
457,13.30548439
458,13.2251359
459,13.22953263
460,13.15839339
461,13.17174478
462,13.20825105
463,13.14859215
464,13.10081701
465,13.23587386
466,13.25146191
467,13.17869784
468,13.30825243
469,13.27107948
470,13.22804702
471,13.13097774
472,13.19311426
473,13.22825759
474,13.21008451
475,13.22560093
476,13.24486203
477,13.24990209
478,13.19888671
479,13.27620575
480,13.11768251
481,13.13872425
482,13.2668365
483,13.14532642
484,13.20445119
485,13.19391512
486,13.21661751
487,13.2489948
488,13.23816749
489,13.1601149
490,13.23017482
491,13.18103343
492,13.20141998
493,13.19403193
494,13.27269633
495,13.19226957
496,13.24995654
497,13.13467787
498,13.16654254
499,13.20826609
500,13.17873595
501,13.20908804
502,13.22251374
503,13.2054633
504,13.18650179
505,13.08941097
506,13.21801118
507,13.21804734
508,13.18768096
509,13.20389558
510,13.23649641
511,13.2567776
512,13.1442014
513,13.1640661
514,13.16866017
515,13.14239613
516,13.27992012
517,13.13207177
518,13.18512225
519,13.20203685
520,13.11280222
521,13.2063574
522,13.17747168
523,13.19689673
524,13.1381375
525,13.22854541
526,13.22714852
527,13.15208832
528,13.16964185
529,13.19093819
530,13.2428038
531,13.24531201
532,13.26663442
533,13.28540608
534,13.16401011
535,13.22127275
536,13.19798428
537,13.12622851
538,13.25308058
539,13.24128781
540,13.27531577
541,13.14818514
542,13.24479292
543,13.16975794
544,13.18592661
545,13.23551484
546,13.13670612
547,13.202851
548,13.2765355
549,13.31498675
550,13.17018893
551,13.21735795
552,13.27239166
553,13.16045642
554,13.27971949
555,13.19685994
556,13.1622589
557,13.16798049
558,13.17181971
559,13.23858818
560,13.11401423
561,13.16163162
562,13.18694478
563,13.22555719
564,13.10448588
565,13.19931473
566,13.41543048
567,13.12948619
568,13.04930438
569,13.24036132
570,13.26850812
571,13.14005815
572,13.14453706
573,13.0830994
574,13.1857366
575,13.24631593
576,13.20937849
577,13.16351878
578,13.20996343
579,13.27145588
580,13.1369924
581,13.11767757
582,13.32371503
583,13.20385089
584,13.23621537
585,13.25700149
586,13.22077001
587,13.18340579
588,13.28073626
589,13.16955921
590,13.22982107
591,13.25715005
592,13.15479924
