Raman Shift,Intensity 
400,15.57695625
401,15.59897409
402,15.59135022
403,15.59319891
404,15.59904055
405,15.59479092
406,15.57742553
407,15.61154794
408,15.60964288
409,15.59914905
410,15.62642544
411,15.61811734
412,15.60945976
413,15.60685986
414,15.59085909
415,15.59894693
416,15.60098057
417,15.62511143
418,15.60577471
419,15.6000536
420,15.60245651
421,15.61162962
422,15.58250211
423,15.60665256
424,15.58966506
425,15.60683345
426,15.59057725
427,15.58334718
428,15.60884847
429,15.59726925
430,15.59983962
431,15.60455989
432,15.59900619
433,15.57205125
434,15.58323057
435,15.58078027
436,15.60331248
437,15.59418693
438,15.57703102
439,15.61482987
440,15.58448342
441,15.57626421
442,15.5857852
443,15.61296049
444,15.58553627
445,15.58034231
446,15.5942005
447,15.60749357
448,15.60269837
449,15.618845
450,15.57372231
451,15.57076687
452,15.61024217
453,15.58817956
454,15.60379056
455,15.59301055
456,15.60542454
457,15.58291499
458,15.59645167
459,15.58161565
460,15.62610154
461,15.59504338
462,15.60099823
463,15.57065588
464,15.57280451
465,15.62991355
466,15.60927869
467,15.59823621
468,15.61987411
469,15.60787036
470,15.63297195
471,15.59758992
472,15.59475231
473,15.6138947
474,15.59941142
475,15.58607503
476,15.59114721
477,15.59716503
478,15.58889407
479,15.59943853
480,15.60827304
481,15.60282854
482,15.61526931
483,15.61729658
484,15.5918781
485,15.61093108
486,15.58834838
487,15.60168781
488,15.58834174
489,15.59150518
490,15.59161996
491,15.62596849
492,15.60458781
493,15.6060711
494,15.5839815
495,15.59165263
496,15.63118872
497,15.60075941
498,15.59035052
499,15.60596812
500,15.59418815
501,15.60143797
502,15.60156516
503,15.60037035
504,15.63187686
505,15.60216113
506,15.5742089
507,15.5860901
508,15.59920149
509,15.59976324
510,15.59194479
511,15.61154702
512,15.60872299
513,15.63469707
514,15.58508413
515,15.58615208
516,15.58346251
517,15.60756864
518,15.6162813
519,15.60341489
520,15.5997297
521,15.62267571
522,15.62580086
523,15.60252988
524,15.61133324
525,15.58710735
526,15.61710834
527,15.58336483
528,15.58123496
529,15.59582809
530,15.59017573
531,15.61168439
532,15.58063534
533,15.62170698
534,15.59702675
535,15.58533882
536,15.61286639
537,15.60320606
538,15.59256955
539,15.60952232
540,15.5900157
541,15.58201304
542,15.61211368
543,15.5860666
544,15.61554949
545,15.60062563
546,15.598883
547,15.59134005
548,15.60434526
549,15.59997992
550,15.59316512
551,15.60646366
552,15.64611486
553,15.58171161
554,15.61968404
555,15.56628287
556,15.60260517
557,15.61774237
558,15.61194574
559,15.61086467
560,15.58673062
561,15.62009653
562,15.6140722
563,15.60451543
564,15.60904119
565,15.60990046
566,15.59162719
567,15.58096535
568,15.60432597
569,15.58839753
570,15.5871118
571,15.58638607
572,15.5907493
573,15.59299995
574,15.57808454
575,15.58615035
576,15.59183332
577,15.58979711
578,15.59818223
579,15.61396864
580,15.59408295
581,15.62279494
582,15.61291269
583,15.61563561
584,15.59922153
585,15.59811922
586,15.58781792
587,15.60092371
588,15.60048421
589,15.60900794
590,15.60396545
591,15.59626521
592,15.59701515
593,15.60372267
594,15.61784667
595,15.60876398
596,15.60044351
597,15.6173785
598,15.57974871
