Raman Shift,Intensity 
400,6.029733896
401,5.991371946
402,6.03571902
403,5.982675911
404,5.958102086
405,5.974234895
406,6.017305706
407,5.990976752
408,6.078540024
409,6.036340774
410,6.019341322
411,5.920072827
412,5.976999593
413,6.02331593
414,6.002181361
415,5.951655525
416,5.992700374
417,5.900113602
418,6.039700135
419,5.974246844
420,5.99400593
421,6.038356731
422,6.043671952
423,6.000228598
424,6.019215034
425,6.009963076
426,6.006035654
427,6.02672503
428,6.028352875
429,5.942629531
430,6.06513203
431,5.985234158
432,6.029609998
433,5.96962228
434,5.904569346
435,5.893145607
436,6.030904572
437,5.9108084
438,5.976916913
439,5.989634966
440,5.971485512
441,5.978627375
442,5.946909699
443,5.991416118
444,5.996878436
445,5.945882891
446,6.009523116
447,6.034914031
448,6.019359657
449,5.8989965
450,6.056657319
451,6.001403705
452,5.968397213
453,6.035318461
454,5.894006827
455,5.943225452
456,6.025059769
457,5.959825061
458,5.958934741
459,6.009564388
460,5.925028038
461,6.042843076
462,5.953904784
463,5.938806181
464,6.057338278
465,6.009860171
466,6.009820316
467,6.013861496
468,6.105332366
469,5.996345598
470,5.970733975
471,5.990905379
472,6.014853969
473,5.966584821
474,5.947128397
475,5.990693821
476,6.032351563
477,5.989885807
478,5.936392687
479,6.004824272
480,6.074193357
481,5.973874933
482,5.981520588
483,6.01915566
484,5.964560009
485,5.970356297
486,6.092594849
487,6.071814281
488,6.031911607
489,5.967676456
490,6.019444643
491,6.042234983
492,6.06315023
493,5.975788873
494,5.960239839
495,6.032608224
496,6.069915998
497,6.010070915
498,6.045174347
499,5.98657905
500,5.927712328
501,6.149020802
502,6.113954458
503,5.958998316
504,5.983817663
505,5.910784818
506,5.942920031
507,5.969410885
508,5.861033967
509,6.026793405
510,5.948091234
511,5.893002436
512,5.947016361
513,6.046006985
514,6.052960068
515,5.981949845
516,5.979054597
517,6.148897539
518,5.981800842
519,5.968701937
520,6.097725332
521,6.007803275
522,6.025449792
523,5.906815691
524,5.988343864
525,6.053435478
526,6.085912633
527,6.046162135
528,5.939207156
529,6.007666383
530,5.968559899
531,5.912074951
532,5.989288009
533,5.984487528
534,6.051536469
535,5.983501253
536,5.958430358
537,6.023496401
538,5.945454231
539,5.99408758
540,6.055094646
541,5.939482127
542,5.958598743
543,5.984588961
544,5.984779578
545,6.065265502
546,5.985559543
547,5.989582998
548,5.915996577
549,5.973629466
550,5.976338616
551,5.994860799
552,6.092378608
553,5.911129404
554,5.959347428
555,5.994026258
556,5.934084931
557,5.975457145
558,6.054414128
559,5.954203193
560,6.038454031
561,6.026054734
562,6.008626791
563,5.975451989
564,5.932080055
565,5.932619801
566,5.983242906
567,5.979696614
568,5.937893944
569,5.973321665
570,5.971854927
571,5.982753703
572,5.934632289
573,5.995674391
574,6.041992769
575,5.986607027
576,6.084862761
577,5.994368935
578,6.090928864
579,5.93647523
580,5.93876345
581,6.050350182
582,5.985740309
583,6.053412563
584,5.967715534
585,6.045174071
586,5.936064833
587,5.979641509
588,6.024604245
589,5.985473501
590,6.026643462
591,5.978623349
592,6.023807356
593,5.937299168
594,5.994404553
595,6.063862585
596,5.939756234
597,5.977982724
598,5.949044053
599,6.001913694
600,6.016622968
601,5.905740915
602,5.988591094
603,5.982078783
604,6.078356133
605,6.055964638
606,6.020732996
607,5.966641307
608,6.057776198
609,5.98693033
610,6.006346919
611,5.976058582
612,5.974784896
613,5.9599863
614,5.977160928
615,6.030372121
616,6.035648967
617,6.018863824
618,5.994492474
619,5.989111662
620,6.002124216
621,5.979534995
622,5.983940177
623,5.979103168
624,6.05056143
625,6.015545196
626,6.035212799
627,6.067118399
628,6.019053776
629,6.095354999
630,5.99269972
631,5.862780962
632,6.002681826
633,6.055187793
634,5.978122244
635,6.071406512
636,6.056673575
637,6.109493239
638,6.016930922
639,6.062610068
640,6.029082041
641,6.000285058
642,6.019283082
643,5.965219838
644,5.886124379
645,6.054384116
646,5.961689057
647,6.024167686
648,5.990839907
649,6.001797413
650,6.039704427
651,5.970659555
652,5.88684481
653,5.981217146
654,6.01323203
655,5.956677671
