Raman Shift,Intensity 
400,7.203667961
401,7.210928045
402,7.146072528
403,7.261685391
404,7.187527337
405,7.196362374
406,7.107575265
407,7.156939414
408,7.200661804
409,7.154245609
410,7.125757365
411,7.156252323
412,7.227321047
413,7.333100453
414,7.273185856
415,7.279550344
416,7.175967981
417,7.190762859
418,7.179791432
419,7.186755443
420,7.164584046
421,7.230720895
422,7.193389691
423,7.196159167
424,7.205326123
425,7.232266345
426,7.292480632
427,7.203255249
428,7.279833215
429,7.296169654
430,7.179323438
431,7.230629238
432,7.260956369
433,7.284346286
434,7.221334971
435,7.297964306
436,7.256124522
437,7.181581123
438,7.162345187
439,7.170235651
440,7.239202863
441,7.247461797
442,7.219578584
443,7.28334283
444,7.293175321
445,7.257212424
446,7.330206194
447,7.287148901
448,7.304480238
449,7.394329102
450,7.312755122
451,7.325776742
452,7.361674447
453,7.294345754
454,7.322291532
455,7.27740936
456,7.261478678
457,7.204846295
458,7.363688549
459,7.272845399
460,7.298921312
461,7.270555375
462,7.313392327
463,7.316807625
464,7.311892411
465,7.316202995
466,7.27598966
467,7.317057329
468,7.196292646
469,7.30617819
470,7.279754715
471,7.358293476
472,7.300708338
473,7.34031429
474,7.252690587
475,7.268584747
476,7.301496754
477,7.23911692
478,7.246541594
479,7.255726564
480,7.244034065
481,7.133916621
482,7.296940075
483,7.286572778
484,7.169571759
485,7.25107496
486,7.315327954
487,7.289004944
488,7.26932996
489,7.235506521
490,7.263174998
491,7.257590371
492,7.2075793
493,7.361501497
494,7.241476436
495,7.272982422
496,7.257158158
497,7.275624571
498,7.241075117
499,7.242054004
500,7.231935143
501,7.223220899
502,7.182666368
503,7.166217652
504,7.179583396
505,7.221059745
506,7.235720224
507,7.243137365
508,7.250778017
509,7.189246287
510,7.170465952
511,7.220771518
512,7.26523985
513,7.25796676
514,7.185166525
515,7.114911435
516,7.210737523
517,7.179351669
518,7.245065281
519,7.169150861
520,7.221736994
521,7.185817422
522,7.205169603
523,7.169798953
524,7.17412534
525,7.119044714
526,7.269366145
527,7.056746145
528,7.263405214
529,7.264538734
530,7.132074954
531,7.309723296
532,7.237647747
533,7.236384223
534,7.301606626
535,7.234584956
536,7.264514454
537,7.135617853
538,7.157467339
539,7.15160367
540,7.123778204
541,7.184913588
542,7.254977226
543,7.216157549
544,7.145765777
545,7.226098007
546,7.205691064
547,7.183032119
548,7.228927031
549,7.174896922
550,7.288071357
551,7.158525995
552,7.137529537
553,7.222115336
554,7.218575945
555,7.128208118
556,7.19560894
557,7.264341955
558,7.250906668
559,7.231119706
560,7.163345998
561,7.153798637
562,7.1247338
563,7.25043244
564,7.187152047
565,7.223038661
566,7.194185789
567,7.244057291
568,7.161375073
569,7.215456687
570,7.212704424
571,7.211133802
572,7.197381225
573,7.189647913
574,7.146573599
575,7.216314298
576,7.175089082
577,7.120324062
578,7.204739788
579,7.147880534
580,7.199048144
581,7.27490902
582,7.176235626
583,7.223510842
584,7.167445235
585,7.218044673
586,7.27326784
587,7.202368076
588,7.167973272
589,7.227070513
590,7.253746604
591,7.168649044
592,7.18873869
593,7.262477778
594,7.166713569
595,7.26541213
596,7.201507867
597,7.183725892
598,7.147221374
599,7.153057302
600,7.130818849
601,7.178532269
602,7.088091465
603,7.13881763
604,7.111311618
605,7.135033498
606,7.217945829
607,7.227493441
608,7.228100612
609,7.195997548
610,7.213775561
611,7.259146848
612,7.186485076
613,7.155462027
614,7.220097042
615,7.172059302
616,7.180473678
617,7.143632149
618,7.215369766
619,7.223756632
620,7.106034413
621,7.273265559
622,7.193300291
623,7.198850195
624,7.184254708
