Raman Shift,Intensity 
400,-0.05411822
401,-0.030030898
402,0.043246916
403,-0.008139698
404,-0.00365761
405,0.079658618
406,0.045948924
407,-0.069471662
408,0.079895008
409,0.062444386
410,-0.028972193
411,-0.004241118
412,-0.034659333
413,-0.10443957
414,-0.022009417
415,-0.02740991
416,0.101551111
417,0.092524535
418,-0.011567725
419,-0.03708245
420,0.030419418
421,-0.062268183
422,0.026565124
423,-0.02389453
424,0.032962907
425,0.077172249
426,0.01122639
427,-0.044616083
428,0.001691643
429,0.005813422
430,-0.015620656
431,0.072423772
432,0.031669834
433,0.034092274
434,-0.036180244
435,0.062834877
436,-0.052083963
437,-0.071400288
438,-0.017702775
439,0.05713428
440,-0.052376177
441,-0.051031268
442,0.136007197
443,-0.011128309
444,0.056971076
445,-0.001279875
446,-0.040823557
447,-0.04242278
448,-0.004574429
449,-0.073219415
450,0.016541907
451,0.072318441
452,-0.00884103
453,0.040424992
454,-0.008926814
455,-0.029352683
456,-0.021020548
457,0.055295674
458,0.054296222
459,0.027306726
460,0.019023338
461,0.048483744
462,0.041058209
463,0.174383134
464,0.068479398
465,0.008106491
466,-0.046311479
467,0.043600726
468,-0.008942996
469,-0.027814799
470,-0.077958737
471,-0.006865181
472,-0.033139862
473,-0.004935087
474,0.013620388
475,0.029579969
476,0.033078985
477,-0.015587453
478,0.017766356
479,0.012448764
480,-0.005926331
481,0.008955304
482,0.061041915
483,-0.035991457
484,-0.045218466
485,-0.042442785
486,-0.091708501
487,0.017863709
488,-0.087846717
489,0.022054337
490,0.060459938
491,-0.034116228
492,-0.104263538
493,-0.00631979
494,0.024576783
495,-0.059822868
496,0.123845675
497,0.024750467
498,-0.001596765
499,0.05993114
500,-0.023120691
501,0.048710963
502,0.00666381
503,-0.022115526
504,0.108705029
505,-0.003217852
506,0.010440344
507,-0.041797359
508,0.049786995
509,-0.042377649
510,0.028368142
511,-0.028315381
512,-0.008879914
513,-0.017142377
514,-0.020648913
515,-0.009868812
516,-0.069617088
517,-0.0561045
518,0.012092602
519,-0.093788452
520,0.096954907
521,0.022848067
522,0.052582925
523,-0.010199928
524,-0.064067757
525,-0.074255038
526,-0.081810228
527,0.030471353
528,0.072822718
529,-0.00735838
530,0.074204585
531,0.029658675
532,-0.072856045
533,0.031112371
534,0.018952665
535,0.025733468
536,0.058274758
537,-0.013253698
538,0.041126006
539,0.075415043
540,0.058507082
541,-0.036637732
542,-0.01090755
543,0.041396812
544,-0.086551965
545,-0.061407428
546,-0.000925786
547,0.028325234
548,-0.013016634
549,-0.011295894
550,-0.023684951
551,0.067894235
552,-0.077950482
553,0.033209688
554,0.083993155
555,0.004754608
556,0.095347206
557,-0.038332855
558,0.001008031
559,-0.021683952
560,-0.008490941
561,-0.005524905
562,-0.008890973
563,0.075052442
564,0.009239857
565,-0.025327737
566,0.023467889
567,0.040926425
568,-0.031434082
569,-0.029122025
570,0.105532573
571,-0.051187845
572,-0.020232213
573,-0.03321767
574,-0.016528297
575,-0.037112672
576,-0.137353465
577,0.045549824
578,-0.083094073
579,0.005261682
580,0.047769535
581,0.164738327
582,0.066120488
583,0.060160298
584,0.111663775
585,-0.005996903
586,0.005848319
587,-0.014638505
588,-0.076247983
589,-0.014191357
590,-0.037326705
591,-0.015415367
592,-0.10307539
593,-0.090975836
594,-0.02344416
595,0.001038639
596,-0.076508194
597,0.019089285
598,0.04547584
599,0.021350417
600,-0.079455518
601,0.027209488
602,0.005752292
603,-0.015244737
604,0.024127003
605,0.027731898
606,-0.062561985
607,0.001450813
608,-0.009387573
609,-0.000922377
610,0.01199507
611,-0.113079006
612,0.034539181
613,0.004149016
614,-0.021901431
615,-0.031581766
616,0.045726638
617,-0.040793788
618,-0.039453803
619,0.080209018
620,-0.019220103
621,-0.139368727
622,-0.002551876
623,0.001627004
624,-0.092019747
625,-0.036148154
626,-0.020045662
627,-0.016210663
628,-0.050633137
629,0.015515868
630,0.054741849
631,0.023423256
632,0.06206709
633,0.078492424
634,0.062450556
635,0.044274148
636,-0.022119547
637,0.023734924
638,0.043990093
639,-0.012852863
640,0.017383191
641,-0.032212603
642,-0.030734208
643,0.051954125
644,0.122120327
645,0.021007128
646,-0.016851919
647,0.026925211
648,-0.032521797
649,0.021907675
650,-0.107395379
651,-0.012021328
652,-0.065988358
653,-0.000952124
654,0.065066295
655,-0.039462527
656,-0.078163803
657,-0.069771861
658,-0.059341167
659,-0.090692956
660,0.071863825
661,0.02914445
662,-0.018270357
663,-0.026116381
664,0.031763234
665,-0.014816579
666,-0.097535768
667,0.048023065
668,0.005851668
669,0.033774586
670,0.005361391
671,-0.029735102
672,-0.038191885
673,0.04395463
674,0.109546837
675,-0.041095052
676,0.065192739
677,0.040459218
678,0.029867988
679,0.05709459
680,-0.008397591
681,0.059122654
682,-0.048821656
683,0.037124974
684,0.014766657
685,-0.007968807
686,-0.018916028
687,0.068414043
688,0.016041751
689,-0.041769464
690,0.014226204
691,-0.068055645
692,0.016960522
693,-0.031264737
694,-0.042941161
695,0.021543666
696,0.010170792
697,-0.050060101
698,-0.070000804
699,0.083994964
700,-0.020876876
701,0.004364123
702,-0.0297909
703,-0.008145172
704,-0.050965574
705,-0.100359362
706,0.022364908
707,0.054026843
708,-0.135374136
709,0.013487528
710,-0.009472189
711,-0.00251484
712,-0.046980192
713,0.072443264
714,0.038082036
715,-0.068735206
716,-0.041350777
717,-0.046868575
718,-0.023268861
719,-0.034201771
720,-0.00293234
721,-0.008385976
722,0.030733808
723,-0.037065463
724,-0.001361916
725,-0.077913721
726,-0.022926214
727,0.033545339
728,0.10218095
729,-0.070955504
730,0.018550514
731,-0.120147605
732,-0.04746192
733,-0.046163663
734,-0.01235433
735,0.00157675
736,0.016278673
737,-0.011594697
738,0.032914456
739,0.035998647
740,-0.007464084
741,0.005176045
742,-0.056271739
743,0.058368822
744,-0.048180967
745,-0.093748352
746,0.045360605
747,-7.57E-05
748,0.062062784
749,0.029693858
750,0.06662703
751,-0.022626663
752,-0.005024254
753,0.019206278
754,0.009837502
755,-0.029951225
756,0.06147637
757,-0.041131413
758,-0.019722529
759,0.039682521
760,-0.075929248
761,0.009931273
762,-0.105301577
763,0.102877329
764,0.05853606
765,0.018808159
766,0.014798859
767,0.056062606
768,-0.08267848
769,-0.012944411
770,-0.040640221
771,0.011290508
772,0.075112205
773,-0.026316036
774,-0.003525001
775,-0.042235393
776,0.039489288
777,0.037457298
778,0.030593506
779,0.099246685
780,-0.042335008
781,0.026993076
782,-0.034792737
783,0.006277795
784,0.025243288
