Raman Shift,Intensity 
400,1.183588567
401,1.235614813
402,1.231410993
403,1.244037224
404,1.216350314
405,1.202465587
406,1.220010434
407,1.236535678
408,1.180267556
409,1.195169852
410,1.227698329
411,1.192286646
412,1.281778602
413,1.189610607
414,1.249005649
415,1.211275834
416,1.200670463
417,1.252121822
418,1.173212519
419,1.203172189
420,1.240854621
421,1.172640565
422,1.269912902
423,1.213179051
424,1.288253938
425,1.280043592
426,1.240383965
427,1.198161728
428,1.261184087
429,1.260234378
430,1.237182507
431,1.316453201
432,1.261797961
433,1.197031582
434,1.262575159
435,1.256293875
436,1.245975982
437,1.264147643
438,1.289336206
439,1.308245053
440,1.250951293
441,1.275691885
442,1.192491929
443,1.201861444
444,1.226100233
445,1.225778406
446,1.256651155
447,1.331982763
448,1.272354705
449,1.278527688
450,1.265117103
451,1.340414716
452,1.230125615
453,1.327895506
454,1.271492912
455,1.288016205
456,1.255295538
457,1.288988212
458,1.311984949
459,1.315880602
460,1.299856452
461,1.290046815
462,1.310592298
463,1.313428703
464,1.330738531
465,1.235281423
466,1.30418554
467,1.286149586
468,1.324825295
469,1.319451994
470,1.254153052
471,1.339299513
472,1.259166577
473,1.282016098
474,1.247835825
475,1.23173059
476,1.337459105
477,1.271463955
478,1.306629247
479,1.227962365
480,1.190214074
481,1.282935498
482,1.264467076
483,1.254943187
484,1.248523003
485,1.21572097
486,1.263964193
487,1.279165243
488,1.20761247
489,1.309568078
490,1.291990725
491,1.245773813
492,1.258182311
493,1.232535987
494,1.276752245
495,1.186319638
496,1.234529409
497,1.257620589
498,1.247841467
499,1.293357722
500,1.211829259
501,1.279321054
502,1.265223072
503,1.198379977
504,1.260143319
505,1.230352929
506,1.190273136
507,1.19232295
508,1.219757366
509,1.21808858
510,1.188074482
511,1.235325729
512,1.194884402
513,1.190567634
514,1.226906788
515,1.218090582
516,1.188151437
517,1.211330779
518,1.164516218
519,1.167328744
520,1.235753557
521,1.228643227
522,1.253921278
523,1.257859845
524,1.2230807
525,1.168646426
526,1.180028682
527,1.209706947
528,1.188388323
529,1.247939583
530,1.148255827
531,1.195631849
532,1.158673801
533,1.155964906
534,1.145483861
535,1.224378262
536,1.168304901
537,1.156764323
538,1.286560784
539,1.184834944
540,1.105575975
541,1.176277457
542,1.223291227
543,1.200035172
544,1.187049432
545,1.147581094
546,1.218125067
547,1.197232416
548,1.141532384
549,1.269276167
550,1.148188681
551,1.210363959
552,1.207670948
553,1.21847667
554,1.232000287
555,1.211401402
556,1.242204549
557,1.227681102
558,1.197189475
559,1.202262656
560,1.161463519
561,1.278362558
562,1.190391418
563,1.17735268
564,1.154517828
565,1.191039546
566,1.196235093
567,1.236817438
568,1.183482294
569,1.239059139
570,1.217063538
571,1.242262871
572,1.222261332
573,1.263390226
574,1.202510076
575,1.2214899
576,1.266200003
577,1.221420155
578,1.164307295
579,1.095714067
580,1.159266298
581,1.151987262
582,1.280411902
583,1.155315591
584,1.204652137
585,1.168129523
586,1.247649872
587,1.235096855
588,1.208134835
589,1.214980042
590,1.206978408
591,1.148346125
592,1.15688904
593,1.237407619
594,1.165841736
595,1.145532117
596,1.288041714
597,1.176099147
598,1.141369341
599,1.261482307
600,1.157297469
601,1.252129281
602,1.24227242
603,1.183766382
604,1.227765272
