Raman Shift,Intensity 
400,2.391309508
401,2.396511452
402,2.393973205
403,2.408952959
404,2.409583492
405,2.395070879
406,2.39252582
407,2.405466532
408,2.424426385
409,2.406526821
410,2.374744625
411,2.413873083
412,2.384321899
413,2.455034522
414,2.422678369
415,2.422308681
416,2.405226563
417,2.433146429
418,2.413752509
419,2.418955579
420,2.39746899
421,2.403770217
422,2.413132138
423,2.397240688
424,2.391424198
425,2.377415676
426,2.388477207
427,2.391102978
428,2.38235448
429,2.39827323
430,2.363228689
431,2.384770207
432,2.412149772
433,2.404513432
434,2.432698706
435,2.399312013
436,2.389869665
437,2.372064703
438,2.360422299
439,2.380874793
440,2.436454936
441,2.377086637
442,2.405254839
443,2.404497011
444,2.406364402
445,2.434125674
446,2.376597113
447,2.412242936
448,2.422552249
449,2.403770707
450,2.378846176
451,2.419404941
452,2.400189671
453,2.406480202
454,2.37622097
455,2.470899652
456,2.414470541
457,2.400097612
458,2.413386553
459,2.364091299
460,2.416366401
461,2.39393227
462,2.388055631
463,2.435167981
464,2.405077444
465,2.407995406
466,2.428334093
467,2.404437807
468,2.371349605
469,2.367989266
470,2.381515954
471,2.379971283
472,2.411169158
473,2.393125196
474,2.394290554
475,2.386374383
476,2.399346697
477,2.387689021
478,2.385541821
479,2.374342986
480,2.382946992
481,2.399550286
482,2.414390075
483,2.372519249
484,2.389435202
485,2.414171361
486,2.408248821
487,2.412460954
488,2.38543739
489,2.389645311
490,2.423375294
491,2.430203365
492,2.435900846
493,2.431532466
494,2.395095611
495,2.394500578
496,2.382663408
497,2.382705608
498,2.406679739
499,2.422314887
500,2.398392138
501,2.39817979
502,2.414793871
503,2.400915531
504,2.396939011
505,2.436579767
506,2.40203464
507,2.412010906
508,2.406960636
509,2.40233544
510,2.401719486
511,2.424235356
512,2.401638241
513,2.393268625
514,2.357904296
515,2.398619887
516,2.397845466
517,2.435209362
518,2.379757893
519,2.404170086
520,2.368892768
521,2.426068545
522,2.358747859
523,2.39329406
524,2.383659314
525,2.405072141
526,2.423982469
527,2.412541036
528,2.37062526
529,2.403124044
530,2.395386588
531,2.391731539
532,2.406030598
533,2.419922678
534,2.38607366
535,2.39680684
536,2.449460566
537,2.388375408
538,2.372992411
539,2.416260421
540,2.390790179
541,2.383817228
542,2.369395126
543,2.413213342
544,2.407939048
545,2.33547836
546,2.387372306
547,2.402876401
548,2.410601645
549,2.417277158
550,2.404328902
551,2.420166986
552,2.423251208
553,2.407588349
554,2.41850891
555,2.40906475
556,2.394529826
557,2.424674804
558,2.40562579
559,2.429546029
560,2.404223999
561,2.4086227
562,2.426553106
563,2.378377236
564,2.386744961
565,2.402173259
566,2.379138503
567,2.404732227
568,2.365570981
569,2.42792904
570,2.378312693
571,2.385630132
572,2.398989185
573,2.385897341
574,2.437627127
575,2.418467013
576,2.368309549
577,2.435616723
578,2.42684435
579,2.364164603
580,2.378103682
581,2.430592016
582,2.414920774
583,2.389645306
584,2.36777811
585,2.387442452
586,2.389577927
587,2.404171539
588,2.374257512
589,2.436542583
590,2.393273577
591,2.457293204
592,2.41361152
593,2.401392087
594,2.415280098
595,2.397660342
596,2.411539341
597,2.442194528
598,2.433666949
599,2.367331776
600,2.4093558
601,2.405627766
602,2.416867924
603,2.393705192
604,2.414448484
605,2.396642829
606,2.415314672
607,2.423431382
608,2.409835076
609,2.390785705
610,2.38381508
611,2.385860503
612,2.40042702
613,2.401635117
614,2.403847455
615,2.396810506
616,2.384287451
617,2.391452584
618,2.383234543
619,2.4116512
620,2.418080582
621,2.438055345
622,2.384133801
623,2.428521896
624,2.397766228
625,2.409347098
626,2.398757676
627,2.405850504
628,2.402575136
629,2.393863258
630,2.391881149
631,2.406584686
632,2.412932363
633,2.389835706
634,2.406774585
635,2.373070872
636,2.378122811
637,2.411309651
638,2.423767155
639,2.406283171
640,2.403165838
641,2.38734505
642,2.393384884
643,2.398376865
644,2.420742411
645,2.393572415
646,2.401677745
647,2.382048642
648,2.42100964
649,2.392012326
650,2.381944632
651,2.392457708
652,2.400351267
653,2.373287933
654,2.358884661
655,2.381206724
656,2.377536205
657,2.398140196
658,2.427176685
659,2.396129973
660,2.411315815
661,2.424906999
662,2.418157336
663,2.37716092
664,2.3705824
665,2.408528613
666,2.403860427
667,2.410556457
668,2.420421805
669,2.4044567
670,2.404146402
671,2.389699052
672,2.404983
673,2.428298346
674,2.389726659
675,2.380143282
676,2.385756904
677,2.438625688
678,2.390496706
679,2.377496143
680,2.373643448
681,2.412684326
682,2.396563514
683,2.380438112
684,2.378530247
685,2.379110269
686,2.367248335
687,2.386100762
688,2.385584611
689,2.35112829
690,2.39334732
691,2.397076869
692,2.375486775
693,2.394974906
694,2.432670289
695,2.412001296
696,2.391684227
697,2.426534851
698,2.405321515
699,2.360935418
700,2.406102617
701,2.418696326
702,2.399676995
703,2.417152023
704,2.390509762
705,2.40099173
706,2.39642694
707,2.391723101
708,2.426048081
709,2.407921935
710,2.444732805
711,2.391364714
712,2.38656964
713,2.429232136
714,2.407292005
715,2.442741581
716,2.397358627
717,2.378963384
718,2.397447349
719,2.389577296
720,2.405968886
721,2.419435824
722,2.417750782
723,2.435126484
724,2.401912797
725,2.391719194
726,2.390611076
727,2.406096621
728,2.393885823
729,2.411353459
730,2.391194616
731,2.364960326
732,2.394116075
733,2.371418146
734,2.386173336
735,2.415744029
736,2.416093603
737,2.376231022
738,2.401524367
739,2.417886539
740,2.423214589
741,2.396001892
742,2.41216134
743,2.381595322
744,2.409145677
745,2.384451668
746,2.42115845
747,2.379463564
748,2.346830746
749,2.381270578
750,2.366896924
751,2.38137282
752,2.38722185
753,2.405797549
754,2.43756855
755,2.39004274
756,2.385606139
757,2.39939833
758,2.387906635
759,2.397659261
760,2.40148019
761,2.405177061
762,2.360986199
763,2.415266407
764,2.385492595
765,2.375728029
766,2.400961552
767,2.391803948
768,2.414794868
769,2.390021709
770,2.423385225
771,2.40740276
772,2.409821287
773,2.391751972
774,2.416600397
775,2.38362329
776,2.426783515
777,2.4131236
778,2.389191997
779,2.379446612
780,2.410998945
781,2.418909865
782,2.395422517
783,2.381433974
784,2.406965397
785,2.421613998
786,2.392465789
787,2.382736831
788,2.391358946
789,2.385367099
790,2.391276955
791,2.381758563
792,2.340666508
793,2.373349021
794,2.411489515
795,2.382591675
796,2.384286393
797,2.409199746
798,2.395356873
799,2.354513707
800,2.377752408
801,2.34793095
802,2.411953547
803,2.396745958
804,2.39296192
805,2.417673518
806,2.402212743
807,2.39691008
808,2.392865102
809,2.360019492
810,2.384445744
811,2.420159469
812,2.435622223
813,2.4020854
814,2.432316029
815,2.39148073
816,2.393908906
817,2.435683836
818,2.40215698
819,2.419789965
820,2.396574546
821,2.390404888
822,2.378079717
823,2.413321118
824,2.4341701
825,2.382596566
826,2.375173329
827,2.423219304
828,2.413246556
829,2.430944972
830,2.414635102
831,2.377948942
832,2.405607321
833,2.366267956
834,2.422251024
835,2.401934572
836,2.432069626
837,2.39950572
838,2.41338887
839,2.435034256
840,2.394077082
841,2.385441301
842,2.409789597
843,2.373556986
844,2.381086382
845,2.431797339
846,2.398040418
847,2.421123013
848,2.383643094
849,2.412922846
850,2.416805546
851,2.384576637
852,2.397212306
853,2.406523679
854,2.414870541
855,2.39336062
856,2.416055383
857,2.431128134
858,2.420226315
859,2.432326118
860,2.384218104
861,2.430663008
862,2.433141438
863,2.470679247
864,2.445493055
865,2.450911
866,2.473662753
867,2.458654341
868,2.473388085
869,2.443658781
870,2.454991675
871,2.470451101
872,2.510999086
873,2.508344634
874,2.470083688
875,2.547866014
876,2.506233733
877,2.512849044
878,2.51569663
879,2.547857841
880,2.560057584
881,2.51378573
882,2.602037287
883,2.593580064
884,2.626175677
885,2.638426725
886,2.671279716
887,2.65356167
888,2.656583171
889,2.728207718
890,2.727688857
891,2.765839211
892,2.752792818
893,2.810607218
894,2.777849273
895,2.829771744
896,2.850958854
897,2.896634289
898,2.894662429
899,2.899312982
900,2.955097293
901,2.945502819
902,3.001888461
903,2.993726532
904,3.033348413
905,3.037991115
906,3.082315771
907,3.136326825
908,3.120244068
909,3.149009129
910,3.146905322
911,3.187500577
912,3.25915073
913,3.216057852
914,3.267540277
915,3.317639087
916,3.24287182
917,3.269367358
918,3.289126456
919,3.403528335
920,3.337496612
921,3.366442606
922,3.36083218
923,3.359171598
924,3.389449394
925,3.44031362
926,3.379933694
927,3.403618502
928,3.401800717
929,3.373469338
930,3.381192811
931,3.378083197
932,3.387880317
933,3.412355498
934,3.367229616
935,3.345092549
936,3.365175961
937,3.33688636
938,3.345544385
939,3.304224049
940,3.291021051
941,3.286944679
942,3.23080552
943,3.244483125
944,3.221562597
945,3.185919549
946,3.153566216
947,3.172376813
948,3.141836282
949,3.10479031
950,3.084757834
951,3.098545452
952,3.038206951
953,2.952045441
954,3.024812825
955,2.940406675
956,2.93816232
957,2.875328009
958,2.899533162
959,2.848903266
960,2.838485971
961,2.818540964
962,2.782666971
963,2.732322602
964,2.764487334
965,2.744993371
966,2.705302733
967,2.711429216
968,2.664423619
969,2.629771461
970,2.624384566
971,2.593076448
972,2.639123955
973,2.60612107
974,2.609006656
975,2.552213316
976,2.560465185
977,2.534218801
978,2.509060718
979,2.545873489
980,2.485984295
981,2.490680652
982,2.52171008
983,2.500438668
984,2.4740636
985,2.476369889
986,2.446655448
987,2.448944721
988,2.474033064
989,2.433409057
990,2.462740159
991,2.444429923
992,2.419222769
993,2.447783211
994,2.446230833
995,2.400546898
996,2.411811145
997,2.406194857
998,2.393517131
999,2.408373013
1000,2.403638736
1001,2.440627307
1002,2.431132357
1003,2.412646209
1004,2.403986175
1005,2.401240258
1006,2.387267774
1007,2.406356313
1008,2.408998559
1009,2.402545045
1010,2.406413687
1011,2.394574268
1012,2.425454302
1013,2.382431668
1014,2.441356871
1015,2.432251795
1016,2.414300796
1017,2.402421272
1018,2.401554059
1019,2.393104115
1020,2.406682059
1021,2.411161429
1022,2.399104097
1023,2.407563514
1024,2.413574828
1025,2.411776459
1026,2.399705382
1027,2.385087399
1028,2.366641109
1029,2.363439712
1030,2.411340509
1031,2.413319996
1032,2.367386862
1033,2.375268666
1034,2.424762882
1035,2.438517228
1036,2.389258298
1037,2.420190101
1038,2.393410656
1039,2.382972225
1040,2.409709165
1041,2.377611175
1042,2.351647025
1043,2.413500715
1044,2.388948732
1045,2.411359136
1046,2.40902243
1047,2.384823537
1048,2.375925502
1049,2.371590107
1050,2.430888365
1051,2.414416112
1052,2.410072681
1053,2.417729035
1054,2.38432925
1055,2.410564727
1056,2.38559942
1057,2.366226271
1058,2.38216024
1059,2.420431392
1060,2.399519468
1061,2.44316113
1062,2.436412074
1063,2.379933933
1064,2.41768599
1065,2.41589195
1066,2.441656718
1067,2.417322108
1068,2.348567054
1069,2.373773527
1070,2.392796935
1071,2.409386221
1072,2.398024309
1073,2.401214878
1074,2.383470116
1075,2.380372956
1076,2.381916193
1077,2.398945819
1078,2.390014655
1079,2.383946665
1080,2.419943116
1081,2.425236623
1082,2.410785163
1083,2.38651937
1084,2.424715913
1085,2.406019852
1086,2.416540539
1087,2.389505247
1088,2.428604189
1089,2.397938969
1090,2.35900909
1091,2.427348313
1092,2.375471121
1093,2.416728049
1094,2.392178042
1095,2.396979989
1096,2.425536598
1097,2.424173856
1098,2.390512119
1099,2.426326242
1100,2.408748863
1101,2.410624264
1102,2.408744442
1103,2.395412569
1104,2.380430304
1105,2.417861625
1106,2.418424992
1107,2.388302655
1108,2.375121904
1109,2.408404047
1110,2.376451134
1111,2.4132845
1112,2.403516398
1113,2.3849133
1114,2.413599056
1115,2.37178131
1116,2.390920924
1117,2.404314811
1118,2.341670469
1119,2.403198451
1120,2.375914452
1121,2.383270584
1122,2.374064008
1123,2.430387076
1124,2.45382466
1125,2.400335828
1126,2.415701384
1127,2.383066205
1128,2.410264856
1129,2.412009239
1130,2.37950975
1131,2.406653936
1132,2.409745179
1133,2.423379833
1134,2.395034026
1135,2.402872198
1136,2.411889502
1137,2.435049713
1138,2.406270339
1139,2.377807357
1140,2.402236709
1141,2.369225136
1142,2.414884957
1143,2.386995522
1144,2.399034472
1145,2.409783542
1146,2.422426914
1147,2.385657291
1148,2.368669028
1149,2.429266952
1150,2.407511039
1151,2.381113955
1152,2.400062871
1153,2.378612424
1154,2.418732228
1155,2.421956993
1156,2.357086742
1157,2.422468399
1158,2.392473633
1159,2.45582795
1160,2.378668173
1161,2.418197926
1162,2.397141037
1163,2.40393922
1164,2.380921789
1165,2.380269458
1166,2.404986687
1167,2.376526702
1168,2.398475639
1169,2.409090914
1170,2.414941365
1171,2.419209439
1172,2.411258838
1173,2.420983924
1174,2.415326651
1175,2.388759519
1176,2.434704531
1177,2.390983012
1178,2.383405321
1179,2.377540349
1180,2.380436994
1181,2.390790848
1182,2.411734101
1183,2.422515626
1184,2.415608898
1185,2.422672744
1186,2.391148637
1187,2.401745562
1188,2.38534293
1189,2.433402132
1190,2.374955473
1191,2.387300943
1192,2.397543829
1193,2.412997208
1194,2.408883602
1195,2.370667086
1196,2.415629226
1197,2.428067216
1198,2.411377485
1199,2.390085187
1200,2.421780368
1201,2.384731634
1202,2.39694707
1203,2.380316254
1204,2.398458841
1205,2.387070429
1206,2.430740681
1207,2.418137564
1208,2.401677776
1209,2.374302594
1210,2.421442126
1211,2.387102849
1212,2.400574711
1213,2.4018335
1214,2.407281642
1215,2.400600541
1216,2.376599358
1217,2.400621839
1218,2.408211763
1219,2.407749593
1220,2.370018928
1221,2.394530271
1222,2.398466129
1223,2.420340378
1224,2.400058775
1225,2.334364142
1226,2.35825124
1227,2.368961195
1228,2.416218173
1229,2.423724118
1230,2.399487194
1231,2.43244353
1232,2.389932392
1233,2.395975796
1234,2.407864139
1235,2.379827707
1236,2.382248247
1237,2.402261765
1238,2.390600557
1239,2.42708333
1240,2.398803414
1241,2.403687599
1242,2.395659323
1243,2.39682862
1244,2.401113333
1245,2.429917445
1246,2.418907959
1247,2.401299762
1248,2.429044943
1249,2.394107554
1250,2.387312583
1251,2.398018517
1252,2.400128056
1253,2.398092332
1254,2.394456409
1255,2.397326959
1256,2.366848539
1257,2.398055495
1258,2.415184255
1259,2.372802601
1260,2.389603109
1261,2.414763893
1262,2.398382263
1263,2.400089318
1264,2.356987576
1265,2.358753947
1266,2.397944191
1267,2.409364175
1268,2.394792661
1269,2.432236722
1270,2.397452534
1271,2.418983347
1272,2.396159386
1273,2.390825653
1274,2.376171064
1275,2.390449828
1276,2.381657256
1277,2.425681983
1278,2.402046451
1279,2.418053033
1280,2.386290878
1281,2.403503346
1282,2.345625746
1283,2.420242495
1284,2.414052448
1285,2.41583207
1286,2.372117855
1287,2.363044004
1288,2.418298804
1289,2.367971358
1290,2.426327648
1291,2.382073536
1292,2.461035061
1293,2.422592141
1294,2.401539592
1295,2.398616543
1296,2.402114218
1297,2.382351732
1298,2.382176042
1299,2.390509664
1300,2.39790162
1301,2.398925858
1302,2.381479206
1303,2.390516623
1304,2.352797537
1305,2.401767906
1306,2.408835316
1307,2.385787756
1308,2.408067181
1309,2.363000779
1310,2.368689102
1311,2.415566912
1312,2.377213655
1313,2.378611008
1314,2.398994642
1315,2.44310709
1316,2.409537458
1317,2.408780663
1318,2.419684406
1319,2.427245925
1320,2.382590647
1321,2.438464835
1322,2.387795091
1323,2.434882214
1324,2.408006484
1325,2.386855209
1326,2.419667462
1327,2.396778685
1328,2.397947145
1329,2.384910858
1330,2.362462485
1331,2.4094125
1332,2.378760182
1333,2.378353599
1334,2.428801411
1335,2.387845204
1336,2.402168459
1337,2.420238284
1338,2.373148701
1339,2.381863622
1340,2.360244084
1341,2.377438888
1342,2.421100389
1343,2.418982882
1344,2.391125954
1345,2.409562038
1346,2.400126102
1347,2.431950418
1348,2.409594661
1349,2.420250587
1350,2.404869972
1351,2.424500195
1352,2.411722721
1353,2.396976584
1354,2.362542659
1355,2.434832751
1356,2.394684208
1357,2.393242148
1358,2.379581605
1359,2.403390703
1360,2.418510682
1361,2.431368083
1362,2.379873887
1363,2.399622692
1364,2.408258948
1365,2.385493569
1366,2.404982236
1367,2.417286906
1368,2.406634114
1369,2.41945292
1370,2.385087226
1371,2.41786249
1372,2.400274819
1373,2.381344127
1374,2.423880301
1375,2.397518534
