Raman Shift,Intensity 
400,9.584049558
401,9.620896257
402,9.623142668
403,9.601812849
404,9.644184589
405,9.59445234
406,9.57085003
407,9.566376545
408,9.61276653
409,9.628276999
410,9.594284286
411,9.645209618
412,9.604378136
413,9.5891841
414,9.635109517
415,9.559479959
416,9.583118357
417,9.596449055
418,9.553505157
419,9.559307654
420,9.591866666
421,9.593279575
422,9.646280955
423,9.659247098
424,9.615105465
425,9.583361863
426,9.610064724
427,9.621358737
428,9.559516831
429,9.630420931
430,9.584005448
431,9.587110007
432,9.581852918
433,9.536088128
434,9.610445249
435,9.576373613
436,9.675289757
437,9.61970735
438,9.606354737
439,9.560846617
440,9.63644252
441,9.618880729
442,9.592022267
443,9.574351911
444,9.613052534
445,9.588557316
446,9.648091281
447,9.585111094
448,9.599541485
449,9.588772769
450,9.595955835
451,9.559241486
452,9.631602471
453,9.593053428
454,9.591138714
455,9.621434226
456,9.629716578
457,9.61336308
458,9.587616642
459,9.609736369
460,9.558804997
461,9.581885679
462,9.595023039
463,9.587224739
464,9.66473976
465,9.527265266
466,9.584282697
467,9.626089369
468,9.619460878
469,9.567209194
470,9.60473933
471,9.585363151
472,9.623179581
473,9.664244551
474,9.585244676
475,9.59640078
476,9.596212427
477,9.602325495
478,9.606179001
479,9.622724233
480,9.63895408
481,9.63720946
482,9.614866614
483,9.55098935
484,9.599874271
485,9.594884792
486,9.632525615
487,9.584578933
488,9.566609615
489,9.584769213
490,9.538348338
491,9.577554051
492,9.620209153
493,9.588714253
494,9.587803397
495,9.648334319
496,9.606299998
497,9.631744273
498,9.593833586
499,9.558093632
500,9.621243914
501,9.573811726
502,9.552693493
503,9.570364708
504,9.604624082
505,9.618878548
506,9.598044517
507,9.609341452
508,9.613872004
509,9.640090048
510,9.563004036
511,9.600263396
512,9.61207063
513,9.616110569
514,9.550540119
515,9.656603666
516,9.611350264
517,9.639894749
518,9.61708947
519,9.608932077
520,9.61923963
521,9.549902505
522,9.572073505
523,9.641020717
524,9.543819278
525,9.577694444
526,9.560844145
527,9.608127078
528,9.551413489
529,9.592192425
530,9.542471223
531,9.593685273
532,9.600616131
533,9.594377048
534,9.560803028
535,9.564924344
536,9.574219481
537,9.628040756
538,9.610652006
539,9.617799078
540,9.656882392
541,9.67115003
542,9.658566958
543,9.579924021
544,9.660302142
545,9.580120991
546,9.614518208
547,9.616294793
548,9.557634951
549,9.609007717
550,9.563062533
551,9.606720545
552,9.610816687
553,9.536912257
554,9.580125186
555,9.569112812
556,9.579447201
557,9.585133401
558,9.637489168
559,9.643942351
560,9.612872954
561,9.54413684
562,9.576747549
563,9.629890862
564,9.59660981
565,9.543155758
566,9.563574789
567,9.547364537
568,9.595118437
569,9.622185334
570,9.569540991
571,9.579874428
572,9.595042266
573,9.65627166
574,9.604128234
575,9.596347848
576,9.619450307
577,9.534761851
578,9.603666601
579,9.609185399
580,9.560568865
581,9.648987311
582,9.563361265
583,9.627045836
584,9.622930137
585,9.619160706
586,9.609204019
587,9.596734081
588,9.643720673
589,9.666747969
590,9.604760222
591,9.622378249
592,9.64437787
593,9.566506681
594,9.603653203
595,9.684486607
596,9.573286592
597,9.591532765
598,9.652408789
599,9.576351003
600,9.630035566
601,9.592306586
602,9.527643491
603,9.634252827
604,9.568373704
605,9.595948041
606,9.592587569
607,9.606867336
608,9.585148365
609,9.58084752
610,9.588270541
611,9.556765735
612,9.573143108
613,9.632707444
614,9.575056433
615,9.593899799
616,9.613310276
617,9.625720425
618,9.628285019
619,9.607637707
620,9.621033661
621,9.561641721
622,9.608467132
623,9.577169574
624,9.596246745
625,9.603074049
626,9.588965413
627,9.61815479
628,9.628269047
629,9.5350047
630,9.636951166
631,9.630939807
632,9.643634097
633,9.658455307
634,9.587779253
635,9.575850042
636,9.563956
637,9.609425009
638,9.611450884
639,9.571118372
640,9.63068266
641,9.605836441
642,9.660154046
643,9.574785645
644,9.54279247
645,9.649104417
646,9.592392541
647,9.650415798
648,9.60289273
649,9.536279063
650,9.586209151
651,9.621349999
652,9.584406348
653,9.593393925
654,9.605707948
655,9.544797579
656,9.586947676
657,9.620417079
658,9.614944659
659,9.619773897
660,9.618989543
661,9.61273234
662,9.546786642
663,9.628774935
664,9.541540866
665,9.594472016
666,9.60314347
667,9.576385546
668,9.587205442
669,9.610265695
670,9.603246854
671,9.608085763
672,9.615340187
673,9.603330867
674,9.649457679
675,9.640393845
676,9.619159322
677,9.584513705
678,9.58560737
679,9.628153858
680,9.608125114
681,9.577549355
682,9.617612658
683,9.618824202
684,9.632906646
685,9.630079546
686,9.634099089
687,9.587522673
688,9.60786336
689,9.623314381
690,9.559072989
691,9.594632037
692,9.650552294
693,9.600006204
694,9.600596848
695,9.590822474
696,9.605765859
697,9.565590844
698,9.550715781
699,9.634814507
700,9.551199748
701,9.59400278
702,9.573972051
703,9.652668234
704,9.623342478
705,9.572862173
706,9.583385579
707,9.628335351
708,9.60680965
709,9.61410407
710,9.578369543
711,9.56759157
712,9.600676304
713,9.594459542
714,9.613298378
715,9.585351319
716,9.549940346
717,9.611575981
718,9.588390016
719,9.642853173
720,9.689703455
721,9.566987675
722,9.591659231
723,9.610242747
724,9.594534375
725,9.560868233
726,9.588215034
727,9.513716324
728,9.590591205
729,9.631490042
730,9.552044577
731,9.616486144
732,9.610890042
733,9.551525357
734,9.5895216
735,9.647028669
736,9.593946368
737,9.624358373
738,9.626679417
739,9.589938548
740,9.59310128
741,9.595950368
742,9.592348285
743,9.619784522
744,9.608935712
745,9.609404778
746,9.576009734
747,9.597063951
748,9.611108611
749,9.59484572
750,9.588171295
751,9.589953227
752,9.672273025
753,9.569039129
754,9.619885901
755,9.578353858
756,9.638466646
757,9.615421707
758,9.687488474
759,9.569862216
760,9.536522728
761,9.582956735
762,9.657714308
763,9.618254107
764,9.61753312
765,9.583130013
766,9.598941981
767,9.61223376
768,9.587262116
769,9.647958537
770,9.608780365
771,9.616502793
772,9.665456709
773,9.640073611
774,9.655693541
775,9.633247645
776,9.576476989
777,9.628161499
778,9.594691846
779,9.608669099
780,9.607563537
781,9.672605324
782,9.619585715
783,9.640376509
784,9.634719764
785,9.649180487
786,9.661230392
787,9.644557246
788,9.73156127
789,9.72267084
790,9.658436245
791,9.682555014
792,9.678751399
793,9.672776089
794,9.699439977
795,9.717577148
796,9.686092489
797,9.747773945
798,9.722733555
799,9.774252794
800,9.749514952
801,9.785695924
802,9.781193553
803,9.798891492
804,9.869868119
805,9.854625276
806,9.854837561
807,9.870690207
808,9.865327898
809,9.873663121
810,9.946505345
811,9.920531623
812,9.898495101
813,10.01812919
814,10.02851892
815,10.04459645
816,10.10463924
817,10.06342993
818,10.07886022
819,10.1409696
820,10.1429896
821,10.19414442
822,10.24499164
823,10.18809272
824,10.26040165
825,10.28393878
826,10.29341755
827,10.28553927
828,10.32407585
829,10.35574343
830,10.40146015
831,10.43523441
832,10.33637163
833,10.4574444
834,10.4726991
835,10.47020454
836,10.50782458
837,10.54153702
838,10.56400339
839,10.53255406
840,10.57785703
841,10.56239489
842,10.58778052
843,10.56480592
844,10.61985988
845,10.58637964
846,10.59005717
847,10.60785611
848,10.59297267
849,10.61334239
850,10.59635349
851,10.60467178
852,10.58176254
853,10.57271662
854,10.60681395
855,10.54492834
856,10.53253772
857,10.49249352
858,10.47042724
859,10.49041818
860,10.46160238
861,10.41973344
862,10.45705233
863,10.43985519
864,10.38967667
865,10.41457328
866,10.34100768
867,10.32511625
868,10.29965461
869,10.26621658
870,10.22656469
871,10.23303269
872,10.22741392
873,10.20235913
874,10.17739951
875,10.11931184
876,10.12477474
877,10.10806701
878,10.03566251
879,10.04256543
880,10.00106446
881,10.04077879
882,9.992148683
883,9.99237118
884,9.930575103
885,9.898814327
886,9.929905989
887,9.87010455
888,9.846221588
889,9.844366384
890,9.794700029
891,9.812616495
892,9.768324562
893,9.775347284
894,9.783586186
895,9.726636718
896,9.762594828
897,9.740649216
898,9.707625984
899,9.671179135
900,9.705330739
901,9.692927263
902,9.741505211
903,9.719170688
904,9.665354486
905,9.639953563
906,9.633766147
907,9.700231595
908,9.671820831
909,9.68038525
910,9.661022643
911,9.649433521
912,9.671134759
913,9.624673485
914,9.591236061
915,9.570474482
916,9.628341969
917,9.592689564
918,9.628910693
919,9.590493373
920,9.573976587
921,9.564948011
922,9.643986367
923,9.615486588
924,9.610599916
925,9.622718709
926,9.611246987
927,9.621227894
928,9.567746613
929,9.595244035
930,9.620365581
931,9.596927274
932,9.611686725
933,9.627815295
934,9.630679163
935,9.544489707
936,9.548080924
937,9.581272339
938,9.686159592
939,9.576894473
940,9.57200677
941,9.616671934
942,9.605795096
943,9.623037693
944,9.62160188
945,9.566475034
946,9.610440699
947,9.644604635
948,9.612083712
949,9.572456276
950,9.598896803
951,9.59610263
952,9.589671749
953,9.600069929
954,9.630131814
955,9.579340518
956,9.614368309
957,9.622000224
958,9.619837609
959,9.546235069
960,9.58193633
961,9.573639731
962,9.649928401
963,9.607240866
964,9.609121949
965,9.652762445
966,9.640091179
967,9.606529738
968,9.598034929
969,9.654830382
970,9.538595708
971,9.627036921
972,9.647175259
973,9.563817094
974,9.536694966
975,9.59737484
976,9.585223844
977,9.624217594
978,9.569314461
979,9.618794515
980,9.65787176
981,9.565413455
982,9.601662616
983,9.56597148
984,9.55920058
985,9.613810976
986,9.560225925
987,9.586057243
988,9.650595436
989,9.612647039
990,9.592870974
991,9.562200325
992,9.622393744
993,9.631488788
994,9.565655586
995,9.616036755
996,9.580995895
997,9.569871929
998,9.553828904
999,9.614033353
1000,9.589412774
1001,9.642974206
1002,9.538033431
1003,9.660085778
1004,9.593784394
1005,9.634989028
1006,9.574958071
1007,9.619997874
1008,9.549879085
1009,9.624359254
1010,9.593492326
1011,9.580375095
1012,9.596871049
1013,9.599248347
1014,9.597406689
1015,9.579920752
1016,9.593824847
1017,9.648263973
1018,9.657526813
1019,9.550416899
1020,9.619132766
1021,9.617989872
1022,9.635232744
1023,9.618102853
1024,9.622546797
1025,9.53462984
1026,9.644246322
1027,9.607466205
1028,9.61655726
1029,9.609348133
1030,9.643097883
1031,9.625532458
1032,9.566360533
1033,9.563092023
