Raman Shift,Intensity 
400,15.65811086
401,15.53556795
402,15.58415193
403,15.62054865
404,15.58181316
405,15.66206638
406,15.57089603
407,15.55269376
408,15.54272084
409,15.62382687
410,15.53998275
411,15.61493516
412,15.69949068
413,15.5686553
414,15.57978331
415,15.60354995
416,15.68938827
417,15.50778847
418,15.52610743
419,15.64535058
420,15.61625641
421,15.70909225
422,15.55571311
423,15.57705199
424,15.56552083
425,15.60504104
426,15.61873151
427,15.51437669
428,15.60166859
429,15.62894164
430,15.59351052
431,15.58729165
432,15.54827409
433,15.65799682
434,15.63252225
435,15.58710363
436,15.5130825
437,15.62113891
438,15.57046794
439,15.62697881
440,15.53847321
441,15.67189717
442,15.62129673
443,15.60563138
444,15.64029202
445,15.57343629
446,15.56241033
447,15.61025261
448,15.57207492
449,15.6487284
450,15.70290711
451,15.60555859
452,15.63741624
453,15.6417464
454,15.57096912
455,15.5671162
456,15.69303406
457,15.63412778
458,15.58104386
459,15.6154486
460,15.626487
461,15.58166183
462,15.60109754
463,15.60138156
464,15.63637208
465,15.60944947
466,15.60613593
467,15.5599102
468,15.62636884
469,15.56151032
470,15.58209211
471,15.63821387
472,15.58933854
473,15.62930584
474,15.59597952
475,15.59960101
476,15.53934679
477,15.70963124
478,15.62356583
479,15.61081359
480,15.56880078
481,15.64289263
482,15.63027017
483,15.61153852
484,15.6412548
485,15.57833432
486,15.60336001
487,15.62949379
488,15.66413523
489,15.64137234
490,15.60684154
491,15.6450651
492,15.4806938
493,15.59962757
494,15.58191063
495,15.54688651
496,15.59023486
497,15.57431988
498,15.64269755
499,15.6137341
500,15.60292222
501,15.59276073
502,15.55473277
503,15.52727902
504,15.56542907
505,15.64423478
506,15.46798867
507,15.62128191
508,15.56605674
509,15.57462572
510,15.64759364
511,15.59482148
512,15.75520508
513,15.61432155
514,15.67248592
515,15.58910617
516,15.57677539
517,15.52747279
518,15.59577651
519,15.68597883
520,15.55862159
521,15.62130806
522,15.6348339
523,15.52211648
524,15.58146805
525,15.6349228
526,15.55983479
527,15.57276032
528,15.63889631
529,15.60840227
530,15.51980406
531,15.58508069
532,15.5203215
533,15.52973778
534,15.62002416
535,15.60093205
536,15.61325892
537,15.56479321
538,15.60617318
539,15.59473454
540,15.55629714
541,15.51210549
542,15.60354249
543,15.66192867
544,15.73452813
545,15.55398401
546,15.53368993
547,15.55927359
548,15.63812671
549,15.65381922
550,15.59589959
551,15.70448933
552,15.57265999
553,15.59874946
554,15.59395218
555,15.58064765
556,15.71893906
557,15.59820508
558,15.66046461
559,15.53088697
560,15.65768286
561,15.61749993
562,15.57284061
563,15.64024425
564,15.65350984
565,15.72229042
566,15.5354164
567,15.48819792
568,15.52880496
569,15.54573758
570,15.59019703
571,15.62871008
572,15.67911618
573,15.62020221
574,15.57784794
575,15.55588512
576,15.66324982
577,15.59323005
578,15.6382913
579,15.63428817
580,15.58237947
581,15.57174297
582,15.52800429
583,15.6042095
584,15.62080866
585,15.54657309
586,15.61111478
587,15.65038355
588,15.65593736
589,15.62638255
590,15.73439288
591,15.58437533
592,15.60907378
593,15.57054414
594,15.54678439
595,15.47894825
596,15.6757563
597,15.55898259
598,15.6668698
599,15.53672277
600,15.52088309
601,15.63272873
602,15.6046706
603,15.58865053
604,15.58851265
605,15.60975358
606,15.66919898
607,15.61582787
608,15.60622873
609,15.5299072
610,15.57184166
611,15.53840572
612,15.5207892
613,15.67800167
614,15.56582421
615,15.50736375
616,15.6290658
617,15.60435568
618,15.69172281
619,15.56719405
