Raman Shift,Intensity 
400,16.8709012
401,16.84150891
402,16.83182632
403,16.77882842
404,16.78653162
405,16.76796285
406,16.73622415
407,16.85294628
408,16.75565136
409,16.77557325
410,16.82756261
411,16.75628544
412,16.80364312
413,16.8100225
414,16.78536825
415,16.73887469
416,16.72595057
417,16.78481203
418,16.74321342
419,16.79157339
420,16.77561832
421,16.765127
422,16.88021732
423,16.88958868
424,16.85036552
425,16.84003605
426,16.6899599
427,16.74108069
428,16.78679548
429,16.84977226
430,16.80961742
431,16.81223851
432,16.8626775
433,16.85019658
434,16.70906424
435,16.83474431
436,16.75403176
437,16.8768104
438,16.77321597
439,16.90614883
440,16.85817793
441,16.85560338
442,16.79951864
443,16.90130075
444,16.76152673
445,16.73634985
446,16.75529088
447,16.80564849
448,16.87313033
449,16.82535804
450,16.85276342
451,16.72897726
452,16.78361291
453,16.80541432
454,16.74653948
455,16.88717902
456,16.82197716
457,16.74451072
458,16.7856957
459,16.86151891
460,16.65421271
461,16.7312157
462,16.81918229
463,16.71851684
464,16.79181951
465,16.78506839
466,16.8287143
467,16.86522842
468,16.77194262
469,16.78600704
470,16.77648906
471,16.91940919
472,16.7503836
473,16.82106249
474,16.72474495
475,16.83003061
476,16.85424966
477,16.81458352
478,16.75841618
479,16.73379632
480,16.85899649
481,16.85848543
482,16.78997918
483,16.8121781
484,16.86315924
485,16.79052636
486,16.85648488
487,16.83371169
488,16.74533027
489,16.80495794
490,16.74459906
491,16.81742282
492,16.79344256
493,16.9412746
494,16.84658701
495,16.82986457
496,16.83263907
497,16.77606863
498,16.85286423
499,16.79325075
500,16.82484981
501,16.73538996
502,16.84333944
503,16.76519446
504,16.92169213
505,16.85285161
506,16.87142063
507,16.78123764
508,16.74777316
509,16.79825438
510,16.85345435
511,16.82029509
512,16.75307212
513,16.81535821
514,16.77568526
515,16.71671179
516,16.75475474
517,16.72667922
518,16.73862482
519,16.764102
520,16.89728346
521,16.77511861
522,16.84160229
523,16.82302543
524,16.94071016
525,16.7916934
526,16.76707265
527,16.77135858
528,16.84204167
529,16.79951191
530,16.86339738
531,16.78416196
532,16.7163015
533,16.83229363
534,16.85910771
535,16.7610719
536,16.76128375
537,16.72015053
538,16.72118782
539,16.7940259
540,16.89100859
541,16.83946297
542,16.83928674
543,16.79448267
544,16.74300191
545,16.77284615
546,16.75122989
547,16.80246662
548,16.74131339
549,16.85109117
550,16.75601916
551,16.87923925
552,16.93126569
553,16.80381478
554,16.83379469
555,16.89556022
556,16.84827893
557,16.75266578
558,16.82908856
559,16.74711103
560,16.87268398
561,16.79490216
562,16.84517957
563,16.72103896
564,16.75972886
565,16.81719171
566,16.77361141
567,16.81359259
568,16.83585293
569,16.78121029
570,16.73430556
571,16.80107326
572,16.79537887
573,16.88867585
574,16.84773427
575,16.85002892
576,16.85194355
577,16.90112923
578,16.72089152
579,16.76375849
580,16.74165883
581,16.82332769
582,16.89390501
583,16.88130983
584,16.87720143
585,16.8436591
586,16.76177565
587,16.73796904
588,16.8368479
589,16.73663856
590,16.72352232
591,16.94597644
592,16.80411216
593,16.70445416
594,16.76272199
595,16.8191948
596,16.75630909
597,16.78973635
598,16.72755089
599,16.75851153
600,16.81247488
601,16.77777899
602,16.93206313
603,16.72546625
604,16.72088557
605,16.81223752
606,16.74424302
607,16.86566223
608,16.80477314
609,16.82664522
610,16.73069329
611,16.78265711
612,16.82618475
613,16.78099071
614,16.75354699
615,16.80006021
616,16.80400237
617,16.76646743
618,16.84398304
619,16.8782181
620,16.83574292
621,16.811978
622,16.73746934
623,16.81182668
624,16.79507173
625,16.82958246
626,16.80329492
627,16.82862403
628,16.91185682
629,16.90738841
630,16.76622634
631,16.71330759
632,16.87171506
633,16.8352601
634,16.93497178
635,16.91184311
636,16.92403124
637,16.74794878
638,16.77796915
639,16.77745575
640,16.86561053
641,16.84485101
642,16.77192936
643,16.91141271
644,16.75484314
645,16.78446296
646,16.85587972
647,16.81800303
648,16.67138132
649,16.77480828
650,16.77734298
651,16.81174912
652,16.89826943
653,16.76697353
654,16.78620316
655,16.78594465
656,16.7683279
657,16.79444616
658,16.73926606
659,16.69084058
660,16.741963
661,16.64250794
662,16.74073995
663,16.77100856
664,16.79409724
665,16.75417026
666,16.72724143
667,16.74272782
668,16.74084717
669,16.81685768
670,16.86994108
671,16.73387
672,16.7484753
673,16.7868264
674,16.8066013
675,16.709476
676,16.87689124
677,16.73003319
678,16.71745475
679,16.79185301
680,16.83752431
681,16.80074814
682,16.82413117
683,16.75041405
684,16.80594542
685,16.9209187
686,16.78315016
687,16.78061716
688,16.79380805
689,16.7983509
690,16.72558398
691,16.8714908
692,16.75846693
693,16.83115494
694,16.82383323
695,16.84095034
696,16.8238662
697,16.84102061
698,16.84728906
699,16.81514214
700,16.82841142
701,16.85097887
702,16.84528163
703,16.8215896
704,16.91516403
705,16.76194791
706,16.79366537
707,16.79268147
708,16.79461408
709,16.74566329
710,16.75697262
711,16.76036779
712,16.81267072
713,16.73908825
714,16.72159288
715,16.75630754
716,16.88828314
717,16.71252458
718,16.79542774
719,16.71436324
720,16.81338988
721,16.81193445
722,16.74605328
723,16.77382058
724,16.83558133
725,16.82550696
726,16.80788522
727,16.71748651
728,16.69146092
729,16.82601256
730,16.79692311
731,16.71323342
732,16.78815605
733,16.78799404
734,16.80557132
735,16.85573981
736,16.80196989
737,16.80096717
738,16.75359241
739,16.84140212
740,16.79931365
741,16.77935043
742,16.94363375
743,16.85027083
744,16.75619481
745,16.72797307
746,16.82958656
747,16.7671906
748,16.81139417
749,16.73631365
750,16.69513093
751,16.72330412
752,16.80963421
753,16.82190587
754,16.78433053
755,16.7863629
756,16.74515128
757,16.87124451
758,16.84303948
759,16.71197853
760,16.83356187
761,16.76727497
762,16.81744462
763,16.78363177
764,16.77562808
765,16.82067316
766,16.68357406
767,16.86202335
768,16.85530468
769,16.85937132
770,16.7862384
771,16.83603368
772,16.77099949
773,16.88916801
774,16.71070632
775,16.76110819
776,16.84028396
777,16.65331938
778,16.80990441
779,16.82384688
780,16.80357042
781,16.84585051
782,16.75880264
783,16.74352673
784,16.82861688
785,16.86931347
786,16.7299798
787,16.79775338
788,16.79224248
789,16.69694614
790,16.75279812
791,16.93601752
792,16.80292012
793,16.83696691
794,16.78979226
795,16.81228245
796,16.75726357
797,16.85219072
798,16.78313939
799,16.93218564
800,16.84525872
801,16.85022078
802,16.73715105
803,16.8132118
804,16.7991077
805,16.68519132
806,16.78882637
807,16.67859195
808,16.78887724
809,16.77126643
810,16.86014397
811,16.83316479
812,16.78252768
813,16.85894264
814,16.71402298
815,16.8350415
816,16.8796459
817,16.75188182
818,16.95766309
819,16.75087941
820,16.85477975
821,16.84244354
822,16.85155904
823,16.83243277
824,16.77000488
825,16.83067988
826,16.75974612
827,16.71981639
828,16.8517284
829,16.909651
830,16.8374504
831,16.84688028
832,16.81546938
833,16.71512922
834,16.81040651
835,16.81596423
836,16.87007679
837,16.99175382
838,16.86862851
839,16.81424981
840,16.80737985
841,16.88359625
842,16.83963297
843,16.85394929
844,16.79419686
845,16.79354636
846,16.83794825
847,16.90648406
848,16.78343382
849,16.9148419
850,16.71632524
851,16.84202656
852,16.87417852
853,16.82363793
854,16.82982595
855,16.86029321
856,16.8099084
857,16.88576721
858,16.92950621
859,16.94472294
860,16.88707282
861,16.92494404
862,16.78241537
863,16.8057959
864,16.79569793
865,16.89376208
866,16.81433373
867,16.82086477
868,16.84377561
869,16.94059489
870,16.73564891
871,16.80793413
872,16.83346791
873,16.79336042
874,16.80262817
875,16.87193946
876,16.84881317
877,16.82949009
878,16.92021436
879,16.84715162
880,16.84606235
881,16.90553696
882,16.85587286
883,16.87198482
884,17.03239758
885,16.86628619
886,16.9475989
887,16.87405834
888,16.89793486
889,16.91845301
890,16.86252858
891,16.85653915
892,16.97423407
893,16.93885992
894,16.86257844
895,16.76657233
896,16.91335065
897,16.85010642
898,16.81030617
899,16.81458313
900,16.87356239
901,16.88385733
902,16.87210506
903,16.85312985
904,16.92713991
905,16.88622902
906,16.89347215
907,16.91064147
908,16.93641212
909,16.84786655
910,16.86734331
911,16.97379608
912,16.98709588
913,16.90027496
914,16.94143062
915,16.83925682
916,16.97652769
917,16.93350947
918,16.96292543
919,16.89961709
920,16.86937676
921,16.96728557
922,16.97473144
923,16.86536379
924,16.9864158
925,16.87000123
926,16.91537401
927,16.979897
928,16.9401746
929,16.98991757
930,17.02773403
931,17.01311752
932,16.87750655
933,16.92172179
934,17.03134026
935,17.00740515
936,17.05204269
937,16.89670773
938,16.90279403
939,17.10260307
940,17.03594419
941,17.06395483
942,17.11383139
943,17.12244378
944,16.96925393
945,16.95287009
946,16.96444651
947,16.9530885
948,17.04220528
949,17.09443889
