Raman Shift,Intensity
91.19958,224.6687
91.6817,226.3258
92.16382,226.2788
92.64594,224.0942
93.12805,220.6525
93.61017,216.8159
94.09229,212.6013
94.5744,207.6438
95.05651,202.9051
95.53863,198.2588
96.02074,194.02
96.50286,190.5563
96.98498,187.8963
97.46709,185.4514
97.94921,182.9368
98.43133,180.4057
98.91344,177.8144
99.39556,174.9309
99.87768,171.8791
100.3598,169.0835
100.8419,166.7703
101.324,164.936
101.8061,163.3098
102.2883,161.7811
102.7704,160.487
103.2525,159.6152
103.7346,159.201
104.2167,158.9421
104.6988,158.7397
105.181,158.504
105.6631,158.0822
106.1452,157.4186
106.6273,156.5137
107.1094,155.3357
107.5915,153.5731
108.0737,151.8996
108.5558,150.6025
109.0379,149.6112
109.52,148.7445
110.0021,147.8213
110.4842,146.7951
110.9664,145.9824
111.4485,145.3588
111.9306,144.9381
112.4127,144.8171
112.8948,144.9663
113.3769,145.2222
113.8591,145.3719
114.3412,145.5686
114.8233,145.2927
115.3054,144.093
115.7875,142.6448
116.2696,141.6725
116.7517,141.4513
117.2339,141.6078
117.716,141.2218
118.1981,140.0206
118.6802,138.9648
119.1623,138.2515
119.6444,137.8804
120.1266,137.9183
120.6087,138.6136
121.0908,139.5743
121.5729,140.0405
122.055,139.9277
122.5371,139.4692
123.0193,138.7666
123.5014,137.785
123.9835,136.8418
124.4656,136.0593
124.9477,135.4105
125.4298,134.9117
125.912,134.6124
126.3941,134.4211
126.8762,134.0894
127.3583,133.3547
127.8404,132.9543
128.3225,133.4369
128.8047,134.2648
129.2868,134.7065
129.7689,134.2563
130.251,132.983
130.7331,131.882
131.2152,130.8707
131.6974,130.1216
132.1795,129.8041
132.6616,129.8124
133.1437,129.9125
133.6258,129.9043
134.1079,129.7684
134.5901,129.6374
135.0722,129.4447
135.5543,129.306
136.0364,129.3019
136.5185,129.4339
137.0006,129.6425
137.4828,129.8958
137.9649,130.232
138.447,130.3515
138.9291,130.0459
139.4112,129.5908
139.8933,129.2978
140.3755,129.2398
140.8576,129.3329
141.3397,129.5337
141.8218,129.8331
142.3039,130.0741
142.786,130.1742
143.2681,130.1592
143.7503,130.0974
144.2324,129.8831
144.7145,129.7805
145.1966,130.0596
145.6787,130.7179
146.1608,131.4074
146.643,131.8483
147.1251,132.027
147.6072,132.0896
148.0893,131.795
148.5714,131.5613
149.0535,131.7105
149.5357,132.2896
150.0178,132.9795
150.4999,133.2687
150.982,132.9041
151.4641,132.6871
151.9462,132.7098
152.4284,132.8686
152.9105,133.0871
153.3926,133.3353
153.8747,133.6316
154.3568,134.0276
154.8389,134.7704
155.3211,135.3057
155.8032,135.4187
156.2853,135.3679
156.7674,135.447
157.2495,135.8014
157.7316,136.3932
158.2138,137.0816
158.6959,138.0848
159.178,138.9309
159.6601,139.4426
160.1422,139.7038
