Raman Shift,Intensity
97.94921,1.820587
98.43133,2.540878
98.91344,3.057327
99.39556,3.286285
99.87768,2.768219
100.3598,1.779419
100.8419,0.952164
101.324,0.427368
101.8061,0.070648
102.2883,0.112961
102.7704,0.038757
103.2525,0.446533
103.7346,1.404572
104.2167,2.430908
104.6988,3.324814
105.181,4.027115
105.6631,4.495407
106.1452,4.779022
106.6273,4.846161
107.1094,4.559479
107.5915,3.694763
108.0737,2.920547
108.5558,2.416565
109.0379,2.084229
109.52,1.825394
110.0021,1.510529
110.4842,1.115021
110.9664,0.957001
111.4485,0.972382
111.9306,1.201797
112.4127,1.720459
112.8948,2.351318
113.3769,3.096756
113.8591,4.015442
114.3412,5.375443
114.8233,6.125778
115.3054,5.798447
115.7875,5.180573
116.2696,4.979538
116.7517,5.309555
117.2339,5.794724
117.716,5.697632
118.1981,4.800903
118.6802,4.030167
119.1623,3.561356
119.6444,3.401855
120.1266,3.640137
120.6087,4.531128
121.0908,5.666412
121.5729,6.274368
122.055,6.28746
122.5371,5.954788
123.0193,5.365387
123.5014,4.478531
123.9835,3.63002
124.4656,2.94223
124.9477,2.388214
125.4298,1.986023
125.912,1.790009
126.3941,1.70755
126.8762,1.489151
127.3583,0.871201
127.8404,0.590149
128.3225,1.193863
128.8047,2.144104
129.2868,2.709579
129.7689,2.384521
130.251,1.237625
130.7331,0.264038
131.2152,0.619171
131.6974,1.239883
132.1795,1.42897
132.6616,1.29245
133.1437,1.064514
133.6258,0.94519
134.1079,0.953674
134.5901,0.957382
135.0722,1.023148
135.5543,1.035492
136.0364,0.913818
136.5185,0.656677
137.0006,0.323776
137.4828,0.053084999
137.9649,0.51236
138.447,0.754532
138.9291,0.571167
139.4112,0.237747
139.8933,0.065734997
140.3755,0.127945
140.8576,0.340424
141.3397,0.659668
141.8218,1.07695
142.3039,1.435349
142.786,1.651703
143.2681,1.75032
143.7503,1.799454
144.2324,1.693985
144.7145,1.698212
145.1966,2.08223
145.6787,2.844078
146.1608,3.636673
146.643,4.180443
147.1251,4.461784
147.6072,4.62677
148.0893,4.434448
148.5714,4.303032
149.0535,4.554581
149.5357,5.236107
150.0178,6.028549
150.4999,6.420517
150.982,6.158989
151.4641,6.04538
151.9462,6.171799
152.4284,6.434784
152.9105,6.757904
153.3926,7.111244
153.8747,7.513214
154.3568,8.232094
154.8389,9.285439
155.3211,10.11874
155.8032,10.51707
156.2853,10.73862
156.7674,11.07766
157.2495,11.6788
157.7316,12.50316
158.2138,13.41269
158.6959,14.62574
159.178,15.67119
159.6601,16.37079
160.1422,16.80405
160.6243,17.18806
161.1065,17.65878
161.5886,18.15745
162.0707,18.45791
162.5528,18.39493
163.0349,18.30928
163.517,18.48491
163.9991,18.8822
164.4813,19.11568
164.9634,18.92998
165.4455,18.38892
165.9276,17.69283
166.4097,16.77284
166.8918,15.77352
167.374,14.85998
167.8561,14.04651
168.3382,13.25513
168.8203,12.28294
169.3024,11.34776
169.7845,10.78706
170.2667,10.92908
170.7488,11.41251
171.2309,11.32111
171.713,10.2253
172.1951,9.337151
172.6772,9.172508
173.1594,9.456467
173.6415,9.806915
174.1236,9.993324
174.6057,10.07085
175.0878,10.36401
175.5699,11.11896
176.0521,11.8197
176.5342,12.37225
177.0163,12.77376
177.4984,13.00093
177.9805,12.99369
178.4626,12.75111
178.9448,12.89104
179.4269,13.89347
179.909,14.79809
180.3911,15.20014
180.8732,15.23618
181.3553,15.31006
181.8375,15.78284
182.3196,16.70975
182.8017,17.48004
183.2838,18.02885
183.7659,18.5194
184.248,19.02407
184.7301,19.54302
185.2123,20.01794
185.6944,20.35995
186.1765,20.5502
186.6586,21.10623
187.1407,22.22099
187.6228,23.52548
188.105,24.85007
188.5871,26.14905
189.0692,27.22463
189.5513,27.81828
190.0334,27.97408
190.5155,28.39672
190.9977,29.31565
191.4798,30.46379
191.9619,31.51564
192.444,32.40735
192.9261,33.36453
193.4082,34.6845
193.8904,36.28059
194.3725,37.91217
194.8546,39.65337
195.3367,41.36633
195.8188,42.65622
196.3009,43.2269
196.7831,43.95324
197.2652,45.70129
197.7473,48.13717
198.2294,50.38547
198.7115,51.71161
199.1936,52.41601
199.6758,53.80088
200.1579,56.18294
200.64,58.91386
201.1221,61.52335
201.6042,64.13033
202.0863,67.02151
202.5685,70.57539
203.0506,74.7378
203.5327,78.42445
204.0148,81.12371
204.4969,83.82722
204.979,86.81931
205.4612,90.09449
205.9433,93.6004
206.4254,97.31454
206.9075,101.2493
207.3896,105.1744
207.8717,109.1185
208.3539,113.0265
208.836,116.674
209.3181,120.2245
209.8002,124.09
210.2823,128.7125
210.7644,134.1882
211.2466,139.3132
211.7287,144.0712
212.2108,148.5306
212.6929,152.3842
213.175,155.8765
213.6571,159.7233
214.1393,164.6253
214.6214,170.7796
215.1035,176.7774
215.5856,182.7666
216.0677,188.4764
216.5498,193.708
217.032,198.5116
217.5141,203.1748
217.9962,207.8745
218.4783,212.592
218.9604,217.7877
219.4425,224.2253
219.9247,230.4993
220.4068,235.8152
220.8889,240.1242
221.371,243.748
221.8531,246.9173
222.3352,249.5658
222.8174,251.8772
223.2995,254.4676
223.7816,256.3081
224.2637,256.5576
224.7458,255.2086
225.2279,252.916
225.71,250.2283
226.1922,246.9271
226.6743,242.2826
227.1564,235.745
227.6385,228.2197
228.1206,220.5544
228.6027,212.7987
229.0849,204.5859
229.567,195.6337
230.0491,186.0538
230.5312,176.0696
231.0133,165.2302
231.4954,154.2908
231.9776,144.1006
232.4597,134.6958
232.9418,125.6885
233.4239,116.7405
233.906,108.0449
234.3881,99.95602
234.8703,92.60537
235.3524,85.86869
235.8345,79.56734
236.3166,73.68126
236.7987,68.16886
237.2808,62.9131
237.763,58.02206
238.2451,53.68671
238.7272,50.06525
239.2093,46.88436
239.6914,43.71666
240.1735,40.47023
240.6557,37.48804
241.1378,34.87854
241.6199,32.59599
242.102,30.68327
242.5841,29.21083
243.0662,27.96008
243.5484,26.51676
244.0305,24.73378
244.5126,23.18404
244.9947,22.23448
245.4768,21.46172
245.9589,20.47917
246.441,19.14394
246.9232,17.68993
247.4053,16.52811
247.8874,15.82618
248.3695,15.02452
248.8516,13.69388
249.3337,12.4276
249.8159,11.77586
250.298,11.89068
250.7801,12.35904
251.2622,12.50387
251.7443,12.22769
252.2264,11.82224
252.7086,11.22356
253.1907,10.58818
253.6728,10.07241
254.1549,9.698326
254.637,9.301407
255.1191,8.512001
255.6013,6.731094
256.0834,5.925293
256.5655,6.95536
257.0476,8.185982
257.5297,8.468559
258.0118,7.640457
258.494,6.409874
258.9761,5.745209
259.4582,5.953964
259.9403,5.968224
260.4224,5.767784
260.9045,5.434456
261.3867,4.912788
261.8688,4.255997
262.3509,3.687157
262.833,3.487015
263.3151,3.815392
263.7972,3.932961
264.2794,3.759735
264.7615,3.489471
265.2436,3.204056
265.7257,2.921104
266.2078,2.628036
266.6899,2.30294
267.1721,1.926064
267.6542,1.665535
268.1363,1.631325
268.6184,1.588768
269.1005,1.371933
269.5826,1.02594
270.0648,0.760155
270.5469,0.784767
271.029,1.122368
271.5111,1.047653
271.9932,0.148514
272.4753,0.666298
272.9575,0.97506
273.4396,0.87175
273.9217,0.659325
274.4038,0.52607
274.8859,0.469002
275.368,0.459427
275.8501,0.504036
276.3322,0.575729
276.8144,0.712776
277.2965,0.872246
277.7786,0.956993
278.2607,0.908867
278.7428,0.755005
279.2249,0.607208
279.7071,0.419434
280.1892,0.287476
280.6713,0.223457
281.1534,0.232262
281.6355,0.365837
282.1176,0.67408
282.5998,1.030556
283.0819,1.06498
283.564,0.542801
284.0461,0.191391
284.5282,0.289841
285.0103,0.612167
285.4925,0.821968
285.9746,0.803635
286.4567,0.680473
286.9388,0.669418
287.4209,0.819092
287.903,0.904427
288.3852,0.933533
288.8673,0.861763
289.3494,0.576225
289.8315,0.042732
290.3136,0.52684
290.7957,0.878296
291.2779,0.988205
291.76,1.027031
292.2421,0.945313
292.7242,0.835609
293.2063,0.765457
293.6884,0.74498
294.1706,0.817085
294.6527,1.087463
295.1348,1.548714
295.6169,1.754959
296.099,1.297302
296.5811,0.86422
297.0633,1.152046
297.5454,2.11499
298.0275,2.966209
298.5096,3.096573
298.9917,2.617546
299.4738,2.417412
299.956,2.552544
300.4381,2.90667
300.9202,3.558105
301.4023,4.425621
301.8844,5.149338
302.3665,5.521393
302.8487,5.630272
303.3308,5.759819
303.8129,5.843132
304.295,6.044632
304.7771,6.517105
305.2592,7.169357
305.7414,7.756943
306.2235,8.171616
306.7056,8.509071
307.1877,9.006531
307.6698,9.77404
308.1519,10.28819
308.6341,10.07158
309.1162,9.553947
309.5983,9.513977
310.0804,10.191
310.5625,11.19266
311.0446,12.05289
311.5268,12.78043
312.0089,13.42415
312.491,14.02892
312.9731,14.5368
313.4552,14.80156
313.9373,14.78915
314.4195,14.82658
314.9016,15.26926
315.3837,16.09099
315.8658,16.78667
316.3479,17.16358
316.83,17.50784
317.3121,18.11526
317.7943,18.97253
318.2764,19.75143
318.7585,20.19019
319.2406,20.37161
319.7227,20.73608
320.2048,21.2844
320.687,22.00716
321.1691,23.13791
321.6512,24.49889
322.1333,25.42873
322.6154,25.51762
323.0975,25.09675
323.5797,25.02011
324.0618,25.42207
324.5439,25.80511
325.026,25.83649
325.5081,25.7513
325.9902,26.11142
326.4724,27.19037
326.9545,28.39726
327.4366,28.70013
327.9187,27.95203
328.4008,27.37946
328.8829,27.29386
329.3651,27.45899
329.8472,27.65762
330.3293,27.81495
330.8114,27.87166
331.2935,27.76854
331.7756,27.49444
332.2578,27.14893
332.7399,26.62576
333.222,26.10561
333.7041,25.69518
334.1862,25.40268
334.6683,25.24171
335.1505,25.30043
335.6326,25.50198
336.1147,25.30654
336.5968,24.38804
337.0789,23.50291
337.561,22.94302
338.0432,22.62215
338.5253,22.40479
339.0074,22.258
339.4895,22.1294
339.9716,21.84708
340.4537,21.27515
340.9359,20.80228
341.418,20.43925
341.9001,20.28535
342.3822,20.56132
