Raman shift,Intensity
90.6674,1844.57
92.5016,1793.86
94.3354,1787.57
96.1689,1769.86
98.0019,1764.71
99.8347,1764.71
101.667,1729.71
103.499,1729.71
105.331,1717.86
107.162,1718.71
108.993,1696.57
110.823,1674.43
112.654,1659.57
114.484,1665.29
116.313,1661.71
118.142,1623.57
119.971,1625.71
121.799,1615.86
123.627,1622.14
125.455,1608.71
127.283,1591.29
129.109,1571.14
130.936,1580
132.76,1551.86
134.586,1545.71
136.412,1552.29
138.237,1549
140.062,1549.43
141.886,1555.29
143.71,1529.57
145.532,1531.29
147.355,1529
149.179,1533.71
151.001,1535.86
152.824,1534.29
154.646,1548.86
156.465,1530.57
158.286,1538.86
160.107,1525.57
161.928,1526.29
163.748,1522.29
165.566,1522.29
167.385,1519.86
169.204,1520.29
171.023,1522.86
172.84,1509.57
174.658,1515.29
176.475,1496.14
178.293,1501.14
180.108,1502.43
181.924,1500.71
183.741,1515.57
185.554,1507.86
187.37,1515.71
189.185,1517.71
190.998,1521.29
192.813,1516.29
194.627,1511.86
196.438,1507
198.252,1522.57
200.065,1515.14
201.876,1499.29
203.688,1519
205.5,1507.86
207.31,1515.57
209.121,1509.43
210.932,1522
212.741,1522.57
214.551,1498.43
216.359,1514.43
218.168,1501.14
219.976,1499.29
221.784,1494.43
223.593,1502.29
225.399,1503.71
227.207,1503.57
229.012,1498.14
230.819,1487.86
232.624,1508.14
234.43,1514.29
236.234,1511
238.04,1511
239.843,1518.14
241.648,1524.71
243.451,1510.86
245.255,1521.71
247.057,1528.57
248.861,1523.57
250.662,1519.14
252.465,1521.43
254.265,1531
256.067,1536.57
257.867,1556.29
259.669,1531.86
261.468,1515
263.266,1540.14
265.067,1542.57
266.865,1532
268.665,1550.71
270.462,1525.86
272.259,1530.86
274.058,1531
275.854,1514.14
277.652,1515.86
279.448,1504.86
281.243,1501.57
283.04,1513
284.834,1514.14
286.628,1517.43
288.424,1508.71
290.218,1489.86
292.011,1507.57
293.806,1509.71
295.598,1499.71
297.39,1506.86
299.182,1504.43
300.976,1510.86
302.767,1516
304.557,1516
306.35,1509.29
308.14,1519.57
309.929,1510.14
311.719,1508.57
313.51,1514.29
315.298,1523.86
317.087,1532.57
318.875,1532.29
320.662,1550.86
322.452,1524.86
324.238,1529.14
326.025,1563.57
327.811,1563.14
329.597,1552.29
331.385,1524.86
333.17,1558.86
334.955,1538.14
336.739,1552.71
338.523,1548.71
340.307,1561.57
342.09,1548.29
343.875,1558.14
345.658,1556
347.441,1566.43
349.223,1565
351.004,1560.57
352.786,1562.57
354.567,1556.29
356.347,1573.29
358.128,1563.86
359.908,1569.43
361.687,1552.57
363.467,1574.14
365.248,1567.71
367.026,1568.43
368.805,1565.43
370.583,1549.43
372.36,1574.14
374.137,1570.43
375.914,1557.14
377.691,1570.29
379.467,1570.86
381.243,1568.57
383.018,1591
384.794,1582.43
386.568,1596.43
388.341,1602.29
390.115,1586.29
391.889,1604.71
393.662,1593.43
395.435,1590
397.208,1597
398.981,1612.43
400.753,1598
402.525,1592.14
404.296,1601
406.067,1604.86
407.838,1592.57
409.606,1607.71
411.376,1578.14
413.146,1578.43
414.915,1603.71
416.684,1582.57
418.453,1594
420.221,1588.14
421.987,1566.57
423.755,1591.71
425.522,1590.14
427.289,1595.57
429.056,1586.29
430.82,1590.14
432.586,1585.29
434.352,1595
436.117,1592
437.882,1577.71
439.645,1596.43
441.409,1587.86
443.173,1581.14
444.934,1591.71
446.698,1602.71
448.461,1579.86
450.223,1590
451.983,1617.43
453.745,1607.71
455.507,1597.71
457.266,1605
459.027,1599.86
460.787,1606.43
462.548,1620.71
464.306,1599.57
466.065,1609.57
467.822,1631
469.581,1628.57
471.34,1632.71
473.096,1611.14
474.854,1625.57
476.611,1637.71
478.366,1637.86
480.123,1646.14
481.877,1635.14
483.634,1646.29
485.389,1621.57
487.143,1657.29
488.898,1649.43
490.651,1645.57
492.405,1641.29
494.157,1652.71
495.911,1640.57
497.663,1642.43
499.416,1644.86
501.169,1640.43
502.919,1639.43
504.671,1656.14
506.421,1642.14
508.172,1621.71
509.921,1628.43
511.67,1636.14
513.421,1635.43
515.169,1624.43
516.918,1630.43
518.666,1621.43
520.415,1612.71
522.162,1609.43
