Raman shift,Intensity
433.25168,336.61649
435.46391,337.39741
437.67615,338.17832
439.88838,338.95923
442.10062,339.74014
444.31285,340.52106
446.52509,341.30197
448.73732,342.8638
450.94956,342.8638
453.1618,343.64471
455.37403,344.42562
457.58627,345.20653
459.7985,345.98745
462.01074,345.98745
464.22297,345.98745
466.43521,345.20653
468.64745,345.20653
470.85968,344.42562
473.07192,343.64471
475.28415,343.64471
477.49639,342.8638
479.70862,342.08288
481.92086,340.52106
484.1331,339.74014
486.34533,338.95923
488.55757,338.17832
490.7698,337.39741
492.98204,336.61649
495.19427,335.83558
497.40651,335.05467
499.61874,334.27376
501.83098,334.27376
504.04322,333.49284
506.25545,333.49284
508.46769,332.71193
510.67992,332.71193
512.89216,331.93102
515.10439,331.93102
517.31663,331.93102
519.52887,331.93102
521.7411,331.93102
523.95334,331.93102
526.16557,331.1501
528.37781,331.93102
530.59004,331.93102
532.80228,331.1501
535.01451,331.93102
537.22675,331.93102
539.43899,331.93102
541.65122,331.93102
543.86346,331.93102
546.07569,331.93102
548.28793,331.93102
550.50016,331.93102
552.7124,331.93102
554.92464,331.93102
557.13687,331.1501
559.34911,331.93102
561.56134,331.93102
563.77358,331.93102
565.98581,331.93102
568.19805,331.93102
570.41029,331.93102
572.62252,331.93102
574.83476,331.93102
577.04699,331.93102
579.25923,331.93102
581.47146,331.93102
583.6837,332.71193
585.89593,332.71193
588.10817,332.71193
590.32041,333.49284
592.53264,334.27376
594.74488,334.27376
596.95711,334.27376
599.16935,335.05467
601.38158,335.83558
603.59382,335.83558
605.80606,336.61649
608.01829,337.39741
610.23053,338.17832
612.44276,338.17832
625.87586,339.88624
668.33742,332.61993
712.0857,334.89065
762.87479,331.1501
765.08702,331.1501
767.29926,331.1501
769.51149,331.1501
771.72373,331.1501
773.93596,331.1501
776.1482,331.1501
778.36044,331.1501
780.57267,331.93102
782.78491,332.71193
784.99714,332.71193
787.20938,332.71193
789.42161,332.71193
791.63385,331.93102
793.84609,331.1501
796.05832,330.36919
798.27056,329.58828
800.48279,329.58828
802.69503,330.36919
804.90726,330.36919
807.1195,329.58828
809.33173,329.58828
811.54397,329.58828
813.75621,329.58828
815.96844,329.58828
818.18068,330.36919
820.39291,331.1501
822.60515,331.93102
824.81738,332.71193
827.02962,332.71193
829.24186,332.71193
831.45409,332.71193
833.66633,332.71193
835.87856,332.71193
838.0908,332.71193
840.30303,332.71193
842.51527,332.71193
844.72751,332.71193
846.93974,332.71193
849.15198,332.71193
851.36421,332.71193
853.57645,332.71193
855.78868,331.93102
858.00092,331.1501
860.21315,330.36919
862.42539,329.58828
864.63763,329.58828
866.84986,329.58828
869.0621,330.36919
871.27433,330.36919
873.48657,330.36919
875.6988,330.36919
877.91104,330.36919
880.12328,330.36919
882.33551,330.36919
884.54775,330.36919
886.75998,330.36919
888.97222,330.36919
891.18445,330.36919
893.39669,330.36919
895.60892,330.36919
897.82116,330.36919
900.0334,330.36919
902.24563,330.36919
904.45787,330.36919
906.6701,330.36919
908.88234,330.36919
911.09457,331.1501
913.30681,331.1501
915.51905,331.1501
917.73128,331.1501
919.94352,331.1501
922.15575,331.1501
924.36799,331.1501
926.58022,331.1501
928.79246,331.1501
931.0047,331.1501
933.21693,331.1501
935.42917,331.1501
937.6414,331.93102
939.85364,334.27376
939.85364,335.05467
939.85364,331.93102
939.85364,332.71193
939.85364,333.49284
939.85364,335.83558
942.06587,335.83558
944.27811,335.83558
946.49034,335.83558
946.49034,339.74014
948.70258,342.8638
948.70258,342.08288
948.70258,341.30197
948.70258,340.52106
948.70258,335.83558
948.70258,338.95923
948.70258,345.20653
948.70258,344.42562
950.91482,345.98745
950.91482,336.61649
950.91482,343.64471
950.91482,335.83558
950.91482,346.76836
950.91482,338.17832
953.12705,337.39741
953.12705,347.54927
953.12705,350.67292
953.12705,336.61649
953.12705,349.89201
953.12705,353.79657
953.12705,353.01566
953.12705,352.23475
953.12705,349.1111
955.33929,348.33019
955.33929,351.45384
955.33929,355.3584
955.33929,358.48205
955.33929,354.57749
955.33929,357.70114
955.33929,356.92023
957.55152,359.26296
957.55152,360.04388
957.55152,360.82479
957.55152,361.6057
957.55152,362.38662
957.55152,363.16753
957.55152,363.94844
957.55152,356.13931
957.55152,365.51027
957.55152,364.72935
959.76376,367.07209
959.76376,367.85301
959.76376,368.63392
959.76376,369.41483
959.76376,370.19574
959.76376,370.97666
959.76376,371.75757
959.76376,372.53848
959.76376,366.29118
961.97599,373.31939
961.97599,374.88122
961.97599,375.66213
961.97599,376.44305
961.97599,377.22396
961.97599,378.00487
961.97599,378.78578
961.97599,379.5667
961.97599,380.34761
961.97599,374.10031
961.97599,381.12852
964.18823,382.69035
964.18823,381.90944
964.18823,384.25217
964.18823,388.15674
964.18823,385.814
964.18823,386.59491
964.18823,387.37582
964.18823,383.47126
966.40047,385.03309
966.40047,389.71856
966.40047,390.49948
966.40047,388.93765
966.40047,392.0613
966.40047,392.84221
966.40047,393.62313
966.40047,394.40404
966.40047,395.18495
966.40047,391.28039
968.6127,399.87043
968.6127,400.65134
968.6127,402.21317
968.6127,398.3086
968.6127,397.52769
968.6127,401.43226
968.6127,395.96587
968.6127,396.74678
970.82494,405.33682
970.82494,404.55591
970.82494,399.08952
970.82494,402.99408
970.82494,406.11773
970.82494,406.89864
970.82494,407.67956
970.82494,408.46047
970.82494,409.24138
970.82494,410.0223
970.82494,410.80321
970.82494,403.77499
973.03717,412.36503
973.03717,411.58412
973.03717,413.92686
973.03717,417.05051
973.03717,415.48869
973.03717,413.14595
973.03717,417.83142
973.03717,416.2696
975.24941,418.61234
975.24941,419.39325
975.24941,414.70777
975.24941,420.95507
975.24941,421.73599
975.24941,422.5169
975.24941,423.29781
975.24941,424.07873
975.24941,420.17416
977.46164,425.64055
977.46164,424.85964
977.46164,427.20238
977.46164,426.42146
979.67388,428.7642
979.67388,427.98329
981.88611,431.88785
981.88611,432.66877
981.88611,429.54512
984.09835,430.32603
984.09835,433.44968
984.09835,434.23059
984.09835,435.01151
984.09835,431.10694
986.31059,436.57333
986.31059,435.79242
988.52282,437.35424
990.73506,438.13516
990.73506,439.69698
990.73506,438.91607
1004.00847,424.85964
1004.00847,425.64055
1004.00847,420.95507
1004.00847,426.42146
1006.22071,427.20238
1006.22071,422.5169
1006.22071,424.07873
1006.22071,423.29781
1006.22071,420.17416
1006.22071,419.39325
1006.22071,418.61234
1006.22071,417.83142
1006.22071,421.73599
1008.43294,416.2696
1008.43294,415.48869
1008.43294,414.70777
1008.43294,417.05051
1008.43294,413.14595
1008.43294,412.36503
1008.43294,411.58412
1008.43294,410.80321
1008.43294,410.0223
1008.43294,381.12852
1008.43294,380.34761
1008.43294,413.92686
1010.64518,375.66213
1010.64518,374.88122
1010.64518,379.5667
1010.64518,378.78578
1010.64518,378.00487
1010.64518,377.22396
1010.64518,376.44305
1010.64518,374.10031
1010.64518,381.90944
1010.64518,403.77499
1010.64518,408.46047
1010.64518,407.67956
1010.64518,405.33682
1010.64518,406.11773
1010.64518,406.89864
1010.64518,409.24138
1010.64518,404.55591
1012.85741,399.87043
1012.85741,402.99408
1012.85741,382.69035
1012.85741,402.21317
1012.85741,373.31939
1012.85741,372.53848
1012.85741,367.07209
1012.85741,367.85301
1012.85741,368.63392
1012.85741,369.41483
1012.85741,370.19574
1012.85741,370.97666
1012.85741,371.75757
1012.85741,399.08952
1012.85741,398.3086
1012.85741,397.52769
1012.85741,401.43226
1012.85741,400.65134
1015.06965,360.04388
1015.06965,394.40404
1015.06965,396.74678
1015.06965,392.84221
1015.06965,392.0613
1015.06965,391.28039
1015.06965,395.96587
1015.06965,393.62313
1015.06965,395.18495
1015.06965,383.47126
1015.06965,363.94844
1015.06965,364.72935
1015.06965,365.51027
1015.06965,366.29118
1015.06965,361.6057
1015.06965,360.82479
1015.06965,390.49948
1015.06965,389.71856
1015.06965,362.38662
1017.28189,358.48205
1017.28189,386.59491
1017.28189,385.03309
1017.28189,384.25217
1017.28189,385.814
1017.28189,363.16753
1017.28189,388.93765
1017.28189,388.15674
1017.28189,387.37582
1017.28189,356.13931
1017.28189,356.92023
1017.28189,359.26296
1019.49412,355.3584
1019.49412,357.70114
1021.70636,353.79657
1021.70636,349.89201
1021.70636,352.23475
1021.70636,351.45384
1021.70636,350.67292
1021.70636,348.33019
1021.70636,349.1111
1021.70636,354.57749
