augmented_id,parent_spectrum_id,parent_group,model_label,major_category,subtype_label,source_type,split_main,repository_file,random_seed,augmentation_parameters_json
PARENT_0323__AUG_0000,PARENT_0323,RRUFF database__R050661,Borate,Borate,Kernite,RRUFF database,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0323__AUG_0000.csv,2024,"{""band_envelope_intensity_perturbations"": [], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [0.0, 0.0, 0.0], ""detected_band_count"": 12, ""detected_band_positions_cm-1"": [172.2236, 257.0763, 318.3051, 387.2479, 426.2994, 458.1192, 496.2064, 580.0948, 737.2651, 846.7057, 930.112, 1028.464], ""gaussian_noise_sigma_normalized"": 0.00657451067523998, ""intensity_gamma"": 0.935671218529015, ""symmetric_broadening_alpha"": 0.0, ""weak_band_attenuation_windows"": []}"
PARENT_0323__AUG_0001,PARENT_0323,RRUFF database__R050661,Borate,Borate,Kernite,RRUFF database,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0323__AUG_0001.csv,2024,"{""band_envelope_intensity_perturbations"": [], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [0.0, 0.0, 0.0], ""detected_band_count"": 12, ""detected_band_positions_cm-1"": [172.2236, 257.0763, 318.3051, 387.2479, 426.2994, 458.1192, 496.2064, 580.0948, 737.2651, 846.7057, 930.112, 1028.464], ""gaussian_noise_sigma_normalized"": 0.008867038359823217, ""intensity_gamma"": 0.9775901273543554, ""symmetric_broadening_alpha"": 0.0, ""weak_band_attenuation_windows"": []}"
PARENT_0322__AUG_0002,PARENT_0322,RRUFF database__R050331,Borate,Borate,Colemanite,RRUFF database,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0322__AUG_0002.csv,2024,"{""band_envelope_intensity_perturbations"": [], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [-0.018266444577655153, -0.0002072824014352625, 0.0016845440598081908], ""detected_band_count"": 11, ""detected_band_positions_cm-1"": [95.41614, 242.4617, 308.9938, 386.6146, 533.6602, 564.0335, 610.3167, 668.6528, 744.3451, 787.2535, 1079.416], ""gaussian_noise_sigma_normalized"": 0.010075176913364303, ""intensity_gamma"": 1.1271825296107458, ""symmetric_broadening_alpha"": 0.0, ""weak_band_attenuation_windows"": []}"
PARENT_0328__AUG_0003,PARENT_0328,RRUFF database__R050491,Borate,Borate,Ulexite,RRUFF database,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0328__AUG_0003.csv,2024,"{""band_envelope_intensity_perturbations"": [], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [0.0, 0.0, 0.0], ""detected_band_count"": 12, ""detected_band_positions_cm-1"": [110.1752, 126.085, 140.0664, 195.5099, 261.5599, 301.0935, 438.9789, 484.2979, 529.6169, 593.2564, 745.6053, 972.2003], ""gaussian_noise_sigma_normalized"": 0.00785819089634803, ""intensity_gamma"": 0.9174528110679758, ""symmetric_broadening_alpha"": 0.0, ""weak_band_attenuation_windows"": []}"
PARENT_0323__AUG_0004,PARENT_0323,RRUFF database__R050661,Borate,Borate,Kernite,RRUFF database,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0323__AUG_0004.csv,2024,"{""band_envelope_intensity_perturbations"": [], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [0.02874961570598202, 0.0027502146384103593, -0.009145185648033221], ""detected_band_count"": 12, ""detected_band_positions_cm-1"": [172.2236, 257.0763, 318.3051, 387.2479, 426.2994, 458.1192, 496.2064, 580.0948, 737.2651, 846.7057, 930.112, 1028.464], ""gaussian_noise_sigma_normalized"": 0.019930059408500903, ""intensity_gamma"": 1.2391619295290668, ""symmetric_broadening_alpha"": 0.647302723969494, ""weak_band_attenuation_windows"": []}"
PARENT_0319__AUG_0005,PARENT_0319,RRUFF database__R050102,Borate,Borate,Colemanite,RRUFF database,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0319__AUG_0005.csv,2024,"{""band_envelope_intensity_perturbations"": [], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [0.0, 0.0, 0.0], ""detected_band_count"": 12, ""detected_band_positions_cm-1"": [150.0254, 221.8607, 308.6417, 386.7445, 534.2722, 563.1991, 610.4465, 668.7826, 744.4749, 787.8654, 873.2, 1081.956], ""gaussian_noise_sigma_normalized"": 0.011085029521856655, ""intensity_gamma"": 1.2909577162309527, ""symmetric_broadening_alpha"": 0.0, ""weak_band_attenuation_windows"": []}"
PARENT_0322__AUG_0006,PARENT_0322,RRUFF database__R050331,Borate,Borate,Colemanite,RRUFF database,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0322__AUG_0006.csv,2024,"{""band_envelope_intensity_perturbations"": [], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [0.0, 0.0, 0.0], ""detected_band_count"": 11, ""detected_band_positions_cm-1"": [95.41614, 242.4617, 308.9938, 386.6146, 533.6602, 564.0335, 610.3167, 668.6528, 744.3451, 787.2535, 1079.416], ""gaussian_noise_sigma_normalized"": 0.02280867467724899, ""intensity_gamma"": 1.2667335074925723, ""symmetric_broadening_alpha"": 0.0, ""weak_band_attenuation_windows"": []}"
PARENT_0317__AUG_0007,PARENT_0317,RRUFF database__R050102,Borate,Borate,Colemanite,RRUFF database,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0317__AUG_0007.csv,2024,"{""band_envelope_intensity_perturbations"": [], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [0.004889255460641864, -0.004658632597080679, -0.02498097573754817], ""detected_band_count"": 12, ""detected_band_positions_cm-1"": [308.108, 386.605, 534.858, 566.576, 609.997, 670.154, 745.397, 789.195, 983.49, 1084.539, 1138.914, 1202.715], ""gaussian_noise_sigma_normalized"": 0.01644270352343293, ""intensity_gamma"": 0.7719952499471816, ""symmetric_broadening_alpha"": 0.0, ""weak_band_attenuation_windows"": []}"
PARENT_0843__AUG_0008,PARENT_0843,Lab-acquired DUV spectra__DUV-Kernite,Borate,Borate,Kernite,Lab-acquired DUV spectra,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0843__AUG_0008.csv,2024,"{""band_envelope_intensity_perturbations"": [], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [0.007356163581497594, -0.0081600107566972, 0.009769603687920804], ""detected_band_count"": 8, ""detected_band_positions_cm-1"": [924.07974, 1317.08993, 3346.56879, 3546.29528, 3552.73807, 3584.95202, 3587.09962, 3599.9852], ""gaussian_noise_sigma_normalized"": 0.006827683282910089, ""intensity_gamma"": 1.1415021818993032, ""symmetric_broadening_alpha"": 0.41213310877346965, ""weak_band_attenuation_windows"": []}"
PARENT_0321__AUG_0009,PARENT_0321,RRUFF database__R050331,Borate,Borate,Colemanite,RRUFF database,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0321__AUG_0009.csv,2024,"{""band_envelope_intensity_perturbations"": [], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [-0.020951491056463916, -0.022190686412862953, 0.0031725375379236553], ""detected_band_count"": 12, ""detected_band_positions_cm-1"": [165.6353, 242.7739, 308.3418, 386.4447, 433.6921, 536.383, 563.8636, 609.6647, 668.0008, 743.6931, 786.1194, 1083.585], ""gaussian_noise_sigma_normalized"": 0.0, ""intensity_gamma"": 1.057210168063623, ""symmetric_broadening_alpha"": 0.0, ""weak_band_attenuation_windows"": []}"
