,Borate,Carbonate,Glass,K-Feldspar,Olivine,Other Silicates,Oxides/Hydroxides,Phosphate,Phyllosilicates,Plagioclase,Pyroxene,Silica Phase,Sulfate
Borate,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbonate,0,200,0,0,0,0,0,0,0,0,0,0,0
Glass,0,0,0,0,0,0,0,0,0,0,0,0,0
K-Feldspar,0,0,0,197,1,2,0,0,0,0,0,0,0
Olivine,0,0,0,0,200,0,0,0,0,0,0,0,0
Other Silicates,0,0,0,0,0,199,0,0,0,0,1,0,0
Oxides/Hydroxides,0,0,0,0,0,0,0,0,0,0,0,0,0
Phosphate,0,0,0,0,0,0,0,0,0,0,0,0,0
Phyllosilicates,0,0,0,0,0,9,0,0,190,0,1,0,0
Plagioclase,0,0,0,0,0,0,0,0,1,199,0,0,0
Pyroxene,0,0,0,0,0,0,0,0,0,1,199,0,0
Silica Phase,0,0,0,0,0,0,0,0,0,0,0,200,0
Sulfate,0,0,0,0,0,0,0,0,0,0,0,0,200
