,precision,recall,f1-score,support
Borate,0.0,0.0,0.0,0.0
Carbonate,0.990909090909091,0.9954337899543378,0.9931662870159453,219.0
Glass,0.0,0.0,0.0,2.0
K-Feldspar,0.9852216748768473,0.9803921568627451,0.9828009828009828,204.0
Olivine,0.9951219512195122,0.9951219512195122,0.9951219512195122,205.0
Other Silicates,0.9419642857142857,0.9723502304147466,0.9569160997732427,217.0
Oxides/Hydroxides,0.8,0.5,0.6153846153846154,8.0
Phosphate,0.8333333333333334,0.7142857142857143,0.7692307692307693,14.0
Phyllosilicates,0.970873786407767,0.9216589861751152,0.9456264775413712,217.0
Plagioclase,0.9809523809523809,0.9951690821256038,0.988009592326139,207.0
Pyroxene,0.9776785714285714,0.9776785714285714,0.9776785714285714,224.0
Silica Phase,0.9804878048780488,0.995049504950495,0.9877149877149877,202.0
Sulfate,0.9815668202764977,0.9953271028037384,0.988399071925754,214.0
accuracy,0.9756854630108639,0.9756854630108639,0.9756854630108639,0.9756854630108639
macro avg,0.8029315153843335,0.7724974684785063,0.7846191851047609,1933.0
weighted avg,0.9753325503790994,0.9756854630108639,0.975216078033896,1933.0
