,Borate,Carbonate,Glass,K-Feldspar,Olivine,Other Silicates,Oxides/Hydroxides,Phosphate,Phyllosilicates,Plagioclase,Pyroxene,Silica Phase,Sulfate
Borate,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbonate,0,218,0,0,0,0,0,1,0,0,0,0,0
Glass,0,0,0,0,0,1,0,0,0,0,0,1,0
K-Feldspar,0,0,0,200,1,2,0,0,0,1,0,0,0
Olivine,0,0,0,0,204,0,0,0,0,0,0,1,0
Other Silicates,0,0,0,0,0,211,0,0,1,2,3,0,0
Oxides/Hydroxides,1,0,0,0,0,0,4,0,3,0,0,0,0
Phosphate,0,0,0,0,0,0,0,10,0,0,1,0,3
Phyllosilicates,1,1,0,1,0,9,1,1,200,0,1,2,0
Plagioclase,0,0,0,0,0,0,0,0,1,206,0,0,0
Pyroxene,0,0,0,2,0,1,0,0,0,1,219,0,1
Silica Phase,0,0,0,0,0,0,0,0,1,0,0,201,0
Sulfate,0,1,0,0,0,0,0,0,0,0,0,0,213
