class,precision,recall,f1,support
Borate,0.0,0.0,0.0,0
Carbonate,0.9047619047619048,1.0,0.95,19
Glass,0.0,0.0,0.0,2
K-Feldspar,1.0,0.75,0.8571428571428571,4
Olivine,1.0,0.8,0.8888888888888888,5
Other Silicates,0.8181818181818182,0.5294117647058824,0.6428571428571429,17
Oxides/Hydroxides,0.5,0.5,0.5,8
Phosphate,1.0,0.7142857142857143,0.8333333333333334,14
Phyllosilicates,0.5714285714285714,0.7058823529411765,0.631578947368421,17
Plagioclase,0.6363636363636364,1.0,0.7777777777777778,7
Pyroxene,0.9166666666666666,0.9166666666666666,0.9166666666666666,24
Silica Phase,1.0,1.0,1.0,2
Sulfate,0.7222222222222222,0.9285714285714286,0.8125,14
