,precision,recall,f1-score,support
Borate,0.0,0.0,0.0,0.0
Carbonate,0.7083333333333334,0.8947368421052632,0.7906976744186046,19.0
Glass,0.0,0.0,0.0,2.0
K-Feldspar,1.0,0.75,0.8571428571428571,4.0
Olivine,1.0,0.8,0.8888888888888888,5.0
Other Silicates,0.6363636363636364,0.4117647058823529,0.5,17.0
Oxides/Hydroxides,0.5,0.375,0.42857142857142855,8.0
Phosphate,0.5,0.6428571428571429,0.5625,14.0
Phyllosilicates,0.5,0.5882352941176471,0.5405405405405406,17.0
Plagioclase,0.7,1.0,0.8235294117647058,7.0
Pyroxene,0.9523809523809523,0.8333333333333334,0.8888888888888888,24.0
Silica Phase,1.0,1.0,1.0,2.0
Sulfate,0.8461538461538461,0.7857142857142857,0.8148148148148148,14.0
accuracy,0.6992481203007519,0.6992481203007519,0.6992481203007519,0.6992481203007519
macro avg,0.6417870590947514,0.621664738770002,0.6227365003869791,133.0
weighted avg,0.7096226455249012,0.6992481203007519,0.6946953302843883,133.0
