class,precision,recall,f1,support
Borate,0.0,0.0,0.0,0
Carbonate,0.6071428571428571,0.8947368421052632,0.723404255319149,19
Glass,0.0,0.0,0.0,2
K-Feldspar,0.0,0.0,0.0,4
Olivine,0.5714285714285714,0.8,0.6666666666666666,5
Other Silicates,1.0,0.23529411764705882,0.38095238095238093,17
Oxides/Hydroxides,0.23076923076923078,0.375,0.2857142857142857,8
Phosphate,0.3888888888888889,0.5,0.4375,14
Phyllosilicates,0.6666666666666666,0.11764705882352941,0.2,17
Plagioclase,0.4375,1.0,0.6086956521739131,7
Pyroxene,0.84,0.875,0.8571428571428571,24
Silica Phase,0.25,1.0,0.4,2
Sulfate,0.6666666666666666,0.42857142857142855,0.5217391304347826,14
