,Borate,Carbonate,Glass,K-Feldspar,Olivine,Other Silicates,Oxides/Hydroxides,Phosphate,Phyllosilicates,Plagioclase,Pyroxene,Silica Phase,Sulfate
Borate,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbonate,0,14,0,0,0,0,0,4,0,0,0,0,1
Glass,0,0,0,0,0,0,0,0,0,0,0,0,2
K-Feldspar,0,0,0,3,0,0,0,0,1,0,0,0,0
Olivine,0,0,0,0,4,0,0,0,0,0,0,0,1
Other Silicates,0,0,0,0,0,10,0,1,1,2,0,1,2
Oxides/Hydroxides,0,1,0,0,0,1,1,1,3,0,0,0,1
Phosphate,0,2,0,0,0,3,1,8,0,0,0,0,0
Phyllosilicates,2,1,0,0,0,2,0,1,6,1,0,2,2
Plagioclase,0,0,0,0,0,0,0,0,0,7,0,0,0
Pyroxene,0,0,0,0,1,1,0,2,0,0,20,0,0
Silica Phase,0,0,0,0,0,0,0,0,0,0,0,2,0
Sulfate,0,2,0,0,0,3,0,2,0,0,0,0,7
