class,precision,recall,f1,support
Borate,0.0,0.0,0.0,0
Carbonate,0.7,0.7368421052631579,0.717948717948718,19
Glass,0.0,0.0,0.0,2
K-Feldspar,1.0,0.75,0.8571428571428571,4
Olivine,0.8,0.8,0.8,5
Other Silicates,0.5,0.5882352941176471,0.5405405405405406,17
Oxides/Hydroxides,0.5,0.125,0.2,8
Phosphate,0.42105263157894735,0.5714285714285714,0.48484848484848486,14
Phyllosilicates,0.5454545454545454,0.35294117647058826,0.42857142857142855,17
Plagioclase,0.7,1.0,0.8235294117647058,7
Pyroxene,1.0,0.8333333333333334,0.9090909090909091,24
Silica Phase,0.4,1.0,0.5714285714285714,2
Sulfate,0.4375,0.5,0.4666666666666667,14
