,precision,recall,f1-score,support
Borate,0.0,0.0,0.0,0.0
Carbonate,0.8636363636363636,1.0,0.926829268292683,19.0
Glass,0.0,0.0,0.0,2.0
K-Feldspar,0.75,0.75,0.75,4.0
Olivine,1.0,0.8,0.8888888888888888,5.0
Other Silicates,0.9166666666666666,0.6470588235294118,0.7586206896551724,17.0
Oxides/Hydroxides,0.375,0.375,0.375,8.0
Phosphate,0.7272727272727273,0.5714285714285714,0.64,14.0
Phyllosilicates,0.5882352941176471,0.5882352941176471,0.5882352941176471,17.0
Plagioclase,0.7,1.0,0.8235294117647058,7.0
Pyroxene,0.88,0.9166666666666666,0.8979591836734694,24.0
Silica Phase,0.6666666666666666,1.0,0.8,2.0
Sulfate,0.6470588235294118,0.7857142857142857,0.7096774193548387,14.0
accuracy,0.7518796992481203,0.7518796992481203,0.7518796992481203,0.7518796992481203
macro avg,0.6241951186068834,0.6487772031889679,0.6275953965959542,133.0
weighted avg,0.7487699194510341,0.7518796992481203,0.7425711460723857,133.0
