class,precision,recall,f1,support
Borate,0.0,0.0,0.0,0
Carbonate,0.9,0.9473684210526315,0.9230769230769231,19
Glass,0.0,0.0,0.0,2
K-Feldspar,1.0,0.75,0.8571428571428571,4
Olivine,1.0,0.8,0.8888888888888888,5
Other Silicates,1.0,0.5882352941176471,0.7407407407407407,17
Oxides/Hydroxides,0.42857142857142855,0.375,0.4,8
Phosphate,0.8,0.5714285714285714,0.6666666666666666,14
Phyllosilicates,0.5789473684210527,0.6470588235294118,0.6111111111111112,17
Plagioclase,0.7,1.0,0.8235294117647058,7
Pyroxene,0.8518518518518519,0.9583333333333334,0.9019607843137255,24
Silica Phase,0.4,1.0,0.5714285714285714,2
Sulfate,0.6666666666666666,0.8571428571428571,0.75,14
