class,precision,recall,f1,support
Borate,0.0,0.0,0.0,0
Carbonate,0.9047619047619048,1.0,0.95,19
Glass,0.0,0.0,0.0,2
K-Feldspar,0.75,0.75,0.75,4
Olivine,0.8,0.8,0.8,5
Other Silicates,0.8333333333333334,0.5882352941176471,0.6896551724137931,17
Oxides/Hydroxides,0.4444444444444444,0.5,0.47058823529411764,8
Phosphate,0.8888888888888888,0.5714285714285714,0.6956521739130435,14
Phyllosilicates,0.47619047619047616,0.5882352941176471,0.5263157894736842,17
Plagioclase,0.7777777777777778,1.0,0.875,7
Pyroxene,0.9583333333333334,0.9583333333333334,0.9583333333333334,24
Silica Phase,0.5,1.0,0.6666666666666666,2
Sulfate,0.8571428571428571,0.8571428571428571,0.8571428571428571,14
