,precision,recall,f1-score,support
Borate,0.0,0.0,0.0,0.0
Carbonate,0.8181818181818182,0.9473684210526315,0.8780487804878049,19.0
Glass,0.0,0.0,0.0,2.0
K-Feldspar,0.8,1.0,0.8888888888888888,4.0
Olivine,0.8,0.8,0.8,5.0
Other Silicates,0.9,0.5294117647058824,0.6666666666666666,17.0
Oxides/Hydroxides,0.42857142857142855,0.375,0.4,8.0
Phosphate,0.8,0.5714285714285714,0.6666666666666666,14.0
Phyllosilicates,0.5294117647058824,0.5294117647058824,0.5294117647058824,17.0
Plagioclase,0.7,1.0,0.8235294117647058,7.0
Pyroxene,0.88,0.9166666666666666,0.8979591836734694,24.0
Silica Phase,0.5,1.0,0.6666666666666666,2.0
Sulfate,0.6666666666666666,0.8571428571428571,0.75,14.0
accuracy,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579
macro avg,0.6017562829327535,0.6558792342848071,0.6129106176554424,133.0
weighted avg,0.7370478143410475,0.7368421052631579,0.7237158547018049,133.0
