threshold,coverage,accepted_n,accuracy_on_accepted,macro_f1_on_accepted,rejected_n
0.0,1.0,133,0.7819548872180451,0.6554056578986288,0
0.049999999999999996,1.0,133,0.7819548872180451,0.6554056578986288,0
0.09999999999999999,1.0,133,0.7819548872180451,0.6554056578986288,0
0.15,1.0,133,0.7819548872180451,0.6554056578986288,0
0.19999999999999998,1.0,133,0.7819548872180451,0.6554056578986288,0
0.24999999999999997,1.0,133,0.7819548872180451,0.6554056578986288,0
0.3,1.0,133,0.7819548872180451,0.6554056578986288,0
0.35,1.0,133,0.7819548872180451,0.6554056578986288,0
0.39999999999999997,0.9924812030075187,132,0.7878787878787878,0.6655040562323212,1
0.44999999999999996,0.9924812030075187,132,0.7878787878787878,0.6655040562323212,1
0.49999999999999994,0.9774436090225563,130,0.7923076923076923,0.6791918390377512,3
0.5499999999999999,0.9398496240601504,125,0.816,0.6943397371618649,8
0.6,0.924812030075188,123,0.8211382113821138,0.6975407801507062,10
0.6499999999999999,0.9097744360902256,121,0.8347107438016529,0.7142132512374388,12
0.7,0.8872180451127819,118,0.847457627118644,0.7760346093912723,15
0.7499999999999999,0.8872180451127819,118,0.847457627118644,0.7760346093912723,15
0.7999999999999999,0.8872180451127819,118,0.847457627118644,0.7760346093912723,15
0.85,0.8721804511278195,116,0.8620689655172413,0.7897719705500027,17
0.8999999999999999,0.849624060150376,113,0.8584070796460177,0.7857144233002357,20
0.95,0.8045112781954887,107,0.8878504672897196,0.8110030980471148,26
