,Borate,Carbonate,Glass,K-Feldspar,Olivine,Other Silicates,Oxides/Hydroxides,Phosphate,Phyllosilicates,Plagioclase,Pyroxene,Silica Phase,Sulfate
Borate,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbonate,0,18,0,0,0,0,0,0,1,0,0,0,0
Glass,0,0,0,0,0,0,0,0,0,0,1,0,1
K-Feldspar,0,0,0,3,0,0,0,0,0,1,0,0,0
Olivine,0,0,0,0,4,0,0,0,0,0,0,0,1
Other Silicates,0,0,0,0,0,11,1,1,2,2,0,0,0
Oxides/Hydroxides,0,0,0,0,0,0,4,0,4,0,0,0,0
Phosphate,0,0,0,0,0,0,0,7,2,0,0,1,4
Phyllosilicates,1,0,0,0,0,1,1,1,11,0,0,1,1
Plagioclase,0,0,0,0,0,0,0,0,0,7,0,0,0
Pyroxene,0,0,0,1,0,0,0,0,0,0,23,0,0
Silica Phase,0,0,0,0,0,0,0,0,0,0,0,2,0
Sulfate,0,1,0,0,0,0,0,0,0,0,0,0,13
