threshold,coverage,accepted_n,accuracy_on_accepted,macro_f1_on_accepted,rejected_n
0.0,1.0,146,0.6575342465753424,0.43750692371810385,0
0.049999999999999996,1.0,146,0.6575342465753424,0.43750692371810385,0
0.09999999999999999,1.0,146,0.6575342465753424,0.43750692371810385,0
0.15,1.0,146,0.6575342465753424,0.43750692371810385,0
0.19999999999999998,1.0,146,0.6575342465753424,0.43750692371810385,0
0.24999999999999997,1.0,146,0.6575342465753424,0.43750692371810385,0
0.3,1.0,146,0.6575342465753424,0.43750692371810385,0
0.35,0.8904109589041096,130,0.7,0.4676307835387119,16
0.39999999999999997,0.5753424657534246,84,0.8809523809523809,0.3639846743295019,62
0.44999999999999996,0.4383561643835616,64,0.875,0.3566917293233082,82
0.49999999999999994,0.3904109589041096,57,0.8771929824561403,0.36314363143631434,89
0.5499999999999999,0.2534246575342466,37,0.918918918918919,0.6075533661740559,109
0.6,0.06164383561643835,9,1.0,1.0,137
0.6499999999999999,0.0,0,,,146
0.7,0.0,0,,,146
0.7499999999999999,0.0,0,,,146
0.7999999999999999,0.0,0,,,146
0.85,0.0,0,,,146
0.8999999999999999,0.0,0,,,146
0.95,0.0,0,,,146
