,precision,recall,f1-score,support
Carbonate,0.4186046511627907,0.6,0.4931506849315068,30.0
Olivine,0.88,0.88,0.88,25.0
Other Silicates,0.07692307692307693,0.125,0.09523809523809523,8.0
Perchlorate,0.0,0.0,0.0,1.0
Phosphate,0.0,0.0,0.0,0.0
Pyroxene,0.0,0.0,0.0,0.0
Sulfate,0.8923076923076924,0.7073170731707317,0.7891156462585034,82.0
accuracy,0.678082191780822,0.678082191780822,0.678082191780822,0.678082191780822
macro avg,0.3239764886276514,0.3303310104529617,0.32250063234687226,146.0
weighted avg,0.7420736638321858,0.678082191780822,0.7004377281030633,146.0
