,precision,recall,f1-score,support
Carbonate,0.25,0.23333333333333334,0.2413793103448276,30.0
Olivine,0.7307692307692307,0.76,0.7450980392156863,25.0
Other Silicates,0.1111111111111111,0.125,0.11764705882352941,8.0
Perchlorate,0.0,0.0,0.0,1.0
Phosphate,0.0,0.0,0.0,0.0
Pyroxene,0.0,0.0,0.0,0.0
Sulfate,0.7831325301204819,0.7926829268292683,0.7878787878787878,82.0
accuracy,0.6301369863013698,0.6301369863013698,0.6301369863013698,0.6301369863013698
macro avg,0.26785898171440337,0.2730023228803717,0.27028617089469015,146.0
weighted avg,0.6224314186849259,0.6301369863013698,0.6261374477218208,146.0
