,precision,recall,f1-score,support
Carbonate,0.3492063492063492,0.7333333333333333,0.4731182795698925,30.0
Olivine,0.8571428571428571,0.72,0.782608695652174,25.0
Other Silicates,0.18181818181818182,0.25,0.21052631578947367,8.0
Perchlorate,0.0,0.0,0.0,1.0
Phosphate,0.0,0.0,0.0,0.0
Pyroxene,0.0,0.0,0.0,0.0
Sulfate,0.92,0.5609756097560976,0.696969696969697,82.0
accuracy,0.6027397260273972,0.6027397260273972,0.6027397260273972,0.6027397260273972
macro avg,0.32973819830962686,0.32347270615563295,0.309031855425891,146.0
weighted avg,0.7452007353377217,0.6027397260273972,0.6342088455906306,146.0
