threshold,coverage,accepted_n,accuracy_on_accepted,macro_f1_on_accepted,rejected_n
0.0,1.0,146,0.589041095890411,0.40074374577417177,0
0.049999999999999996,1.0,146,0.589041095890411,0.40074374577417177,0
0.09999999999999999,1.0,146,0.589041095890411,0.40074374577417177,0
0.15,1.0,146,0.589041095890411,0.40074374577417177,0
0.19999999999999998,1.0,146,0.589041095890411,0.40074374577417177,0
0.24999999999999997,0.9863013698630136,144,0.5833333333333334,0.39384535005224663,2
0.3,0.952054794520548,139,0.5899280575539568,0.40043937515703093,7
0.35,0.9041095890410958,132,0.6060606060606061,0.4087686993262533,14
0.39999999999999997,0.7465753424657534,109,0.6513761467889908,0.4278168044077136,37
0.44999999999999996,0.636986301369863,93,0.6989247311827957,0.4370761480600106,53
0.49999999999999994,0.547945205479452,80,0.7375,0.4375757575757575,66
0.5499999999999999,0.4520547945205479,66,0.803030303030303,0.4813201802460115,80
0.6,0.3835616438356164,56,0.8571428571428571,0.5015873015873016,90
0.6499999999999999,0.3424657534246575,50,0.88,0.5299139414802065,96
0.7,0.3082191780821918,45,0.9111111111111111,0.5747368421052632,101
0.7499999999999999,0.2465753424657534,36,0.9166666666666666,0.2426470588235294,110
0.7999999999999999,0.2328767123287671,34,0.9411764705882353,0.32323232323232326,112
0.85,0.18493150684931506,27,0.9629629629629629,0.49056603773584906,119
0.8999999999999999,0.1232876712328767,18,0.9444444444444444,0.4857142857142857,128
0.95,0.0410958904109589,6,1.0,1.0,140
