threshold,coverage,accepted_n,accuracy_on_accepted,macro_f1_on_accepted,rejected_n
0.0,1.0,146,0.6917808219178082,0.494236118838322,0
0.049999999999999996,1.0,146,0.6917808219178082,0.494236118838322,0
0.09999999999999999,1.0,146,0.6917808219178082,0.494236118838322,0
0.15,1.0,146,0.6917808219178082,0.494236118838322,0
0.19999999999999998,1.0,146,0.6917808219178082,0.494236118838322,0
0.24999999999999997,1.0,146,0.6917808219178082,0.494236118838322,0
0.3,1.0,146,0.6917808219178082,0.494236118838322,0
0.35,0.9863013698630136,144,0.6944444444444444,0.49753558283470073,2
0.39999999999999997,0.9178082191780822,134,0.7164179104477612,0.509040959040959,12
0.44999999999999996,0.821917808219178,120,0.7666666666666667,0.5521936788621283,26
0.49999999999999994,0.6917808219178082,101,0.7920792079207921,0.5494286106050812,45
0.5499999999999999,0.589041095890411,86,0.8604651162790697,0.5974647331557661,60
0.6,0.4863013698630137,71,0.9014084507042254,0.6279179997630051,75
0.6499999999999999,0.3219178082191781,47,0.9361702127659575,0.4775318578135479,99
0.7,0.0410958904109589,6,1.0,1.0,140
0.7499999999999999,0.0273972602739726,4,1.0,1.0,142
0.7999999999999999,0.00684931506849315,1,1.0,1.0,145
0.85,0.0,0,,,146
0.8999999999999999,0.0,0,,,146
0.95,0.0,0,,,146
